,ELCC,latitude,longitude
0,16 ,42.0,-121.875
1,11 ,46.0,-115.0
2,14 ,38.0,-118.125
3,11 ,45.0,-112.5
4,17 ,35.0,-121.25
5,19 ,35.5,-123.125
6,8 ,34.0,-111.25
7,8 ,43.5,-108.125
8,11 ,39.5,-115.0
9,5 ,33.0,-103.75
10,21 ,33.5,-125.0
11,16 ,44.0,-122.5
12,13 ,44.5,-116.25
13,17 ,47.0,-123.75
14,13 ,42.0,-116.875
15,5 ,40.0,-101.875
16,14 ,41.0,-119.375
17,7 ,38.0,-106.875
18,16 ,43.5,-120.625
19,16 ,45.0,-121.25
20,13 ,35.5,-118.75
21,8 ,39.5,-108.75
22,10 ,47.5,-111.875
23,11 ,40.0,-115.625
24,8 ,48.5,-108.125
25,10 ,38.0,-113.125
26,7 ,49.0,-105.625
27,13 ,37.0,-118.75
28,13 ,46.5,-116.25
29,8 ,36.0,-110.0
30,19 ,38.5,-124.375
31,7 ,42.0,-103.125
32,8 ,33.0,-111.25
33,16 ,36.0,-121.25
34,7 ,31.5,-107.5
35,19 ,44.0,-124.375
36,7 ,31.5,-106.875
37,8 ,35.5,-110.0
38,13 ,43.5,-115.625
39,14 ,35.0,-119.375
40,8 ,49.0,-110.0
41,14 ,49.5,-122.5
42,16 ,40.5,-120.625
43,10 ,44.5,-110.625
44,7 ,31.5,-110.625
45,11 ,34.5,-116.25
46,8 ,49.5,-111.875
47,7 ,43.0,-105.0
48,19 ,31.5,-122.5
49,13 ,44.0,-115.625
50,11 ,38.5,-115.0
51,5 ,33.0,-107.5
52,7 ,46.0,-103.75
53,7 ,47.0,-104.375
54,8 ,46.5,-110.0
55,3 ,33.0,-101.875
56,7 ,35.5,-106.25
57,14 ,42.0,-119.375
58,19 ,34.0,-123.75
59,17 ,44.0,-123.75
60,21 ,32.5,-124.375
61,10 ,44.0,-111.875
62,5 ,37.0,-104.375
63,8 ,42.5,-107.5
64,17 ,33.0,-123.125
65,8 ,39.0,-108.125
66,17 ,32.5,-121.875
67,11 ,45.5,-112.5
68,5 ,32.5,-108.125
69,10 ,39.0,-111.875
70,5 ,39.5,-103.125
71,16 ,44.0,-120.625
72,7 ,44.5,-106.875
73,10 ,38.0,-110.0
74,5 ,37.5,-103.75
75,8 ,35.5,-111.875
76,13 ,46.0,-118.75
77,13 ,47.5,-118.75
78,16 ,34.0,-120.0
79,19 ,38.0,-124.375
80,16 ,48.0,-123.125
81,11 ,31.5,-115.0
82,10 ,34.0,-113.75
83,7 ,43.5,-103.125
84,7 ,40.5,-105.625
85,14 ,32.0,-118.125
86,8 ,38.5,-106.875
87,19 ,35.5,-122.5
88,11 ,45.5,-113.125
89,13 ,31.5,-116.875
90,17 ,32.0,-120.625
91,5 ,34.5,-102.5
92,14 ,48.0,-120.625
93,11 ,39.5,-116.25
94,10 ,38.5,-111.875
95,13 ,40.5,-118.125
96,11 ,33.5,-115.625
97,13 ,36.0,-116.25
98,14 ,44.5,-118.75
99,10 ,36.5,-110.625
100,13 ,41.0,-115.625
101,13 ,36.5,-119.375
102,13 ,47.0,-118.125
103,7 ,38.0,-105.625
104,7 ,43.5,-106.25
105,14 ,47.5,-120.0
106,16 ,42.5,-122.5
107,10 ,47.5,-112.5
108,10 ,42.5,-110.625
109,7 ,45.0,-103.125
110,10 ,39.0,-110.625
111,8 ,34.0,-113.125
112,21 ,42.0,-125.0
113,17 ,46.0,-123.75
114,16 ,48.0,-122.5
115,19 ,37.0,-123.125
116,16 ,32.0,-119.375
117,10 ,44.5,-112.5
118,5 ,39.0,-101.875
119,11 ,43.0,-113.75
120,5 ,36.5,-102.5
121,8 ,47.0,-108.125
122,11 ,43.0,-114.375
123,7 ,48.0,-103.125
124,7 ,34.0,-110.625
125,7 ,35.0,-108.75
126,8 ,41.0,-106.25
127,8 ,45.0,-108.125
128,17 ,45.5,-123.75
129,7 ,48.5,-105.0
130,8 ,46.5,-106.875
131,10 ,38.5,-112.5
132,10 ,42.0,-111.875
133,7 ,35.0,-107.5
134,7 ,47.5,-106.25
135,10 ,36.5,-111.25
136,8 ,49.5,-109.375
137,7 ,43.0,-106.25
138,11 ,41.0,-111.875
139,8 ,37.5,-108.75
140,7 ,45.5,-106.25
141,7 ,48.0,-104.375
142,8 ,49.0,-108.125
143,8 ,41.5,-108.125
144,19 ,35.0,-123.125
145,5 ,33.5,-110.0
146,5 ,38.0,-104.375
147,10 ,43.5,-110.625
148,10 ,31.5,-113.75
