,ELCC,latitude,longitude
0,11 ,42.0,-115.625
1,7 ,38.0,-105.625
2,0 ,46.0,-115.625
3,8 ,36.0,-118.125
4,2 ,34.0,-118.125
5,10 ,38.0,-113.125
6,2 ,37.0,-118.125
7,8 ,38.0,-109.375
8,32 ,33.0,-104.375
9,21 ,45.0,-101.875
10,35 ,32.0,-120.625
11,8 ,37.0,-111.875
12,30 ,42.0,-104.375
13,46 ,38.0,-123.125
14,17 ,36.0,-103.125
15,19 ,49.0,-109.375
16,8 ,45.0,-108.125
17,22 ,49.0,-108.125
18,0 ,49.0,-124.375
19,5 ,34.0,-108.125
20,50 ,35.0,-121.875
21,5 ,44.0,-114.375
22,22 ,43.0,-101.875
23,22 ,33.0,-103.125
24,32 ,42.0,-103.125
25,2 ,40.0,-105.625
26,16 ,37.0,-120.625
27,30 ,42.0,-101.875
28,22 ,42.0,-105.625
29,7 ,41.0,-108.125
30,7 ,36.0,-108.125
31,10 ,41.0,-109.375
32,21 ,46.0,-103.125
33,16 ,35.0,-104.375
34,22 ,44.0,-101.875
35,44 ,38.0,-121.875
36,17 ,46.0,-108.125
37,8 ,35.0,-114.375
38,5 ,47.0,-110.625
39,13 ,43.0,-118.125
40,2 ,48.0,-124.375
41,22 ,49.0,-103.125
42,11 ,34.0,-106.875
43,19 ,38.0,-104.375
44,21 ,32.0,-101.875
45,2 ,45.0,-109.375
46,14 ,46.0,-109.375
47,11 ,49.0,-113.125
48,21 ,48.0,-101.875
49,17 ,47.0,-101.875
50,10 ,40.0,-120.625
51,24 ,32.0,-114.375
52,0 ,49.0,-119.375
53,39 ,32.0,-121.875
54,3 ,48.0,-119.375
55,28 ,49.0,-105.625
56,16 ,34.0,-104.375
57,42 ,38.0,-124.375
58,24 ,32.0,-119.375
59,0 ,44.0,-115.625
60,10 ,33.0,-111.875
61,10 ,47.0,-109.375
62,38 ,37.0,-124.375
63,0 ,46.0,-114.375
64,4 ,42.0,-123.125
65,21 ,42.0,-109.375
66,7 ,37.0,-110.625
67,3 ,37.0,-108.125
68,10 ,42.0,-113.125
69,3 ,36.0,-105.625
70,2 ,45.0,-116.875
71,24 ,42.0,-116.875
72,2 ,42.0,-111.875
73,5 ,36.0,-106.875
74,3 ,46.0,-121.875
75,7 ,44.0,-118.125
76,27 ,48.0,-105.625
77,8 ,33.0,-110.625
78,5 ,33.0,-116.875
79,7 ,33.0,-109.375
80,10 ,38.0,-110.625
81,11 ,42.0,-110.625
82,22 ,36.0,-101.875
83,16 ,36.0,-120.625
84,0 ,47.0,-114.375
85,7 ,44.0,-108.125
86,0 ,49.0,-116.875
87,3 ,49.0,-114.375
88,19 ,35.0,-101.875
89,24 ,46.0,-105.625
90,44 ,35.0,-123.125
91,7 ,47.0,-111.875
92,3 ,46.0,-116.875
93,42 ,35.0,-124.375
94,13 ,43.0,-114.375
95,2 ,49.0,-115.625
96,3 ,41.0,-110.625
97,0 ,47.0,-115.625
98,14 ,44.0,-104.375
99,7 ,39.0,-123.125
100,11 ,33.0,-106.875
101,25 ,37.0,-103.125
102,17 ,45.0,-103.125
103,36 ,38.0,-101.875
104,11 ,43.0,-124.375
105,4 ,33.0,-118.125
106,2 ,48.0,-120.625
107,5 ,45.0,-118.125
108,2 ,48.0,-115.625
109,8 ,34.0,-105.625
110,0 ,48.0,-121.875
111,8 ,35.0,-110.625
112,0 ,46.0,-113.125
113,2 ,44.0,-121.875
114,19 ,42.0,-124.375
115,27 ,42.0,-119.375
116,10 ,38.0,-120.625
117,10 ,41.0,-115.625
118,2 ,48.0,-118.125
119,14 ,44.0,-103.125
120,2 ,48.0,-116.875
121,7 ,44.0,-106.875
122,3 ,39.0,-109.375
123,5 ,36.0,-111.875
124,0 ,38.0,-106.875
125,25 ,49.0,-104.375
126,3 ,46.0,-123.125
127,11 ,33.0,-114.375
128,8 ,40.0,-109.375
129,3 ,47.0,-116.875
130,2 ,45.0,-121.875
131,11 ,47.0,-118.125
132,7 ,37.0,-105.625
133,8 ,37.0,-115.625
134,11 ,43.0,-115.625
135,13 ,46.0,-119.375
136,11 ,35.0,-106.875
137,11 ,44.0,-124.375
138,2 ,45.0,-113.125
139,7 ,39.0,-113.125
140,21 ,49.0,-101.875
141,5 ,47.0,-120.625
142,22 ,48.0,-108.125
143,8 ,43.0,-123.125
144,10 ,38.0,-119.375
145,13 ,41.0,-120.625
146,0 ,40.0,-106.875
147,3 ,40.0,-118.125
148,21 ,33.0,-101.875
149,14 ,49.0,-111.875
150,5 ,38.0,-111.875
151,27 ,37.0,-101.875
152,5 ,46.0,-111.875
153,7 ,35.0,-109.375
154,8 ,34.0,-114.375
155,30 ,43.0,-104.375
156,0 ,48.0,-123.125
157,3 ,39.0,-114.375
158,35 ,41.0,-101.875
159,15 ,34.0,-103.125
160,44 ,39.0,-124.375
161,14 ,41.0,-121.875
162,0 ,37.0,-119.375
163,8 ,37.0,-113.125
164,16 ,43.0,-106.875
165,2 ,45.0,-114.375
166,14 ,32.0,-111.875
167,11 ,41.0,-116.875
168,0 ,39.0,-106.875
169,3 ,40.0,-113.125
170,8 ,37.0,-114.375
171,27 ,32.0,-103.125
172,10 ,41.0,-114.375
173,25 ,48.0,-106.875
174,10 ,36.0,-116.875
175,0 ,45.0,-110.625
176,11 ,39.0,-119.375
177,3 ,44.0,-116.875
178,10 ,39.0,-110.625
179,27 ,40.0,-103.125
180,14 ,45.0,-124.375
181,16 ,37.0,-116.875
182,10 ,43.0,-116.875
183,0 ,49.0,-121.875
184,21 ,42.0,-108.125
185,2 ,41.0,-113.125
186,5 ,34.0,-119.375
187,13 ,35.0,-105.625
188,2 ,48.0,-114.375
189,22 ,47.0,-106.875
190,21 ,39.0,-103.125
191,39 ,40.0,-124.375
192,10 ,42.0,-121.875
193,5 ,39.0,-120.625
194,0 ,47.0,-121.875
195,42 ,34.0,-124.375
196,7 ,35.0,-119.375
197,0 ,45.0,-111.875
198,9 ,34.0,-113.125
199,3 ,46.0,-110.625
200,3 ,41.0,-106.875
201,25 ,41.0,-118.125
202,7 ,34.0,-116.875
203,14 ,45.0,-104.375
204,10 ,38.0,-115.625
205,10 ,42.0,-114.375
206,36 ,36.0,-121.875
207,14 ,40.0,-104.375
208,8 ,32.0,-106.875
209,3 ,39.0,-105.625
210,7 ,36.0,-109.375
211,14 ,46.0,-120.625
212,13 ,36.0,-119.375
213,41 ,33.0,-121.875
214,8 ,32.0,-115.625
215,5 ,43.0,-110.625
216,13 ,45.0,-106.875
217,21 ,46.0,-106.875
218,42 ,33.0,-123.125
219,2 ,39.0,-108.125
220,38 ,32.0,-124.375
221,11 ,35.0,-120.625
222,16 ,45.0,-105.625
223,0 ,49.0,-123.125
224,14 ,35.0,-118.125
225,11 ,47.0,-124.375
226,17 ,39.0,-116.875
227,14 ,45.0,-120.625
228,11 ,42.0,-120.625
229,11 ,40.0,-116.875
230,8 ,36.0,-113.125
231,35 ,34.0,-120.625
232,3 ,41.0,-105.625
233,7 ,44.0,-113.125
234,8 ,47.0,-119.375
235,14 ,36.0,-104.375
236,25 ,41.0,-124.375
237,24 ,47.0,-105.625
238,8 ,45.0,-119.375
239,11 ,33.0,-115.625
240,33 ,41.0,-103.125
241,19 ,38.0,-116.875
242,11 ,32.0,-108.125
243,27 ,48.0,-104.375
244,10 ,44.0,-111.875
245,21 ,43.0,-119.375
246,13 ,49.0,-110.625
247,8 ,35.0,-115.625
248,21 ,47.0,-104.375
249,0 ,32.0,-116.875
250,27 ,40.0,-101.875
251,16 ,43.0,-113.125
252,13 ,35.0,-103.125
253,7 ,39.0,-115.625
254,4 ,36.0,-110.625
255,8 ,36.0,-115.625
256,14 ,48.0,-110.625
257,8 ,32.0,-109.375
258,27 ,32.0,-104.375
259,11 ,33.0,-113.125
260,42 ,33.0,-124.375
261,2 ,40.0,-108.125
262,11 ,43.0,-108.125
263,24 ,43.0,-105.625
264,8 ,46.0,-118.125
265,2 ,44.0,-123.125
266,13 ,44.0,-120.625
267,8 ,39.0,-104.375
268,22 ,48.0,-103.125
269,14 ,48.0,-109.375
270,7 ,38.0,-118.125
271,11 ,40.0,-119.375
272,24 ,41.0,-104.375
273,39 ,32.0,-123.125
274,14 ,48.0,-111.875
275,3 ,48.0,-113.125
276,42 ,36.0,-123.125
277,5 ,40.0,-115.625
278,7 ,37.0,-109.375
279,27 ,39.0,-121.875
280,25 ,42.0,-118.125
281,11 ,35.0,-116.875
282,3 ,32.0,-110.625
283,24 ,43.0,-103.125
284,42 ,34.0,-121.875
285,22 ,32.0,-105.625
286,19 ,47.0,-108.125
287,13 ,35.0,-113.125
288,22 ,46.0,-101.875
289,2 ,40.0,-123.125
290,3 ,40.0,-114.375
291,0 ,49.0,-120.625
292,8 ,37.0,-121.875
293,25 ,49.0,-106.875
294,2 ,43.0,-121.875
295,5 ,33.0,-108.125
296,5 ,35.0,-111.875
297,25 ,40.0,-110.625
298,10 ,33.0,-105.625
299,2 ,37.0,-106.875
300,25 ,41.0,-119.375
301,5 ,40.0,-111.875
302,27 ,44.0,-105.625
303,10 ,38.0,-114.375
304,2 ,45.0,-115.625
305,41 ,37.0,-123.125
306,10 ,32.0,-118.125
307,2 ,44.0,-110.625
308,2 ,34.0,-109.375
309,16 ,42.0,-106.875
310,10 ,34.0,-115.625
311,5 ,34.0,-110.625
312,25 ,39.0,-101.875
313,10 ,36.0,-114.375
314,33 ,40.0,-121.875
