,ELCC,latitude,longitude
0,8 ,36.0,-110.625
1,7 ,49.5,-105.625
2,11 ,43.5,-119.375
3,19 ,36.0,-122.5
4,14 ,49.0,-120.625
5,14 ,41.5,-125.0
6,11 ,35.5,-115.625
7,5 ,41.0,-109.375
8,14 ,33.0,-118.75
9,17 ,41.5,-123.75
10,19 ,36.0,-123.75
11,7 ,33.0,-110.0
12,5 ,41.0,-114.375
13,10 ,43.5,-117.5
14,16 ,48.0,-123.125
15,11 ,44.5,-115.0
16,13 ,44.5,-120.0
17,16 ,32.5,-120.0
18,11 ,49.0,-119.375
19,7 ,41.0,-113.75
20,5 ,37.5,-107.5
21,7 ,36.0,-112.5
22,3 ,43.0,-107.5
23,3 ,32.5,-106.875
24,5 ,45.0,-105.0
25,7 ,35.0,-108.75
26,16 ,32.0,-120.0
27,8 ,47.5,-120.0
28,8 ,34.5,-109.375
29,10 ,48.5,-114.375
30,8 ,38.5,-110.625
31,7 ,36.5,-108.75
32,5 ,39.0,-106.875
33,5 ,39.5,-113.125
34,8 ,48.0,-111.875
35,5 ,43.5,-110.0
36,11 ,37.5,-118.75
37,5 ,39.5,-106.875
38,5 ,38.5,-106.875
39,16 ,48.5,-120.625
40,3 ,35.5,-103.75
41,5 ,39.0,-103.125
42,8 ,45.5,-110.0
43,8 ,45.5,-110.625
44,17 ,42.5,-124.375
45,5 ,40.0,-112.5
46,7 ,38.5,-116.25
47,10 ,44.0,-116.875
48,10 ,39.0,-119.375
49,5 ,43.5,-107.5
50,10 ,35.5,-118.75
51,7 ,41.0,-117.5
52,16 ,49.5,-121.25
53,8 ,49.0,-118.125
54,11 ,45.0,-116.875
55,17 ,49.5,-125.0
56,7 ,41.5,-108.125
57,8 ,36.5,-113.75
58,5 ,32.0,-110.0
59,5 ,38.5,-106.25
60,3 ,42.5,-104.375
61,19 ,35.5,-123.75
62,16 ,47.0,-123.75
63,7 ,42.0,-109.375
64,8 ,47.0,-119.375
65,14 ,45.0,-120.625
66,8 ,41.5,-113.125
67,11 ,45.5,-116.875
68,11 ,35.5,-119.375
69,7 ,45.5,-106.25
70,5 ,44.0,-105.625
71,16 ,37.5,-125.0
72,17 ,45.0,-125.0
73,3 ,35.0,-103.125
74,3 ,46.5,-101.875
75,8 ,37.5,-111.25
76,8 ,47.0,-110.0
77,7 ,40.5,-108.75
78,10 ,36.5,-118.125
79,8 ,42.0,-111.875
80,19 ,38.5,-123.75
81,7 ,49.5,-106.25
82,7 ,46.5,-111.25
83,5 ,38.5,-103.125
84,8 ,47.5,-109.375
85,7 ,41.0,-116.875
86,16 ,33.5,-120.625
87,16 ,49.5,-124.375
88,10 ,49.5,-118.75
89,7 ,49.5,-108.125
90,16 ,38.5,-121.875
91,3 ,42.5,-101.875
92,16 ,49.0,-121.25
93,14 ,46.0,-120.625
94,17 ,45.5,-123.75
95,5 ,38.5,-103.75
96,3 ,37.5,-101.875
97,19 ,40.5,-124.375
98,14 ,42.0,-122.5
99,7 ,35.5,-107.5
100,11 ,32.0,-114.375
101,8 ,36.0,-113.75
102,19 ,41.5,-124.375
103,16 ,49.0,-124.375
104,3 ,40.5,-110.0
105,17 ,37.0,-125.0
106,8 ,47.5,-110.0
107,3 ,32.5,-102.5
108,13 ,38.5,-120.0
109,3 ,31.5,-105.625
110,14 ,36.5,-120.0
111,3 ,43.5,-102.5
112,7 ,48.5,-107.5
113,5 ,38.5,-113.125
114,14 ,37.0,-120.625
115,10 ,49.5,-114.375
116,5 ,34.0,-106.25
117,17 ,43.0,-124.375
118,7 ,43.0,-115.625
119,5 ,38.5,-105.625
120,7 ,45.0,-110.625
121,13 ,31.5,-116.25
122,7 ,45.0,-109.375
123,3 ,33.0,-107.5
124,3 ,33.0,-103.75
125,8 ,38.0,-113.75
126,17 ,39.5,-123.125
127,11 ,38.5,-116.875
128,5 ,36.0,-105.625
129,7 ,49.5,-107.5
130,11 ,37.0,-114.375
131,10 ,39.5,-120.0
132,3 ,36.5,-101.875
133,5 ,33.5,-104.375
134,7 ,40.0,-116.25
135,8 ,40.5,-118.125
136,5 ,35.0,-105.0
137,10 ,42.0,-118.75
138,7 ,35.0,-111.25
139,5 ,42.0,-110.625
140,16 ,46.5,-123.125
141,5 ,43.5,-112.5
142,5 ,38.5,-107.5
143,5 ,47.5,-105.625
144,17 ,40.5,-123.75
145,7 ,43.0,-114.375
146,17 ,41.0,-123.125
147,5 ,42.0,-107.5
148,7 ,34.5,-110.625
149,14 ,35.5,-120.0
150,17 ,38.0,-122.5
151,3 ,32.0,-106.875
152,17 ,37.0,-121.875
153,3 ,32.5,-104.375
154,8 ,42.0,-119.375
155,5 ,44.0,-103.75
156,14 ,45.5,-121.25
157,5 ,34.5,-105.0
158,10 ,35.0,-113.75
159,8 ,47.5,-110.625
160,16 ,48.5,-121.25
161,5 ,42.5,-110.0
162,5 ,40.5,-103.125
163,5 ,41.5,-103.125
164,21 ,35.0,-124.375
165,5 ,43.0,-111.25
166,10 ,42.0,-120.0
167,7 ,35.0,-113.125
168,13 ,45.0,-120.0
169,10 ,38.0,-116.25
170,14 ,47.0,-121.875
171,10 ,33.0,-113.75
172,7 ,47.0,-106.25
173,5 ,34.5,-104.375
174,5 ,40.5,-113.75
175,5 ,39.0,-111.875
176,16 ,48.5,-122.5
177,10 ,48.5,-115.0
178,14 ,38.5,-125.0
179,3 ,40.0,-110.625
180,13 ,40.5,-120.625
181,21 ,32.5,-124.375
182,17 ,47.5,-124.375
183,3 ,33.5,-103.75
184,5 ,42.5,-115.0
185,5 ,36.5,-102.5
186,5 ,40.0,-103.75
187,13 ,36.0,-119.375
188,10 ,48.5,-115.625
189,14 ,44.5,-121.25
190,10 ,43.5,-118.125
191,19 ,33.0,-123.75
192,7 ,38.5,-111.25
193,11 ,38.5,-118.125
194,7 ,36.5,-107.5
195,7 ,46.0,-107.5
196,5 ,44.0,-107.5
197,21 ,33.0,-125.0
198,5 ,36.0,-105.0
199,5 ,39.0,-105.625
200,10 ,49.0,-112.5
201,5 ,49.0,-103.125
202,8 ,47.0,-118.125
203,19 ,32.5,-123.75
204,16 ,40.5,-121.875
205,11 ,34.5,-115.0
206,10 ,40.0,-118.125
207,11 ,31.5,-114.375
208,5 ,48.5,-103.75
209,7 ,37.0,-109.375
210,3 ,43.5,-103.125
211,16 ,41.0,-121.875
212,3 ,40.0,-105.625
213,7 ,34.0,-110.0
214,5 ,47.0,-105.0
215,7 ,45.0,-118.125
216,3 ,40.0,-106.25
217,10 ,33.5,-116.25
218,5 ,48.0,-105.625
219,19 ,31.5,-125.0
220,10 ,47.5,-113.75
221,17 ,35.5,-121.875
222,5 ,40.0,-105.0
223,5 ,40.5,-105.0
224,7 ,47.0,-112.5
225,10 ,33.0,-115.625
226,7 ,46.0,-112.5
227,14 ,32.0,-118.75
228,10 ,33.0,-113.125
229,10 ,48.0,-113.75
230,17 ,34.5,-122.5
231,7 ,41.0,-108.75
232,14 ,42.0,-123.125
233,5 ,48.5,-101.875
234,7 ,33.0,-110.625
235,19 ,38.0,-123.125
236,7 ,46.5,-111.875
237,13 ,35.0,-118.75
238,7 ,37.0,-108.75
239,10 ,34.5,-117.5
240,7 ,38.0,-113.125
241,5 ,39.5,-103.75
242,7 ,40.5,-117.5
243,5 ,44.0,-112.5
244,17 ,35.0,-121.875
245,7 ,41.5,-109.375
246,10 ,49.0,-111.875
247,5 ,37.0,-105.625
248,3 ,40.5,-101.875
249,7 ,38.5,-108.125
250,13 ,32.5,-116.875
251,10 ,48.5,-119.375
252,8 ,49.0,-116.875
253,13 ,38.5,-117.5
254,16 ,43.0,-123.75
255,13 ,43.0,-120.0
256,3 ,35.5,-102.5
257,14 ,43.5,-120.625
258,11 ,37.0,-116.25
259,17 ,34.0,-121.875
260,5 ,39.5,-114.375
261,11 ,45.5,-115.0
262,5 ,41.5,-104.375
263,5 ,37.5,-102.5
264,8 ,34.5,-113.125
265,8 ,42.0,-118.125
266,3 ,32.0,-107.5
267,5 ,36.0,-106.25
268,16 ,47.5,-123.75
269,3 ,32.5,-103.75
270,5 ,33.0,-105.625
271,2 ,32.0,-104.375
272,8 ,48.5,-116.875
273,8 ,35.5,-116.875
274,3 ,35.0,-102.5
275,5 ,35.5,-104.375
276,8 ,48.5,-116.25
277,8 ,35.5,-109.375
278,10 ,40.0,-120.0
279,5 ,48.5,-105.0
280,7 ,37.5,-108.125
281,14 ,37.0,-119.375
282,7 ,41.5,-116.875
283,13 ,37.0,-118.75
284,19 ,33.0,-123.125
285,14 ,45.0,-123.125
286,14 ,32.5,-118.125
287,5 ,44.5,-102.5
288,5 ,32.5,-108.75
289,5 ,43.0,-111.875
290,8 ,48.5,-111.25
291,7 ,47.0,-108.125
292,8 ,40.5,-118.75
293,7 ,40.5,-109.375
294,5 ,47.0,-105.625
295,16 ,33.0,-119.375
296,8 ,46.5,-113.75
297,10 ,32.5,-113.125
298,7 ,38.0,-108.125
299,10 ,42.5,-118.125
300,5 ,39.5,-110.625
301,10 ,37.5,-115.625
302,7 ,45.5,-108.125
303,3 ,42.5,-106.25
304,5 ,34.0,-105.0
305,17 ,45.0,-124.375
306,7 ,46.5,-106.875
307,17 ,48.0,-123.75
308,5 ,36.0,-104.375
309,16 ,49.0,-123.125
310,21 ,35.5,-124.375
311,17 ,32.5,-122.5
312,11 ,38.0,-116.875
313,5 ,35.0,-104.375
314,8 ,36.0,-111.25
315,8 ,35.0,-111.875
316,14 ,47.5,-121.875
317,7 ,44.5,-110.625
318,5 ,41.0,-110.625
319,7 ,45.0,-108.75
320,13 ,39.0,-120.625
321,3 ,32.0,-109.375
322,7 ,37.5,-110.625
323,3 ,43.5,-101.875
324,13 ,47.0,-120.625
325,16 ,32.0,-120.625
326,11 ,37.5,-114.375
327,3 ,42.5,-106.875
328,5 ,48.0,-102.5
329,8 ,49.0,-110.0
330,10 ,35.0,-116.25
331,5 ,47.5,-102.5
332,8 ,34.5,-108.75
333,10 ,31.5,-113.75
334,10 ,33.5,-113.125
335,11 ,45.5,-117.5
336,5 ,44.0,-110.0
337,5 ,39.0,-113.75
338,11 ,40.0,-120.625
339,3 ,32.5,-105.0
340,11 ,34.0,-115.625
341,5 ,36.5,-104.375
342,5 ,41.0,-102.5
343,5 ,46.5,-105.625
344,8 ,47.0,-108.75
345,19 ,35.0,-122.5
346,7 ,36.5,-108.125
347,5 ,39.5,-105.0
348,3 ,32.0,-103.125
349,11 ,36.5,-115.0
350,11 ,34.0,-115.0
351,7 ,37.5,-108.75
352,7 ,47.5,-118.75
353,14 ,44.5,-122.5
354,11 ,44.5,-116.25
355,13 ,40.5,-125.0
356,5 ,48.0,-106.25
357,16 ,34.5,-120.625
358,5 ,37.0,-106.25
359,3 ,44.0,-101.875
360,19 ,37.5,-124.375
361,3 ,33.0,-102.5
362,5 ,49.0,-104.375
363,10 ,44.0,-121.875
364,17 ,46.0,-123.75
365,3 ,32.5,-105.625
366,7 ,45.5,-111.25
367,3 ,42.5,-102.5
368,11 ,36.5,-116.25
369,14 ,38.0,-120.625
370,13 ,36.5,-120.625
371,3 ,40.5,-110.625
372,7 ,35.0,-110.625
373,7 ,34.5,-111.25
374,5 ,39.0,-111.25
375,5 ,36.5,-105.0
376,7 ,35.5,-106.875
377,10 ,32.0,-116.25
378,5 ,46.5,-103.75
379,3 ,42.5,-107.5
380,8 ,35.5,-110.0
381,8 ,49.0,-115.625
382,5 ,36.5,-103.75
383,5 ,39.0,-106.25
384,7 ,48.5,-106.25
385,10 ,49.0,-113.75
386,5 ,41.5,-103.75
387,7 ,47.0,-110.625
388,17 ,41.5,-122.5
389,5 ,35.0,-105.625
390,3 ,34.5,-103.125
391,21 ,33.5,-125.0
392,7 ,48.5,-105.625
393,5 ,43.5,-108.75
394,8 ,43.5,-114.375
395,14 ,43.0,-121.25
396,5 ,40.0,-102.5
397,10 ,42.5,-118.75
398,8 ,48.5,-117.5
399,8 ,45.0,-112.5
400,7 ,43.0,-115.0
401,17 ,34.5,-121.25
402,5 ,48.5,-103.125
403,14 ,37.0,-120.0
404,13 ,46.5,-120.0
405,16 ,48.0,-122.5
406,7 ,46.0,-108.125
407,5 ,45.0,-104.375
408,10 ,44.0,-113.75
409,10 ,42.5,-123.125
410,17 ,48.0,-125.0
411,5 ,37.0,-105.0
412,10 ,39.0,-116.875
413,13 ,45.5,-119.375
414,8 ,43.5,-116.25
415,5 ,37.5,-105.625
416,5 ,33.5,-107.5
417,8 ,49.5,-108.75
418,7 ,42.0,-110.0
419,10 ,34.0,-116.25
420,5 ,38.5,-111.875
421,3 ,34.0,-103.125
422,16 ,35.0,-120.625
423,5 ,45.5,-102.5
424,3 ,32.0,-102.5
425,5 ,38.5,-112.5
426,10 ,43.0,-118.125
427,5 ,43.0,-108.125
428,10 ,47.0,-113.75
429,14 ,49.5,-120.625
430,3 ,41.0,-101.875
431,8 ,39.5,-109.375
432,3 ,32.0,-105.625
433,3 ,43.5,-105.0
434,17 ,48.0,-124.375
435,5 ,49.5,-103.75
436,11 ,35.0,-118.125
437,5 ,38.0,-105.625
438,5 ,41.5,-105.0
439,21 ,34.5,-125.0
440,3 ,31.5,-106.25
441,7 ,37.0,-107.5
442,8 ,48.5,-109.375
443,10 ,40.0,-119.375
444,10 ,37.5,-115.0
445,7 ,40.0,-109.375
446,10 ,32.0,-113.125
447,8 ,43.5,-115.625
448,8 ,39.0,-115.0
449,17 ,37.5,-121.875
450,8 ,38.5,-114.375
451,5 ,44.5,-109.375
452,8 ,48.0,-119.375
453,8 ,49.0,-115.0
454,10 ,42.5,-119.375
455,10 ,43.0,-117.5
456,11 ,46.0,-116.875
457,8 ,47.5,-117.5
458,13 ,34.0,-118.125
459,5 ,45.5,-101.875
460,7 ,40.5,-113.125
461,11 ,37.5,-116.25
462,3 ,44.0,-102.5
463,17 ,38.0,-121.875
464,7 ,34.5,-107.5
465,7 ,32.0,-110.625
466,10 ,34.0,-116.875
467,3 ,35.0,-101.875
468,13 ,33.5,-117.5
469,5 ,39.0,-102.5
470,5 ,33.5,-105.625
471,11 ,46.5,-118.125
472,5 ,43.5,-108.125
473,10 ,33.0,-116.25
474,8 ,33.0,-111.875
475,3 ,42.0,-103.125
476,8 ,49.0,-109.375
477,11 ,43.5,-118.75
478,21 ,33.5,-124.375
479,14 ,43.0,-120.625
480,14 ,45.5,-120.625
481,13 ,43.5,-120.0
482,11 ,36.0,-116.875
483,3 ,43.0,-103.125
484,10 ,38.0,-118.75
485,10 ,48.0,-113.125
486,14 ,44.5,-120.625
487,5 ,40.0,-115.625
488,16 ,49.0,-123.75
489,7 ,49.5,-106.875
490,3 ,43.0,-106.25
491,13 ,43.5,-121.25
492,5 ,45.0,-103.75
493,7 ,46.5,-107.5
494,21 ,35.0,-125.0
495,14 ,36.0,-120.0
496,3 ,42.0,-101.875
497,8 ,35.0,-110.0
498,8 ,41.5,-111.875
499,3 ,42.5,-103.125
500,3 ,43.0,-105.625
501,7 ,37.5,-112.5
502,5 ,44.0,-110.625
503,3 ,32.5,-101.875
504,5 ,43.5,-106.875
505,5 ,48.5,-104.375
506,16 ,31.5,-120.625
507,5 ,44.0,-105.0
508,10 ,32.0,-113.75
509,11 ,45.5,-116.25
510,16 ,41.5,-121.875
511,19 ,33.5,-123.75
512,17 ,44.5,-125.0
513,8 ,35.5,-111.875
514,14 ,45.0,-121.25
515,5 ,47.5,-105.0
516,17 ,42.0,-124.375
517,5 ,38.5,-104.375
518,3 ,44.0,-103.125
519,5 ,35.5,-105.0
520,11 ,35.5,-118.125
521,7 ,31.5,-110.625
522,10 ,46.0,-113.75
523,7 ,37.5,-109.375
524,14 ,48.0,-121.875
525,7 ,35.0,-108.125
526,7 ,40.5,-107.5
527,17 ,32.0,-122.5
528,5 ,44.5,-104.375
529,10 ,44.0,-116.25
