,ELCC,latitude,longitude
0,33 ,47.0,-115.625
1,32 ,37.0,-106.875
2,38 ,32.0,-118.125
3,38 ,37.0,-119.375
4,32 ,47.0,-106.875
5,33 ,49.0,-110.625
6,32 ,42.0,-108.125
7,35 ,32.0,-114.375
8,33 ,48.0,-110.625
9,32 ,45.0,-105.625
10,39 ,33.0,-121.875
11,32 ,48.0,-106.875
12,35 ,48.0,-114.375
13,33 ,38.0,-113.125
14,35 ,47.0,-118.125
15,32 ,43.0,-110.625
16,32 ,41.0,-106.875
17,38 ,47.0,-121.875
18,38 ,39.0,-120.625
19,33 ,38.0,-109.375
20,32 ,46.0,-104.375
21,33 ,47.0,-113.125
22,30 ,39.0,-101.875
23,35 ,36.0,-114.375
24,30 ,41.0,-103.125
25,42 ,34.0,-124.375
26,39 ,34.0,-120.625
27,33 ,48.0,-111.875
28,32 ,35.0,-108.125
29,42 ,35.0,-124.375
30,38 ,38.0,-120.625
31,32 ,36.0,-106.875
32,35 ,49.0,-113.125
33,35 ,44.0,-121.875
34,32 ,48.0,-104.375
35,30 ,35.0,-103.125
36,35 ,39.0,-119.375
37,32 ,43.0,-109.375
38,40 ,34.0,-121.875
39,30 ,48.0,-103.125
40,32 ,37.0,-111.875
41,32 ,44.0,-109.375
42,35 ,33.0,-113.125
43,33 ,49.0,-109.375
44,39 ,33.0,-120.625
45,30 ,32.0,-104.375
46,33 ,40.0,-109.375
47,38 ,34.0,-118.125
48,33 ,38.0,-110.625
49,41 ,33.0,-123.125
50,35 ,46.0,-114.375
51,33 ,49.0,-116.875
52,36 ,35.0,-118.125
53,30 ,39.0,-103.125
54,35 ,34.0,-114.375
55,39 ,36.0,-120.625
56,30 ,38.0,-103.125
57,30 ,43.0,-101.875
58,30 ,49.0,-101.875
59,35 ,34.0,-113.125
60,33 ,37.0,-113.125
61,33 ,47.0,-116.875
62,32 ,49.0,-106.875
63,32 ,49.0,-104.375
64,38 ,47.0,-123.125
65,33 ,42.0,-111.875
66,33 ,32.0,-111.875
67,30 ,49.0,-103.125
68,32 ,47.0,-104.375
69,41 ,35.0,-123.125
70,35 ,36.0,-118.125
71,33 ,42.0,-113.125
72,32 ,41.0,-109.375
73,35 ,38.0,-118.125
74,33 ,38.0,-111.875
75,32 ,35.0,-106.875
76,33 ,35.0,-111.875
77,33 ,35.0,-110.625
78,32 ,45.0,-106.875
79,32 ,40.0,-111.875
80,33 ,48.0,-116.875
81,33 ,45.0,-118.125
82,32 ,48.0,-105.625
83,30 ,40.0,-101.875
84,32 ,40.0,-106.875
85,41 ,32.0,-124.375
86,39 ,46.0,-123.125
87,39 ,41.0,-121.875
