,ELCC,latitude,longitude
0,0 ,49.5,-118.75
1,21 ,46.0,-103.75
2,24 ,33.5,-102.5
3,24 ,48.5,-102.5
4,8 ,42.0,-110.625
5,7 ,37.0,-113.125
6,22 ,46.5,-105.0
7,10 ,43.5,-107.5
8,8 ,39.5,-123.75
9,2 ,37.0,-106.25
10,16 ,46.0,-109.375
11,0 ,33.0,-117.5
12,7 ,37.5,-110.0
13,10 ,34.0,-106.875
14,7 ,40.0,-118.75
15,5 ,46.5,-112.5
16,22 ,31.5,-112.5
17,1 ,44.5,-110.0
18,19 ,46.5,-101.875
19,13 ,33.0,-118.75
20,8 ,42.0,-115.0
21,11 ,33.0,-113.125
22,5 ,37.0,-109.375
23,16 ,48.5,-111.25
24,10 ,38.5,-116.25
25,5 ,46.0,-121.25
26,42 ,34.5,-122.5
27,5 ,31.5,-116.25
28,39 ,35.5,-123.125
29,7 ,33.5,-115.625
30,28 ,36.5,-124.375
31,0 ,37.0,-119.375
32,41 ,35.0,-123.125
33,8 ,44.0,-106.875
34,7 ,39.0,-120.625
35,7 ,39.5,-119.375
36,3 ,46.0,-116.25
37,16 ,33.0,-115.0
38,5 ,34.0,-117.5
39,0 ,49.5,-124.375
40,22 ,40.5,-119.375
41,8 ,35.5,-114.375
42,13 ,32.5,-113.125
43,8 ,37.5,-115.625
44,5 ,33.0,-116.875
45,17 ,37.5,-121.875
46,10 ,31.5,-113.125
47,28 ,49.0,-106.25
48,5 ,44.0,-118.125
49,11 ,35.5,-118.75
50,11 ,40.0,-105.0
51,8 ,38.5,-119.375
52,11 ,43.5,-120.625
53,14 ,41.5,-116.25
54,13 ,43.0,-118.125
55,2 ,45.0,-109.375
56,3 ,47.5,-116.875
57,0 ,48.5,-121.875
58,3 ,43.5,-108.125
59,49 ,35.5,-122.5
60,2 ,47.5,-116.25
61,3 ,37.5,-120.0
62,21 ,32.0,-112.5
63,11 ,47.5,-111.875
64,14 ,49.5,-109.375
65,5 ,34.5,-114.375
66,21 ,47.0,-102.5
67,3 ,44.0,-118.75
68,39 ,38.5,-101.875
69,8 ,34.5,-113.125
70,0 ,37.5,-107.5
71,2 ,38.5,-106.25
72,28 ,38.0,-122.5
73,7 ,41.0,-110.0
74,13 ,48.0,-110.625
75,25 ,35.5,-121.25
76,7 ,33.5,-110.0
77,30 ,48.5,-105.625
78,2 ,39.5,-114.375
79,33 ,42.0,-103.75
80,7 ,43.5,-114.375
81,2 ,31.5,-110.0
82,14 ,41.5,-121.875
83,7 ,35.0,-111.25
84,22 ,41.5,-125.0
85,2 ,40.5,-105.625
86,30 ,31.5,-120.625
87,16 ,43.0,-106.875
88,8 ,37.0,-110.625
89,30 ,41.0,-118.75
90,10 ,33.5,-115.0
91,16 ,45.0,-103.125
92,7 ,35.5,-113.75
93,7 ,45.5,-118.125
94,2 ,43.0,-121.875
95,2 ,48.5,-124.375
96,11 ,41.0,-122.5
97,24 ,33.5,-103.75
98,3 ,39.5,-108.75
99,3 ,35.5,-108.75
100,7 ,45.0,-118.75
101,3 ,35.5,-110.625
102,24 ,45.0,-125.0
103,39 ,32.5,-122.5
104,10 ,38.0,-110.625
105,14 ,34.5,-104.375
106,0 ,38.0,-107.5
107,7 ,36.0,-112.5
108,32 ,41.5,-104.375
109,21 ,49.5,-108.125
110,5 ,46.5,-111.875
111,36 ,33.0,-121.25
112,16 ,42.5,-116.25
113,0 ,49.0,-117.5
114,10 ,46.5,-118.75
115,3 ,36.0,-116.25
116,25 ,31.5,-120.0
117,2 ,43.5,-116.875
118,28 ,42.0,-116.875
119,5 ,39.0,-111.875
120,22 ,49.0,-103.125
121,5 ,47.5,-119.375
122,17 ,35.0,-101.875
123,21 ,34.0,-101.875
124,22 ,38.5,-122.5
125,5 ,40.0,-123.75
126,7 ,34.5,-116.25
127,22 ,32.5,-105.0
128,36 ,40.0,-121.875
129,30 ,37.5,-123.75
130,7 ,38.5,-113.75
131,2 ,38.5,-109.375
132,16 ,35.5,-117.5
133,3 ,42.0,-123.125
134,11 ,42.0,-124.375
135,3 ,42.5,-111.875
136,0 ,39.5,-107.5
137,3 ,45.5,-122.5
138,5 ,38.5,-120.625
139,10 ,34.5,-106.875
140,13 ,42.0,-110.0
141,14 ,32.5,-107.5
142,10 ,35.5,-106.875
143,7 ,44.5,-120.0
144,7 ,42.0,-122.5
145,11 ,41.5,-115.625
146,8 ,38.5,-120.0
147,2 ,43.5,-115.625
148,14 ,42.0,-108.75
149,21 ,33.5,-101.875
150,22 ,47.0,-106.25
151,3 ,36.5,-118.125
152,8 ,39.5,-112.5
153,22 ,46.0,-105.625
154,22 ,46.0,-101.875
155,11 ,41.5,-108.125
156,14 ,44.0,-103.125
157,5 ,43.0,-110.0
158,17 ,39.0,-116.875
159,7 ,33.0,-111.875
160,5 ,39.0,-113.75
161,30 ,49.5,-106.25
162,8 ,46.0,-110.0
