,ELCC,latitude,longitude
0,42 ,32.0,-103.125
1,28 ,37.0,-106.875
2,28 ,48.0,-119.375
3,35 ,40.0,-104.375
4,36 ,41.0,-121.875
5,28 ,44.0,-110.625
6,35 ,46.0,-120.625
7,42 ,40.0,-110.625
8,27 ,49.0,-116.875
9,39 ,46.0,-101.875
10,41 ,47.0,-106.875
11,35 ,43.0,-118.125
12,32 ,37.0,-109.375
13,32 ,36.0,-118.125
14,30 ,37.0,-108.125
15,27 ,44.0,-115.625
16,30 ,36.0,-108.125
17,41 ,48.0,-108.125
18,30 ,33.0,-108.125
19,33 ,41.0,-114.375
20,28 ,40.0,-114.375
21,32 ,44.0,-124.375
22,28 ,45.0,-114.375
23,27 ,47.0,-115.625
24,47 ,33.0,-104.375
25,27 ,46.0,-114.375
26,44 ,37.0,-101.875
27,33 ,38.0,-120.625
28,32 ,38.0,-118.125
29,50 ,32.0,-123.125
30,35 ,47.0,-118.125
31,28 ,45.0,-115.625
32,27 ,41.0,-113.125
33,28 ,48.0,-120.625
34,32 ,44.0,-108.125
35,30 ,42.0,-123.125
36,30 ,47.0,-116.875
37,39 ,43.0,-119.375
38,35 ,35.0,-105.625
39,27 ,45.0,-111.875
40,52 ,33.0,-121.875
41,28 ,40.0,-113.125
42,39 ,33.0,-101.875
43,35 ,36.0,-119.375
44,33 ,46.0,-119.375
45,28 ,48.0,-115.625
46,32 ,39.0,-123.125
47,36 ,35.0,-118.125
48,33 ,32.0,-108.125
49,28 ,39.0,-105.625
50,27 ,39.0,-106.875
51,32 ,36.0,-115.625
52,38 ,47.0,-108.125
53,32 ,35.0,-110.625
54,30 ,40.0,-115.625
55,32 ,42.0,-113.125
56,32 ,36.0,-113.125
57,27 ,49.0,-121.875
58,28 ,34.0,-109.375
59,32 ,38.0,-114.375
60,35 ,42.0,-115.625
61,35 ,48.0,-109.375
62,46 ,43.0,-104.375
63,41 ,32.0,-114.375
64,53 ,33.0,-123.125
65,53 ,34.0,-123.125
66,41 ,49.0,-101.875
67,28 ,32.0,-110.625
68,49 ,41.0,-101.875
69,28 ,46.0,-110.625
70,39 ,49.0,-108.125
71,33 ,35.0,-106.875
72,32 ,37.0,-114.375
73,47 ,40.0,-124.375
74,30 ,44.0,-119.375
75,41 ,49.0,-103.125
76,32 ,37.0,-110.625
77,36 ,34.0,-103.125
78,35 ,45.0,-124.375
79,30 ,34.0,-119.375
80,42 ,42.0,-118.125
81,32 ,37.0,-121.875
82,42 ,49.0,-104.375
83,33 ,33.0,-105.625
84,28 ,40.0,-105.625
85,35 ,49.0,-111.875
86,33 ,46.0,-124.375
87,32 ,33.0,-111.875
88,30 ,44.0,-118.125
89,28 ,45.0,-116.875
90,50 ,39.0,-124.375
91,36 ,46.0,-109.375
92,38 ,35.0,-101.875
93,32 ,36.0,-114.375
94,44 ,41.0,-118.125
95,41 ,33.0,-103.125
96,30 ,39.0,-113.125
97,28 ,44.0,-109.375
98,36 ,44.0,-104.375
99,32 ,34.0,-113.125
100,50 ,35.0,-124.375
101,33 ,34.0,-111.875
102,33 ,40.0,-119.375
103,33 ,43.0,-124.375
104,36 ,42.0,-108.125
105,27 ,48.0,-121.875
106,41 ,32.0,-119.375
107,32 ,39.0,-120.625
108,32 ,35.0,-115.625
109,36 ,36.0,-120.625
110,35 ,44.0,-120.625
111,35 ,35.0,-103.125
112,28 ,37.0,-118.125
113,39 ,46.0,-103.125
114,30 ,34.0,-110.625
115,32 ,42.0,-114.375
116,36 ,36.0,-103.125
117,32 ,43.0,-115.625
118,27 ,32.0,-116.875
119,33 ,47.0,-109.375
120,57 ,38.0,-123.125
121,27 ,46.0,-115.625
122,27 ,49.0,-123.125
123,42 ,48.0,-106.875
124,38 ,32.0,-101.875
125,50 ,37.0,-123.125
126,32 ,45.0,-119.375
127,32 ,32.0,-118.125
128,28 ,49.0,-114.375
129,49 ,34.0,-120.625
130,36 ,45.0,-105.625
131,27 ,38.0,-106.875
132,30 ,46.0,-111.875
133,32 ,41.0,-109.375
134,32 ,46.0,-118.125
135,28 ,40.0,-123.125
136,28 ,44.0,-116.875
137,50 ,38.0,-101.875
138,27 ,47.0,-114.375
139,38 ,39.0,-103.125
140,47 ,41.0,-103.125
141,32 ,35.0,-109.375
142,32 ,43.0,-109.375
143,30 ,47.0,-120.625
144,36 ,32.0,-111.875
145,32 ,39.0,-104.375
146,28 ,48.0,-118.125
147,33 ,47.0,-124.375
148,28 ,41.0,-110.625
149,35 ,41.0,-116.875
150,49 ,40.0,-121.875
151,30 ,33.0,-118.125
152,32 ,32.0,-115.625
153,32 ,43.0,-123.125
154,36 ,37.0,-116.875
155,49 ,36.0,-124.375
156,32 ,33.0,-115.625
157,28 ,44.0,-123.125
158,42 ,42.0,-116.875
159,53 ,34.0,-121.875
160,27 ,47.0,-121.875
161,32 ,47.0,-119.375
162,27 ,40.0,-106.875
163,30 ,38.0,-111.875
164,30 ,46.0,-123.125
165,44 ,48.0,-105.625
166,52 ,33.0,-124.375
167,33 ,38.0,-115.625
168,32 ,47.0,-111.875
169,32 ,37.0,-113.125
170,33 ,35.0,-116.875
171,35 ,49.0,-110.625
172,42 ,41.0,-119.375
173,33 ,43.0,-108.125
174,32 ,34.0,-116.875
175,44 ,32.0,-104.375
176,35 ,40.0,-116.875
177,28 ,46.0,-116.875
178,33 ,49.0,-113.125
179,35 ,43.0,-113.125
180,30 ,35.0,-108.125
181,50 ,38.0,-124.375
182,42 ,40.0,-103.125
183,33 ,35.0,-113.125
184,33 ,34.0,-106.875
185,32 ,40.0,-109.375
186,30 ,47.0,-110.625
187,36 ,42.0,-124.375
188,32 ,41.0,-115.625
189,30 ,45.0,-118.125
190,28 ,49.0,-115.625
191,28 ,41.0,-106.875
192,38 ,39.0,-116.875
193,30 ,41.0,-108.125
194,47 ,42.0,-103.125
195,38 ,45.0,-103.125
196,38 ,38.0,-104.375
197,28 ,41.0,-123.125
198,28 ,44.0,-121.875
199,35 ,45.0,-106.875
200,36 ,43.0,-106.875
201,38 ,38.0,-116.875
202,53 ,34.0,-124.375
203,44 ,40.0,-101.875
204,30 ,33.0,-116.875
205,42 ,43.0,-105.625
206,42 ,33.0,-119.375
207,33 ,33.0,-114.375
208,36 ,42.0,-109.375
209,33 ,44.0,-111.875
210,28 ,34.0,-118.125
211,30 ,40.0,-111.875
212,28 ,45.0,-109.375
213,27 ,41.0,-111.875
214,28 ,40.0,-108.125
215,27 ,37.0,-119.375
216,46 ,42.0,-101.875
217,39 ,46.0,-106.875
218,36 ,48.0,-111.875
219,32 ,32.0,-106.875
220,30 ,36.0,-106.875
221,33 ,39.0,-119.375
222,41 ,44.0,-101.875
223,30 ,37.0,-105.625
224,41 ,47.0,-103.125
225,41 ,47.0,-105.625
226,28 ,48.0,-114.375
227,39 ,45.0,-101.875
228,50 ,33.0,-120.625
229,35 ,45.0,-104.375
230,35 ,37.0,-104.375
231,47 ,42.0,-104.375
232,28 ,47.0,-123.125
233,35 ,48.0,-110.625
234,32 ,44.0,-106.875
235,27 ,49.0,-119.375
236,30 ,46.0,-121.875
237,33 ,34.0,-115.625
238,27 ,48.0,-123.125
239,55 ,38.0,-121.875
240,44 ,44.0,-105.625
241,30 ,36.0,-110.625
242,28 ,45.0,-121.875
243,28 ,41.0,-105.625
244,33 ,42.0,-110.625
245,39 ,34.0,-101.875
246,30 ,44.0,-114.375
247,33 ,38.0,-110.625
248,42 ,39.0,-101.875
249,50 ,36.0,-123.125
250,28 ,48.0,-116.875
251,36 ,44.0,-103.125
252,50 ,36.0,-121.875
253,41 ,43.0,-101.875
254,30 ,38.0,-105.625
255,33 ,35.0,-120.625
256,32 ,35.0,-114.375
257,38 ,49.0,-109.375
258,28 ,45.0,-113.125
259,38 ,47.0,-101.875
260,30 ,43.0,-110.625
261,33 ,40.0,-120.625
262,32 ,35.0,-119.375
263,30 ,34.0,-114.375
264,27 ,49.0,-118.125
265,39 ,46.0,-104.375
266,35 ,42.0,-120.625
267,41 ,41.0,-104.375
268,32 ,33.0,-106.875
269,44 ,42.0,-119.375
270,33 ,39.0,-110.625
271,30 ,36.0,-105.625
272,36 ,34.0,-104.375
273,27 ,49.0,-124.375
274,33 ,43.0,-120.625
275,32 ,43.0,-111.875
276,35 ,32.0,-113.125
277,39 ,36.0,-101.875
278,41 ,32.0,-105.625
279,36 ,37.0,-120.625
280,38 ,46.0,-108.125
281,35 ,41.0,-120.625
282,39 ,48.0,-101.875
283,33 ,38.0,-119.375
284,39 ,41.0,-124.375
285,42 ,37.0,-103.125
286,27 ,49.0,-120.625
287,30 ,39.0,-111.875
288,30 ,48.0,-113.125
289,41 ,46.0,-105.625
290,50 ,38.0,-103.125
291,42 ,49.0,-106.875
292,30 ,40.0,-118.125
293,32 ,37.0,-111.875
294,32 ,33.0,-110.625
295,39 ,47.0,-104.375
296,46 ,49.0,-105.625
297,42 ,43.0,-103.125
298,32 ,38.0,-113.125
299,28 ,39.0,-114.375
300,32 ,44.0,-113.125
301,30 ,35.0,-111.875
302,49 ,32.0,-124.375
303,30 ,45.0,-123.125
304,36 ,36.0,-104.375
305,47 ,37.0,-124.375
306,41 ,42.0,-105.625
307,55 ,35.0,-123.125
308,33 ,43.0,-114.375
309,30 ,36.0,-109.375
310,32 ,32.0,-109.375
311,28 ,47.0,-113.125
312,36 ,35.0,-104.375
313,33 ,42.0,-121.875
314,41 ,48.0,-103.125
315,28 ,43.0,-121.875
316,32 ,45.0,-108.125
317,42 ,48.0,-104.375
318,36 ,42.0,-106.875
319,28 ,42.0,-111.875
320,28 ,38.0,-108.125
321,27 ,46.0,-113.125
322,58 ,35.0,-121.875
323,36 ,45.0,-120.625
324,33 ,43.0,-116.875
325,27 ,45.0,-110.625
326,32 ,34.0,-105.625
327,28 ,39.0,-108.125
328,30 ,34.0,-108.125
329,32 ,37.0,-115.625
330,28 ,39.0,-109.375
331,32 ,33.0,-109.375
332,49 ,32.0,-120.625
333,28 ,48.0,-124.375
334,32 ,38.0,-109.375
335,33 ,39.0,-118.125
336,44 ,39.0,-121.875
337,32 ,39.0,-115.625
338,33 ,33.0,-113.125
339,52 ,32.0,-121.875
340,32 ,36.0,-116.875
341,30 ,36.0,-111.875
