,ELCC,latitude,longitude
0,13 ,33.5,-105.625
1,11 ,35.0,-119.375
2,5 ,45.0,-113.125
3,30 ,43.0,-113.125
4,32 ,38.0,-121.25
5,5 ,32.0,-108.125
6,53 ,32.0,-115.0
7,3 ,36.0,-113.125
8,5 ,48.5,-106.875
9,49 ,38.0,-101.875
10,0 ,49.5,-119.375
11,3 ,44.0,-122.5
12,7 ,46.5,-122.5
13,7 ,46.0,-111.875
14,16 ,32.0,-123.75
15,0 ,40.5,-123.75
16,0 ,47.5,-123.75
17,3 ,46.5,-123.125
18,8 ,36.0,-121.25
19,5 ,42.5,-122.5
20,10 ,35.0,-113.75
21,13 ,44.5,-123.75
22,55 ,38.5,-102.5
23,41 ,40.5,-124.375
24,64 ,37.5,-125.0
25,8 ,35.0,-118.75
26,17 ,36.5,-120.625
27,13 ,39.5,-120.0
28,39 ,33.0,-104.375
29,14 ,31.5,-123.125
30,0 ,38.5,-114.375
31,0 ,47.0,-118.125
32,10 ,34.5,-108.75
33,36 ,38.0,-121.875
34,7 ,34.5,-107.5
35,7 ,35.0,-109.375
36,49 ,43.5,-124.375
37,7 ,44.5,-101.875
38,5 ,47.0,-110.625
39,13 ,37.5,-121.875
40,2 ,44.5,-112.5
41,14 ,40.0,-116.25
42,0 ,38.0,-108.125
43,22 ,42.0,-116.25
44,17 ,37.0,-110.625
45,2 ,49.5,-103.125
46,32 ,43.0,-106.25
47,32 ,34.0,-103.125
48,5 ,43.0,-122.5
49,10 ,38.0,-122.5
50,13 ,42.5,-103.125
51,3 ,45.5,-117.5
52,0 ,36.5,-121.875
53,27 ,32.0,-112.5
54,21 ,43.0,-105.0
55,2 ,37.5,-118.125
56,21 ,39.0,-105.0
57,8 ,36.5,-116.25
58,0 ,47.0,-121.875
59,14 ,39.0,-113.125
60,25 ,38.5,-110.625
61,11 ,44.0,-118.125
62,0 ,40.5,-118.125
63,28 ,35.5,-103.125
64,7 ,44.5,-122.5
65,2 ,36.0,-115.0
66,28 ,33.0,-121.875
67,3 ,45.5,-113.125
68,3 ,38.5,-111.875
69,21 ,46.5,-108.75
70,0 ,49.5,-116.25
71,3 ,48.5,-108.125
72,11 ,48.0,-106.25
73,27 ,32.5,-121.875
74,0 ,37.5,-119.375
75,19 ,45.5,-106.25
76,2 ,46.5,-121.25
77,3 ,43.0,-102.5
78,14 ,37.5,-116.875
79,24 ,35.0,-121.875
80,41 ,43.0,-115.0
81,3 ,44.5,-115.625
82,2 ,48.5,-103.125
83,14 ,47.5,-108.75
84,0 ,46.0,-116.25
85,0 ,49.5,-122.5
86,17 ,47.5,-111.875
87,0 ,41.5,-106.875
88,14 ,37.5,-117.5
89,0 ,40.5,-106.875
90,0 ,49.0,-101.875
91,8 ,42.0,-122.5
92,60 ,38.5,-103.125
93,5 ,34.5,-118.75
94,10 ,47.0,-111.875
95,33 ,34.0,-101.875
96,35 ,33.5,-104.375
