,ELCC,latitude,longitude
0,8 ,42.0,-118.125
1,2 ,37.5,-105.0
2,2 ,33.0,-108.75
3,7 ,39.5,-116.25
4,5 ,33.0,-113.125
5,5 ,43.5,-109.375
6,3 ,31.5,-111.875
7,8 ,44.0,-116.25
8,7 ,43.0,-115.625
9,10 ,41.0,-118.75
10,14 ,35.5,-125.0
11,5 ,44.0,-110.625
12,11 ,44.0,-121.25
13,7 ,37.0,-113.125
14,5 ,36.0,-113.125
15,8 ,42.0,-121.25
16,2 ,32.5,-108.75
17,3 ,44.0,-108.125
18,5 ,46.5,-111.25
19,5 ,42.5,-111.875
20,8 ,38.5,-117.5
21,2 ,39.5,-102.5
22,5 ,44.5,-111.875
23,5 ,45.5,-111.875
24,11 ,47.5,-120.625
25,3 ,47.5,-105.0
26,8 ,42.5,-117.5
27,5 ,41.0,-110.625
28,10 ,43.5,-122.5
29,11 ,35.5,-122.5
30,1 ,33.0,-103.75
31,5 ,34.5,-116.25
32,2 ,44.0,-101.875
33,10 ,47.5,-120.0
34,10 ,33.5,-120.625
35,10 ,45.0,-120.0
36,3 ,44.5,-106.25
37,8 ,42.0,-120.625
38,10 ,41.5,-123.125
39,10 ,33.5,-119.375
40,5 ,41.5,-111.875
41,10 ,35.5,-120.625
42,3 ,42.0,-106.875
43,8 ,40.0,-116.875
44,7 ,34.5,-115.625
45,10 ,38.0,-121.25
46,2 ,40.5,-105.0
47,10 ,32.5,-118.125
48,8 ,32.0,-118.125
49,13 ,49.0,-123.75
50,13 ,48.0,-123.125
51,10 ,36.0,-120.625
52,2 ,37.5,-105.625
53,5 ,43.5,-110.625
54,2 ,38.0,-106.25
55,8 ,34.5,-120.0
56,3 ,48.5,-104.375
57,2 ,35.0,-104.375
58,7 ,47.5,-113.125
59,7 ,37.5,-115.0
60,8 ,44.0,-117.5
61,8 ,45.5,-116.875
62,13 ,49.0,-124.375
63,7 ,48.5,-114.375
64,8 ,37.5,-116.875
65,10 ,40.5,-122.5
66,8 ,34.5,-119.375
67,3 ,36.0,-108.75
68,8 ,36.5,-120.0
69,3 ,41.5,-108.125
70,8 ,41.5,-122.5
71,3 ,32.0,-110.625
72,10 ,44.0,-118.75
73,2 ,39.0,-101.875
74,10 ,32.5,-121.25
75,5 ,33.5,-113.75
76,13 ,46.0,-123.125
77,11 ,47.5,-121.875
78,11 ,34.5,-121.25
79,10 ,46.0,-119.375
80,2 ,44.0,-104.375
81,3 ,35.5,-109.375
82,2 ,38.0,-103.75
83,3 ,32.5,-106.875
84,2 ,39.5,-106.25
85,5 ,41.5,-111.25
86,8 ,47.0,-118.125
