,ELCC,latitude,longitude
0,2 ,45.0,-105.625
1,2 ,36.0,-105.625
2,10 ,36.0,-120.625
3,7 ,48.0,-116.875
4,5 ,47.0,-111.875
5,11 ,39.0,-121.875
6,7 ,35.0,-115.625
7,3 ,43.0,-108.125
8,5 ,35.0,-114.375
9,3 ,34.0,-110.625
10,3 ,32.0,-110.625
11,0 ,41.0,-101.875
12,8 ,42.0,-118.125
13,11 ,35.0,-120.625
14,13 ,38.0,-123.125
15,3 ,46.0,-108.125
16,5 ,40.0,-113.125
17,5 ,41.0,-113.125
18,2 ,46.0,-103.125
19,3 ,49.0,-109.375
20,2 ,39.0,-104.375
21,2 ,44.0,-106.875
22,8 ,45.0,-120.625
23,11 ,32.0,-121.875
24,2 ,39.0,-108.125
25,3 ,36.0,-113.125
26,0 ,43.0,-101.875
27,3 ,41.0,-109.375
28,2 ,34.0,-108.125
29,5 ,34.0,-114.375
30,2 ,35.0,-106.875
31,5 ,48.0,-111.875
32,5 ,49.0,-110.625
33,3 ,33.0,-109.375
34,10 ,44.0,-123.125
35,2 ,48.0,-106.875
36,3 ,48.0,-109.375
37,5 ,41.0,-111.875
38,7 ,39.0,-115.625
39,13 ,43.0,-124.375
40,7 ,43.0,-115.625
41,10 ,39.0,-120.625
42,10 ,44.0,-119.375
43,3 ,35.0,-110.625
44,11 ,46.0,-121.875
45,3 ,40.0,-109.375
46,7 ,34.0,-115.625
47,5 ,45.0,-111.875
48,3 ,38.0,-110.625
49,5 ,43.0,-113.125
50,3 ,36.0,-110.625
51,5 ,34.0,-113.125
52,0 ,35.0,-101.875
53,2 ,43.0,-105.625
54,14 ,34.0,-124.375
55,13 ,48.0,-124.375
56,2 ,40.0,-106.875
57,14 ,40.0,-124.375
58,2 ,47.0,-106.875
59,7 ,38.0,-115.625
60,8 ,47.0,-119.375
61,7 ,46.0,-116.875
62,2 ,38.0,-106.875
63,5 ,39.0,-111.875
64,8 ,42.0,-119.375
65,5 ,49.0,-114.375
66,10 ,44.0,-120.625
67,8 ,33.0,-118.125
68,5 ,40.0,-114.375
69,5 ,33.0,-114.375
70,5 ,38.0,-114.375
71,3 ,39.0,-110.625
72,1 ,44.0,-101.875
73,11 ,46.0,-123.125
74,2 ,38.0,-108.125
75,3 ,47.0,-109.375
76,3 ,34.0,-111.875
77,5 ,33.0,-111.875
78,5 ,45.0,-115.625
79,11 ,47.0,-123.125
80,7 ,39.0,-116.875
81,5 ,48.0,-113.125
82,11 ,49.0,-121.875
83,8 ,44.0,-118.125
84,10 ,48.0,-120.625
85,3 ,47.0,-110.625
86,8 ,46.0,-119.375
87,2 ,45.0,-108.125
88,13 ,34.0,-123.125
89,14 ,41.0,-124.375
90,2 ,40.0,-105.625
91,2 ,45.0,-103.125
92,3 ,42.0,-110.625
93,11 ,33.0,-120.625
94,3 ,32.0,-111.875
95,7 ,47.0,-115.625
96,11 ,34.0,-121.875
97,11 ,41.0,-123.125
98,11 ,35.0,-121.875
99,11 ,33.0,-121.875
100,8 ,45.0,-119.375
101,2 ,44.0,-105.625
102,10 ,40.0,-123.125
103,2 ,49.0,-101.875
104,3 ,49.0,-108.125
105,7 ,47.0,-116.875
106,11 ,37.0,-121.875
107,13 ,35.0,-123.125
108,8 ,40.0,-118.125
109,2 ,41.0,-106.875
110,10 ,38.0,-119.375
111,2 ,32.0,-106.875
112,3 ,36.0,-111.875
113,3 ,33.0,-110.625
114,10 ,43.0,-120.625
115,8 ,49.0,-118.125
116,10 ,47.0,-120.625
117,8 ,49.0,-119.375
118,0 ,42.0,-101.875
119,2 ,33.0,-103.125
120,3 ,44.0,-109.375
121,11 ,47.0,-121.875
122,7 ,40.0,-115.625
123,8 ,40.0,-119.375
124,5 ,42.0,-113.125
125,2 ,38.0,-103.125
126,2 ,39.0,-103.125
127,3 ,41.0,-110.625
128,3 ,39.0,-109.375
129,7 ,35.0,-116.875
130,3 ,36.0,-108.125
131,2 ,32.0,-105.625
132,10 ,43.0,-119.375
133,5 ,32.0,-113.125
134,13 ,46.0,-124.375
135,3 ,38.0,-109.375
136,5 ,41.0,-115.625
137,10 ,38.0,-120.625
138,11 ,32.0,-120.625
139,7 ,36.0,-115.625
140,7 ,44.0,-114.375
141,2 ,42.0,-108.125
142,2 ,40.0,-108.125
143,2 ,44.0,-104.375
144,7 ,38.0,-118.125
145,5 ,36.0,-114.375
146,8 ,37.0,-118.125
147,5 ,42.0,-111.875
148,13 ,33.0,-123.125
149,2 ,37.0,-106.875
150,7 ,42.0,-116.875
151,2 ,38.0,-104.375
152,5 ,47.0,-113.125
153,2 ,48.0,-103.125
154,7 ,49.0,-115.625
155,2 ,35.0,-105.625
156,11 ,45.0,-123.125
157,2 ,37.0,-103.125
158,7 ,43.0,-116.875
159,5 ,45.0,-114.375
160,2 ,35.0,-104.375
161,0 ,42.0,-103.125
162,2 ,41.0,-103.125
163,2 ,43.0,-103.125
164,10 ,36.0,-119.375
165,3 ,38.0,-113.125
166,0 ,34.0,-101.875
167,10 ,43.0,-121.875
168,7 ,45.0,-116.875
169,2 ,41.0,-105.625
170,3 ,48.0,-108.125
171,5 ,45.0,-113.125
172,5 ,48.0,-114.375
173,5 ,40.0,-111.875
174,11 ,36.0,-121.875
175,8 ,34.0,-118.125
176,2 ,34.0,-103.125
177,0 ,37.0,-101.875
178,2 ,42.0,-105.625
179,5 ,37.0,-113.125
180,8 ,39.0,-119.375
181,11 ,43.0,-123.125
182,5 ,43.0,-111.875
183,2 ,44.0,-103.125
184,3 ,35.0,-109.375
185,5 ,47.0,-114.375
186,2 ,47.0,-105.625
187,2 ,44.0,-108.125
188,10 ,42.0,-123.125
189,2 ,37.0,-104.375
190,8 ,45.0,-118.125
191,8 ,33.0,-116.875
192,2 ,47.0,-103.125
193,3 ,36.0,-109.375
194,2 ,49.0,-104.375
195,0 ,39.0,-101.875
196,2 ,37.0,-105.625
197,8 ,47.0,-118.125
198,7 ,33.0,-115.625
199,2 ,35.0,-103.125
200,0 ,36.0,-101.875
201,11 ,42.0,-121.875
202,10 ,45.0,-121.875
203,13 ,38.0,-124.375
204,3 ,40.0,-110.625
205,2 ,43.0,-104.375
206,2 ,49.0,-105.625
207,11 ,40.0,-121.875
208,10 ,49.0,-120.625
209,2 ,48.0,-105.625
210,14 ,32.0,-124.375
211,8 ,37.0,-116.875
212,5 ,37.0,-114.375
213,8 ,36.0,-118.125
214,10 ,46.0,-120.625
215,3 ,46.0,-110.625
216,10 ,33.0,-119.375
217,3 ,44.0,-110.625
218,2 ,41.0,-104.375
219,8 ,41.0,-118.125
220,13 ,37.0,-124.375
221,3 ,37.0,-111.875
222,7 ,49.0,-116.875
223,11 ,34.0,-120.625
224,10 ,35.0,-119.375
225,13 ,37.0,-123.125
226,2 ,46.0,-104.375
227,3 ,38.0,-111.875
228,7 ,40.0,-116.875
229,2 ,33.0,-105.625
230,13 ,39.0,-124.375
231,3 ,37.0,-109.375
232,2 ,34.0,-105.625
233,13 ,36.0,-124.375
234,2 ,46.0,-106.875
235,10 ,40.0,-120.625
236,2 ,48.0,-101.875
237,2 ,42.0,-104.375
238,8 ,48.0,-119.375
239,5 ,49.0,-113.125
240,13 ,47.0,-124.375
241,7 ,41.0,-116.875
242,2 ,35.0,-108.125
243,13 ,44.0,-124.375
244,3 ,43.0,-110.625
245,2 ,45.0,-101.875
246,3 ,42.0,-109.375
247,7 ,48.0,-115.625
248,2 ,40.0,-104.375
249,14 ,42.0,-124.375
250,11 ,49.0,-124.375
251,2 ,36.0,-103.125
252,8 ,46.0,-118.125
253,2 ,46.0,-101.875
254,5 ,49.0,-111.875
255,3 ,45.0,-109.375
256,2 ,36.0,-104.375
257,5 ,44.0,-113.125
258,2 ,49.0,-106.875
259,13 ,32.0,-123.125
260,2 ,47.0,-101.875
261,7 ,44.0,-115.625
262,10 ,34.0,-119.375
263,8 ,39.0,-118.125
264,7 ,46.0,-115.625
265,8 ,43.0,-118.125
266,2 ,43.0,-106.875
267,0 ,32.0,-101.875
268,5 ,32.0,-114.375
269,8 ,36.0,-116.875
270,3 ,37.0,-110.625
