,ELCC,latitude,longitude
0,32 ,32.0,-109.375
1,35 ,47.0,-118.125
2,39 ,46.0,-124.375
3,30 ,43.0,-103.125
4,32 ,34.0,-109.375
5,32 ,42.0,-105.625
6,35 ,35.0,-115.625
7,32 ,48.0,-105.625
8,36 ,47.0,-121.875
9,38 ,36.0,-121.875
10,35 ,38.0,-118.125
11,33 ,40.0,-114.375
12,36 ,43.0,-119.375
13,32 ,43.0,-110.625
14,32 ,36.0,-105.625
15,32 ,37.0,-108.125
16,32 ,46.0,-104.375
17,38 ,34.0,-121.875
18,33 ,45.0,-111.875
19,35 ,48.0,-118.125
20,36 ,36.0,-119.375
21,30 ,40.0,-104.375
22,33 ,37.0,-113.125
23,30 ,39.0,-101.875
24,35 ,43.0,-116.875
25,33 ,33.0,-114.375
26,33 ,42.0,-115.625
27,36 ,35.0,-119.375
28,36 ,48.0,-121.875
29,38 ,39.0,-123.125
30,33 ,33.0,-111.875
31,32 ,44.0,-105.625
32,33 ,42.0,-113.125
33,33 ,41.0,-113.125
34,39 ,42.0,-124.375
35,33 ,34.0,-111.875
36,39 ,43.0,-124.375
37,33 ,42.0,-111.875
38,32 ,40.0,-110.625
39,33 ,42.0,-114.375
40,30 ,45.0,-104.375
41,39 ,35.0,-124.375
42,35 ,46.0,-118.125
43,36 ,33.0,-119.375
44,39 ,35.0,-123.125
45,32 ,44.0,-108.125
46,35 ,48.0,-116.875
47,38 ,35.0,-121.875
48,33 ,45.0,-110.625
49,35 ,40.0,-115.625
50,36 ,41.0,-119.375
51,33 ,39.0,-111.875
52,36 ,37.0,-119.375
53,32 ,49.0,-105.625
54,38 ,42.0,-121.875
55,30 ,38.0,-104.375
56,38 ,49.0,-123.125
57,32 ,34.0,-110.625
58,30 ,35.0,-104.375
59,32 ,44.0,-109.375
60,36 ,49.0,-120.625
61,35 ,34.0,-115.625
62,32 ,36.0,-108.125
63,30 ,34.0,-104.375
64,32 ,43.0,-109.375
65,36 ,48.0,-120.625
66,32 ,48.0,-109.375
67,32 ,37.0,-109.375
68,32 ,45.0,-105.625
69,32 ,39.0,-108.125
70,38 ,49.0,-124.375
71,30 ,49.0,-103.125
72,33 ,49.0,-113.125
73,33 ,49.0,-110.625
74,38 ,41.0,-123.125
75,38 ,48.0,-124.375
76,33 ,46.0,-115.625
77,30 ,48.0,-101.875
78,30 ,34.0,-101.875
79,30 ,46.0,-103.125
80,32 ,42.0,-108.125
81,38 ,46.0,-123.125
82,36 ,42.0,-119.375
83,30 ,44.0,-101.875
84,38 ,46.0,-121.875
85,39 ,32.0,-123.125
86,35 ,43.0,-115.625
87,32 ,48.0,-108.125
88,33 ,46.0,-110.625
89,36 ,44.0,-120.625
90,36 ,48.0,-119.375
