,ELCC,latitude,longitude
0,10 ,37.0,-105.625
1,10 ,43.5,-120.0
2,5 ,43.0,-123.75
3,2 ,44.5,-115.0
4,14 ,40.5,-105.0
5,24 ,41.5,-102.5
6,13 ,35.5,-120.0
7,22 ,48.0,-106.25
8,16 ,49.5,-108.125
9,7 ,41.0,-115.625
10,13 ,46.0,-105.0
11,13 ,40.0,-108.125
12,5 ,43.0,-116.875
13,2 ,48.5,-119.375
14,50 ,32.5,-123.75
15,13 ,45.5,-105.0
16,13 ,45.5,-104.375
17,47 ,32.5,-121.25
18,2 ,46.0,-115.625
19,3 ,47.5,-116.25
20,7 ,42.0,-115.625
21,16 ,32.0,-118.75
22,8 ,35.5,-116.875
23,2 ,49.0,-123.75
24,14 ,47.5,-111.875
25,16 ,46.0,-103.75
26,5 ,33.5,-116.25
27,21 ,47.0,-103.75
28,3 ,46.5,-113.125
29,28 ,32.0,-112.5
30,5 ,42.5,-110.625
31,27 ,39.0,-103.75
32,3 ,34.5,-110.0
33,0 ,36.5,-118.75
34,8 ,38.0,-105.625
35,7 ,49.5,-112.5
36,8 ,41.5,-113.75
37,8 ,42.0,-119.375
38,24 ,33.0,-102.5
39,11 ,42.5,-106.25
40,5 ,47.0,-119.375
41,22 ,49.5,-101.875
42,8 ,39.0,-118.75
43,32 ,38.5,-123.125
44,41 ,37.0,-124.375
45,0 ,40.5,-112.5
46,30 ,44.5,-101.875
47,2 ,36.0,-115.0
48,11 ,45.5,-108.125
49,30 ,39.5,-103.75
50,2 ,42.0,-123.75
51,22 ,40.5,-108.125
52,7 ,38.5,-116.25
53,11 ,37.5,-109.375
54,10 ,36.5,-108.125
55,5 ,40.5,-118.75
56,7 ,37.5,-120.0
57,2 ,45.0,-115.0
58,24 ,36.0,-103.125
59,2 ,34.5,-115.625
60,2 ,44.5,-110.625
61,3 ,42.5,-121.25
62,0 ,34.0,-109.375
63,8 ,44.0,-108.75
64,30 ,33.0,-103.75
65,3 ,36.5,-110.0
66,2 ,45.5,-111.875
67,38 ,38.0,-125.0
68,19 ,31.5,-108.75
69,28 ,46.0,-101.875
70,5 ,43.5,-115.0
71,46 ,32.5,-120.625
72,2 ,39.0,-115.0
73,11 ,42.0,-117.5
74,27 ,47.5,-107.5
75,46 ,34.0,-125.0
76,49 ,37.5,-123.75
77,49 ,32.0,-122.5
78,49 ,33.0,-121.25
79,3 ,45.5,-110.0
80,0 ,41.0,-111.875
81,2 ,38.0,-120.0
82,17 ,34.0,-105.625
83,3 ,35.0,-118.75
84,5 ,39.0,-111.875
85,14 ,49.5,-104.375
86,19 ,46.0,-106.875
87,39 ,36.5,-124.375
88,3 ,41.5,-111.25
89,13 ,43.5,-103.75
90,16 ,41.5,-105.0
91,46 ,38.5,-103.125
92,0 ,49.5,-121.25
93,3 ,37.0,-113.75
94,10 ,41.5,-105.625
95,7 ,43.0,-107.5
96,7 ,41.5,-115.625
97,7 ,33.0,-108.125
98,7 ,41.0,-118.125
99,8 ,38.0,-114.375
100,2 ,36.0,-113.75
101,13 ,41.5,-110.625
102,19 ,39.5,-104.375
103,5 ,34.0,-111.25
104,10 ,42.5,-120.0
105,3 ,37.0,-112.5
106,35 ,45.5,-125.0
107,30 ,43.5,-102.5
108,25 ,33.0,-103.125
109,25 ,46.5,-107.5
110,3 ,34.5,-110.625
111,10 ,36.5,-107.5
112,10 ,43.0,-108.125
113,16 ,48.0,-111.875
114,24 ,36.0,-101.875
115,5 ,46.0,-118.125
116,0 ,48.5,-116.875
117,2 ,36.5,-111.875
118,7 ,35.5,-107.5
119,22 ,49.0,-106.25
120,14 ,45.0,-105.0
121,5 ,43.0,-109.375
122,38 ,38.0,-121.875
123,50 ,32.5,-123.125
124,10 ,33.0,-111.25
125,7 ,37.0,-107.5
126,2 ,45.5,-117.5
127,19 ,45.0,-106.25
128,8 ,35.5,-111.25
129,5 ,44.0,-118.125
130,25 ,40.0,-104.375
131,25 ,47.0,-107.5
132,14 ,38.5,-121.25
133,28 ,41.5,-103.75
134,5 ,46.5,-112.5
135,35 ,31.5,-120.0
136,2 ,45.5,-111.25
137,5 ,42.5,-123.75
138,25 ,49.5,-102.5
139,28 ,37.0,-103.75
140,49 ,37.0,-123.125
141,3 ,45.0,-112.5
142,8 ,47.0,-110.0
143,8 ,42.0,-121.25
144,46 ,33.5,-120.625
145,2 ,40.0,-111.25
146,42 ,35.0,-121.25
147,32 ,47.5,-108.125
148,25 ,40.5,-104.375
149,10 ,33.0,-109.375
150,47 ,38.5,-102.5
151,0 ,45.0,-111.25
152,13 ,44.0,-111.875
153,22 ,43.5,-112.5
154,2 ,49.5,-120.0
155,46 ,36.0,-123.125
156,14 ,41.5,-107.5
157,17 ,32.0,-113.75
158,44 ,38.0,-103.75
159,5 ,35.0,-119.375
160,2 ,44.0,-115.0
161,5 ,46.0,-122.5
162,11 ,48.0,-110.0
163,27 ,33.0,-119.375
164,0 ,45.5,-115.625
165,8 ,46.5,-120.625
166,21 ,44.5,-106.25
167,21 ,32.5,-102.5
168,2 ,39.5,-107.5
169,2 ,39.5,-121.25
170,3 ,40.0,-117.5
171,13 ,39.5,-123.75
172,7 ,41.0,-119.375
173,14 ,44.5,-120.625
174,5 ,39.0,-107.5
175,27 ,41.5,-103.125
176,5 ,38.5,-115.625
177,5 ,35.5,-108.75
178,3 ,41.0,-115.0
179,8 ,39.5,-113.125
180,7 ,41.5,-117.5
181,16 ,43.5,-106.25
182,19 ,32.0,-108.125
183,27 ,39.5,-101.875
184,11 ,34.0,-113.125
185,41 ,35.0,-125.0
186,19 ,36.5,-121.875
187,44 ,31.5,-123.75
188,2 ,44.0,-121.875
189,33 ,46.0,-125.0
190,11 ,39.0,-110.625
191,5 ,41.0,-105.625
192,0 ,39.0,-106.25
193,10 ,33.0,-115.0
194,13 ,36.0,-121.25
195,13 ,49.0,-110.625
196,53 ,33.5,-123.125
197,2 ,39.5,-106.875
198,10 ,34.5,-111.875
199,25 ,48.5,-102.5
200,2 ,36.0,-110.0
201,3 ,34.0,-119.375
202,49 ,32.0,-123.125
203,8 ,41.5,-116.875
204,2 ,47.5,-123.125
205,14 ,38.5,-110.625
206,25 ,47.0,-106.875
207,11 ,42.0,-106.25
208,21 ,46.0,-107.5
209,17 ,40.0,-105.0
210,24 ,36.0,-102.5
211,14 ,49.0,-103.75
212,2 ,47.0,-115.625
213,2 ,44.5,-115.625
214,7 ,36.0,-117.5
