,ELCC,latitude,longitude
0,44 ,42.0,-124.375
1,38 ,46.0,-105.625
2,35 ,41.0,-114.375
3,32 ,46.0,-110.625
4,55 ,34.0,-120.625
5,46 ,34.0,-103.125
6,38 ,48.0,-109.375
7,41 ,46.0,-120.625
8,33 ,36.0,-110.625
9,36 ,43.0,-108.125
10,47 ,48.0,-101.875
11,30 ,34.0,-109.375
12,33 ,40.0,-120.625
13,47 ,47.0,-101.875
14,36 ,37.0,-105.625
15,32 ,37.0,-110.625
16,44 ,33.0,-103.125
17,44 ,42.0,-103.125
18,38 ,33.0,-106.875
19,39 ,34.0,-105.625
20,61 ,32.0,-121.875
21,36 ,47.0,-118.125
22,49 ,40.0,-101.875
23,32 ,34.0,-118.125
24,32 ,35.0,-111.875
25,33 ,39.0,-105.625
26,38 ,47.0,-109.375
27,32 ,47.0,-113.125
28,33 ,32.0,-115.625
29,47 ,40.0,-104.375
30,44 ,43.0,-103.125
31,55 ,39.0,-103.125
32,36 ,43.0,-104.375
33,41 ,45.0,-103.125
34,41 ,42.0,-108.125
35,36 ,32.0,-106.875
36,30 ,44.0,-109.375
37,35 ,41.0,-115.625
38,44 ,32.0,-101.875
39,36 ,35.0,-120.625
40,35 ,38.0,-105.625
41,36 ,36.0,-108.125
42,38 ,49.0,-110.625
43,30 ,45.0,-111.875
44,36 ,39.0,-110.625
45,32 ,39.0,-115.625
46,42 ,47.0,-105.625
47,36 ,43.0,-119.375
48,39 ,49.0,-109.375
49,36 ,45.0,-104.375
50,47 ,32.0,-105.625
51,38 ,42.0,-105.625
52,35 ,36.0,-106.875
53,30 ,38.0,-108.125
54,36 ,49.0,-113.125
55,35 ,32.0,-118.125
56,42 ,43.0,-113.125
57,30 ,38.0,-118.125
58,36 ,38.0,-120.625
59,33 ,40.0,-116.875
60,66 ,34.0,-123.125
61,35 ,32.0,-110.625
62,33 ,47.0,-123.125
63,32 ,46.0,-118.125
64,36 ,38.0,-110.625
65,41 ,49.0,-108.125
66,32 ,37.0,-114.375
67,46 ,45.0,-124.375
68,32 ,45.0,-114.375
69,44 ,46.0,-124.375
70,30 ,42.0,-111.875
71,61 ,38.0,-101.875
72,39 ,42.0,-104.375
73,47 ,37.0,-103.125
74,33 ,41.0,-118.125
75,46 ,49.0,-105.625
76,36 ,42.0,-116.875
77,42 ,49.0,-104.375
78,42 ,37.0,-120.625
79,35 ,35.0,-109.375
80,38 ,35.0,-113.125
81,36 ,40.0,-110.625
82,60 ,33.0,-120.625
83,33 ,47.0,-119.375
84,33 ,44.0,-113.125
85,38 ,46.0,-109.375
86,42 ,49.0,-106.875
87,32 ,48.0,-118.125
88,33 ,35.0,-114.375
89,32 ,45.0,-108.125
90,32 ,45.0,-118.125
91,30 ,49.0,-121.875
92,30 ,40.0,-115.625
93,36 ,43.0,-120.625
94,38 ,42.0,-110.625
95,44 ,32.0,-114.375
96,35 ,36.0,-105.625
97,30 ,44.0,-106.875
98,44 ,43.0,-101.875
99,35 ,33.0,-111.875
100,33 ,34.0,-114.375
101,30 ,49.0,-124.375
102,38 ,32.0,-109.375
103,66 ,35.0,-121.875
104,36 ,33.0,-109.375
105,46 ,48.0,-108.125
106,33 ,47.0,-116.875
107,64 ,39.0,-124.375
108,41 ,35.0,-104.375
109,30 ,47.0,-121.875
110,32 ,48.0,-114.375
111,32 ,40.0,-119.375
112,49 ,41.0,-104.375
113,64 ,33.0,-123.125
114,36 ,41.0,-120.625
115,44 ,33.0,-101.875
116,39 ,43.0,-124.375
117,33 ,48.0,-113.125
118,42 ,36.0,-101.875
119,30 ,49.0,-116.875
120,36 ,42.0,-114.375
121,30 ,41.0,-113.125
122,33 ,39.0,-119.375
123,61 ,36.0,-123.125
124,38 ,42.0,-106.875
125,46 ,37.0,-104.375
126,44 ,35.0,-103.125
127,33 ,45.0,-123.125
128,30 ,44.0,-115.625
129,30 ,40.0,-106.875
130,35 ,33.0,-116.875
131,61 ,40.0,-124.375
132,32 ,48.0,-116.875
133,64 ,35.0,-123.125
134,35 ,42.0,-120.625
135,39 ,45.0,-105.625
136,30 ,48.0,-121.875
137,39 ,48.0,-110.625
138,58 ,37.0,-124.375
139,32 ,48.0,-124.375
140,30 ,36.0,-114.375
141,33 ,39.0,-111.875
142,53 ,39.0,-101.875
143,47 ,34.0,-101.875
144,64 ,33.0,-124.375
145,32 ,49.0,-114.375
146,60 ,40.0,-103.125
147,30 ,37.0,-118.125
148,49 ,41.0,-124.375
149,32 ,39.0,-114.375
150,30 ,40.0,-123.125
151,44 ,32.0,-103.125
152,32 ,45.0,-115.625
153,32 ,43.0,-121.875
154,44 ,36.0,-103.125
155,41 ,43.0,-105.625
156,39 ,46.0,-106.875
157,46 ,49.0,-101.875
158,33 ,33.0,-108.125
159,35 ,38.0,-116.875
160,33 ,35.0,-116.875
161,32 ,44.0,-114.375
162,30 ,49.0,-123.125
163,33 ,46.0,-121.875
164,35 ,39.0,-121.875
165,33 ,41.0,-121.875
166,32 ,36.0,-116.875
167,63 ,34.0,-121.875
168,42 ,34.0,-104.375
169,30 ,44.0,-110.625
170,32 ,39.0,-116.875
171,30 ,49.0,-118.125
172,33 ,47.0,-111.875
173,32 ,35.0,-119.375
174,38 ,39.0,-104.375
175,36 ,44.0,-111.875
176,30 ,41.0,-123.125
177,44 ,42.0,-101.875
178,32 ,49.0,-115.625
179,35 ,44.0,-104.375
180,49 ,44.0,-101.875
181,38 ,41.0,-109.375
182,38 ,44.0,-120.625
183,63 ,32.0,-123.125
184,35 ,35.0,-108.125
185,41 ,47.0,-104.375
186,32 ,44.0,-123.125
187,36 ,42.0,-113.125
188,39 ,34.0,-106.875
189,42 ,32.0,-113.125
190,30 ,40.0,-113.125
191,64 ,37.0,-123.125
192,53 ,38.0,-121.875
193,46 ,33.0,-119.375
194,30 ,45.0,-109.375
195,35 ,47.0,-120.625
196,32 ,40.0,-121.875
197,41 ,46.0,-104.375
198,35 ,43.0,-118.125
199,32 ,38.0,-119.375
200,33 ,36.0,-120.625
201,32 ,48.0,-120.625
202,30 ,40.0,-111.875
203,33 ,41.0,-116.875
204,30 ,45.0,-110.625
205,64 ,34.0,-124.375
206,33 ,37.0,-115.625
207,41 ,44.0,-103.125
208,33 ,44.0,-119.375
209,39 ,47.0,-124.375
210,32 ,39.0,-120.625
211,32 ,34.0,-119.375
212,41 ,32.0,-111.875
213,32 ,48.0,-119.375
214,33 ,38.0,-113.125
215,39 ,33.0,-110.625
216,63 ,33.0,-121.875
217,33 ,36.0,-115.625
218,35 ,34.0,-116.875
219,32 ,36.0,-109.375
220,35 ,36.0,-119.375
221,39 ,40.0,-108.125
222,32 ,39.0,-109.375
223,57 ,32.0,-120.625
224,36 ,38.0,-114.375
225,35 ,42.0,-115.625
226,33 ,46.0,-111.875
227,32 ,35.0,-115.625
228,30 ,47.0,-114.375
229,47 ,41.0,-101.875
230,41 ,32.0,-104.375
231,33 ,43.0,-109.375
232,41 ,35.0,-105.625
233,63 ,35.0,-124.375
234,36 ,45.0,-119.375
235,35 ,37.0,-116.875
236,36 ,39.0,-113.125
237,30 ,32.0,-116.875
238,35 ,37.0,-121.875
239,33 ,43.0,-106.875
240,41 ,48.0,-103.125
241,38 ,45.0,-106.875
242,32 ,34.0,-115.625
243,32 ,45.0,-116.875
244,32 ,47.0,-115.625
245,30 ,41.0,-111.875
246,60 ,36.0,-124.375
247,30 ,40.0,-118.125
248,30 ,49.0,-120.625
249,32 ,45.0,-113.125
250,30 ,46.0,-115.625
251,49 ,45.0,-101.875
252,32 ,44.0,-116.875
253,33 ,47.0,-110.625
254,36 ,33.0,-114.375
255,42 ,46.0,-103.125
256,32 ,45.0,-121.875
257,46 ,33.0,-104.375
258,36 ,42.0,-119.375
259,32 ,38.0,-106.875
260,32 ,36.0,-111.875
261,30 ,49.0,-119.375
262,36 ,34.0,-113.125
263,36 ,46.0,-119.375
264,49 ,37.0,-101.875
265,46 ,32.0,-119.375
266,33 ,37.0,-109.375
267,32 ,34.0,-110.625
268,33 ,36.0,-118.125
269,32 ,42.0,-123.125
270,41 ,32.0,-108.125
271,35 ,44.0,-118.125
272,53 ,36.0,-121.875
273,33 ,46.0,-123.125
274,46 ,42.0,-109.375
275,35 ,37.0,-108.125
276,41 ,46.0,-108.125
277,66 ,38.0,-103.125
278,32 ,38.0,-111.875
279,36 ,49.0,-111.875
280,47 ,38.0,-104.375
281,41 ,48.0,-111.875
282,33 ,35.0,-110.625
283,44 ,45.0,-120.625
284,33 ,43.0,-116.875
285,33 ,41.0,-105.625
286,30 ,46.0,-114.375
287,32 ,36.0,-113.125
288,44 ,41.0,-108.125
289,33 ,43.0,-110.625
290,30 ,48.0,-115.625
291,33 ,41.0,-110.625
292,33 ,40.0,-105.625
293,39 ,33.0,-113.125
294,49 ,46.0,-101.875
295,32 ,37.0,-113.125
296,33 ,41.0,-119.375
297,33 ,33.0,-115.625
298,39 ,43.0,-115.625
299,33 ,38.0,-115.625
300,33 ,39.0,-123.125
301,44 ,49.0,-103.125
302,36 ,35.0,-118.125
303,44 ,47.0,-106.875
304,35 ,43.0,-123.125
305,47 ,36.0,-104.375
306,30 ,40.0,-114.375
307,35 ,35.0,-106.875
308,32 ,39.0,-118.125
309,30 ,39.0,-106.875
310,63 ,38.0,-124.375
311,44 ,48.0,-105.625
312,30 ,48.0,-123.125
313,35 ,41.0,-106.875
314,33 ,33.0,-118.125
315,61 ,32.0,-124.375
316,41 ,44.0,-124.375
317,47 ,47.0,-108.125
318,30 ,37.0,-119.375
319,33 ,38.0,-109.375
320,32 ,46.0,-113.125
321,46 ,40.0,-109.375
322,39 ,44.0,-105.625
323,32 ,39.0,-108.125
324,33 ,37.0,-106.875
325,39 ,33.0,-105.625
326,35 ,42.0,-121.875
327,66 ,38.0,-123.125
328,38 ,43.0,-114.375
329,38 ,34.0,-108.125
330,46 ,48.0,-104.375
331,39 ,34.0,-111.875
332,41 ,47.0,-103.125
333,42 ,48.0,-106.875
334,33 ,37.0,-111.875
335,52 ,41.0,-103.125
336,35 ,44.0,-108.125
337,46 ,35.0,-101.875
338,36 ,42.0,-118.125
339,38 ,43.0,-111.875
340,33 ,46.0,-116.875
341,32 ,44.0,-121.875
