,ELCC,latitude,longitude
0,35 ,38.5,-117.5
1,32 ,40.0,-114.375
2,22 ,31.5,-111.875
3,24 ,43.5,-106.875
4,19 ,44.5,-102.5
5,17 ,44.5,-101.875
6,33 ,42.5,-116.25
7,28 ,41.5,-110.625
8,24 ,44.0,-108.125
9,27 ,49.0,-115.0
10,33 ,44.5,-116.25
11,22 ,40.0,-109.375
12,30 ,39.5,-113.125
13,27 ,49.5,-113.125
14,16 ,38.5,-106.25
15,28 ,37.5,-113.75
16,19 ,37.5,-108.75
17,36 ,35.5,-120.625
18,35 ,38.0,-117.5
19,33 ,36.0,-117.5
20,36 ,38.0,-118.75
21,35 ,41.0,-116.875
22,16 ,36.0,-109.375
23,19 ,34.5,-101.875
24,38 ,42.5,-120.0
25,19 ,31.5,-109.375
26,24 ,46.5,-108.75
27,39 ,41.5,-122.5
28,38 ,38.5,-121.875
29,35 ,40.5,-118.75
30,33 ,47.5,-123.75
31,28 ,47.5,-111.875
32,21 ,39.5,-108.75
33,21 ,36.5,-108.125
34,17 ,43.5,-103.75
35,16 ,39.0,-105.625
36,30 ,47.0,-116.25
37,17 ,34.5,-110.625
38,38 ,34.5,-124.375
39,30 ,49.0,-121.25
40,39 ,35.5,-121.875
41,22 ,35.0,-106.875
42,36 ,40.5,-120.625
43,35 ,35.5,-118.75
44,22 ,49.0,-106.875
45,38 ,42.0,-123.75
46,28 ,44.5,-110.0
47,21 ,31.5,-106.875
48,41 ,37.5,-122.5
49,28 ,35.5,-114.375
50,19 ,32.5,-101.875
51,36 ,43.0,-125.0
52,33 ,43.5,-125.0
53,22 ,39.5,-110.625
54,42 ,37.0,-124.375
55,19 ,37.5,-101.875
56,38 ,31.5,-121.875
57,28 ,44.5,-111.875
58,32 ,41.0,-114.375
59,35 ,37.0,-120.0
60,36 ,40.0,-121.25
61,41 ,34.0,-122.5
62,19 ,34.0,-110.625
63,19 ,40.5,-102.5
64,17 ,32.0,-108.75
65,25 ,33.0,-113.125
66,21 ,34.0,-104.375
67,17 ,38.0,-110.0
68,16 ,35.0,-109.375
69,24 ,48.0,-108.75
70,25 ,32.5,-112.5
71,39 ,33.5,-121.875
72,21 ,34.0,-103.125
73,27 ,36.5,-113.75
74,30 ,47.5,-121.25
75,17 ,36.5,-109.375
76,33 ,48.0,-118.75
77,25 ,49.0,-110.0
78,25 ,31.5,-112.5
79,24 ,37.0,-113.125
80,19 ,38.0,-103.75
81,28 ,48.0,-113.125
82,21 ,32.5,-102.5
83,28 ,44.5,-111.25
84,21 ,43.5,-105.0
85,21 ,32.5,-110.0
86,21 ,32.0,-104.375
87,21 ,39.5,-103.125
88,21 ,32.0,-106.25
89,17 ,40.0,-105.625
90,19 ,44.5,-103.125
91,36 ,47.5,-125.0
92,19 ,33.0,-109.375
93,19 ,39.5,-103.75
94,19 ,47.0,-103.75
95,19 ,38.0,-111.25
96,41 ,38.0,-123.75
97,21 ,45.5,-103.75
98,32 ,40.5,-115.625
99,32 ,46.0,-116.25
100,32 ,46.5,-123.125
101,16 ,45.5,-101.875
102,35 ,36.0,-118.125
103,38 ,41.0,-122.5
104,28 ,46.5,-111.875
105,17 ,36.0,-108.75
106,19 ,40.0,-103.75
107,38 ,41.5,-121.875
108,33 ,41.5,-115.0
109,27 ,49.5,-111.25
110,35 ,41.0,-118.75
111,42 ,40.5,-124.375
112,39 ,38.5,-122.5
113,19 ,37.0,-101.875
114,19 ,38.5,-104.375
115,28 ,43.5,-111.25
116,35 ,40.5,-117.5
117,30 ,46.0,-113.75
118,21 ,31.5,-105.625
119,22 ,47.0,-106.25
120,22 ,46.5,-106.875
121,39 ,34.0,-121.25
122,39 ,34.0,-124.375
123,21 ,40.5,-103.125
124,19 ,34.0,-105.0
125,28 ,31.5,-115.0
126,33 ,35.0,-117.5
127,22 ,40.5,-110.625
128,19 ,39.5,-108.125
129,16 ,46.0,-101.875
130,39 ,32.5,-121.25
131,17 ,35.5,-105.0
132,35 ,44.0,-118.75
133,21 ,47.0,-104.375
134,32 ,40.0,-115.625
135,38 ,43.5,-121.875
136,33 ,31.5,-125.0
137,21 ,36.0,-107.5
138,19 ,40.0,-102.5
139,25 ,49.5,-109.375
140,24 ,45.5,-106.875
141,38 ,32.5,-124.375
142,32 ,46.0,-115.625
143,38 ,42.0,-124.375
144,25 ,45.5,-109.375
145,33 ,47.0,-118.75
146,28 ,42.0,-111.25
147,41 ,41.0,-124.375
148,32 ,43.5,-113.75
149,32 ,47.0,-123.75
150,17 ,37.0,-105.0
151,21 ,37.0,-112.5
152,35 ,37.0,-121.25
153,25 ,48.5,-109.375
154,21 ,44.0,-104.375
155,35 ,45.5,-119.375
156,41 ,37.0,-123.125
157,24 ,44.5,-107.5
158,25 ,32.0,-113.125
159,19 ,41.5,-102.5
160,32 ,39.5,-115.625
161,32 ,49.5,-120.625
162,32 ,46.0,-117.5
163,27 ,32.0,-113.75
164,38 ,38.5,-119.375
165,28 ,34.0,-115.0
166,36 ,39.0,-120.625
167,21 ,49.0,-105.625
168,17 ,47.0,-102.5
169,28 ,47.0,-112.5
170,33 ,44.0,-117.5
171,36 ,32.0,-120.625
172,21 ,49.5,-104.375
173,30 ,42.0,-112.5
174,39 ,33.5,-121.25
175,28 ,48.0,-116.25
176,28 ,44.0,-115.625
177,35 ,45.5,-122.5
178,27 ,46.5,-111.25
179,19 ,34.0,-102.5
180,36 ,44.5,-121.25
181,16 ,38.0,-107.5
182,32 ,46.5,-117.5
183,36 ,37.5,-121.25
184,27 ,46.0,-110.625
185,19 ,37.5,-102.5
186,27 ,47.0,-111.25
187,27 ,48.5,-111.25
188,22 ,48.0,-106.875
189,27 ,43.0,-109.375
190,39 ,36.5,-122.5
191,32 ,40.0,-116.25
192,25 ,43.5,-110.0
193,35 ,45.5,-121.25
194,27 ,40.5,-111.25
195,32 ,31.5,-120.625
196,22 ,39.0,-110.625
197,39 ,35.0,-123.125
198,19 ,43.5,-104.375
199,17 ,38.5,-109.375
200,28 ,47.5,-112.5
201,17 ,31.5,-108.75
202,27 ,33.5,-113.75
203,35 ,47.0,-120.0
204,21 ,45.0,-104.375
205,19 ,41.5,-106.25
206,22 ,46.5,-106.25
207,21 ,46.5,-104.375
208,19 ,47.5,-104.375
209,42 ,38.5,-123.75
210,16 ,33.0,-105.625
211,28 ,44.0,-111.25
212,42 ,40.5,-125.0
213,33 ,47.5,-120.625
214,30 ,47.5,-115.0
215,32 ,47.0,-123.125
216,33 ,48.5,-124.375
217,22 ,34.0,-111.875
218,27 ,48.5,-110.625
219,38 ,40.5,-122.5
220,36 ,33.0,-119.375
221,36 ,44.5,-120.0
222,42 ,37.0,-125.0
223,35 ,40.0,-117.5
224,38 ,43.0,-121.875
225,32 ,41.5,-113.75
226,24 ,42.5,-107.5
227,21 ,42.5,-106.875
228,17 ,47.5,-102.5
