,ELCC,latitude,longitude
0,11 ,42.5,-106.875
1,7 ,35.0,-119.375
2,11 ,42.0,-120.0
3,7 ,32.0,-109.375
4,8 ,47.5,-118.125
5,3 ,35.0,-107.5
6,5 ,46.5,-120.625
7,2 ,40.0,-111.25
8,0 ,45.0,-116.25
9,11 ,39.5,-117.5
10,8 ,39.0,-115.0
11,21 ,36.5,-101.875
12,55 ,38.5,-123.75
13,3 ,39.5,-110.0
14,7 ,48.0,-119.375
15,7 ,44.0,-106.25
16,11 ,36.0,-121.25
17,5 ,48.5,-123.75
18,13 ,42.0,-108.75
19,16 ,45.0,-102.5
20,2 ,40.5,-109.375
21,5 ,36.0,-120.0
22,13 ,42.5,-107.5
23,42 ,33.5,-121.25
24,3 ,42.5,-111.875
25,8 ,38.0,-105.0
26,10 ,42.5,-119.375
27,14 ,42.5,-110.0
28,5 ,45.0,-106.25
29,7 ,43.5,-121.25
30,2 ,36.5,-106.25
31,10 ,38.0,-103.125
32,25 ,31.5,-120.0
33,3 ,46.5,-114.375
34,10 ,40.5,-120.625
35,38 ,31.5,-125.0
36,42 ,32.0,-124.375
37,5 ,38.5,-118.75
38,10 ,49.0,-113.75
39,8 ,40.0,-101.875
40,22 ,47.5,-125.0
41,44 ,32.0,-123.75
42,8 ,43.0,-116.25
43,3 ,47.5,-115.625
44,7 ,38.0,-120.0
45,2 ,32.0,-116.25
46,3 ,44.0,-115.625
47,7 ,42.5,-122.5
48,13 ,43.0,-109.375
49,25 ,43.5,-113.75
50,13 ,37.5,-115.625
51,19 ,44.5,-103.125
52,7 ,44.0,-108.75
53,8 ,42.0,-118.125
54,2 ,46.5,-123.125
55,19 ,49.5,-105.625
56,3 ,33.0,-116.875
57,7 ,36.0,-113.75
58,19 ,46.0,-102.5
59,2 ,36.5,-110.625
60,8 ,46.0,-119.375
61,13 ,47.5,-108.125
62,10 ,43.0,-123.125
63,5 ,48.5,-114.375
64,8 ,31.5,-109.375
65,2 ,37.0,-108.75
66,8 ,44.5,-121.25
67,10 ,40.5,-101.875
68,3 ,49.5,-120.0
69,7 ,31.5,-110.625
70,16 ,33.5,-103.125
71,7 ,44.5,-108.75
72,13 ,44.0,-101.875
73,11 ,39.5,-118.75
74,2 ,42.5,-101.875
75,19 ,32.5,-103.125
76,13 ,32.5,-104.375
77,2 ,44.5,-106.875
78,17 ,48.0,-107.5
79,14 ,31.5,-104.375
80,5 ,39.0,-111.875
81,5 ,49.5,-120.625
82,39 ,31.5,-124.375
83,3 ,45.5,-108.125
84,3 ,45.5,-107.5
85,16 ,49.0,-108.125
86,7 ,44.5,-111.25
87,16 ,31.5,-103.75
88,13 ,42.0,-107.5
89,7 ,46.0,-111.25
90,7 ,35.5,-113.125
91,19 ,31.5,-101.875
92,8 ,46.0,-110.0
93,5 ,37.0,-118.75
94,7 ,45.5,-106.25
95,14 ,34.5,-101.875
96,7 ,46.0,-110.625
97,8 ,41.5,-115.0
98,7 ,46.0,-109.375
99,19 ,46.5,-103.75
100,50 ,36.0,-125.0
101,50 ,36.5,-125.0
102,11 ,40.5,-120.0
103,2 ,36.0,-111.25
104,52 ,36.5,-124.375
105,52 ,33.0,-123.125
106,7 ,39.0,-121.25
107,55 ,33.5,-123.125
108,7 ,36.0,-113.125
109,0 ,48.0,-123.125
110,13 ,43.0,-111.875
111,7 ,48.5,-125.0
112,46 ,38.0,-123.125
113,3 ,40.5,-103.75
114,5 ,43.0,-118.125
115,8 ,36.5,-121.25
116,7 ,31.5,-116.875
117,10 ,37.5,-103.75
118,2 ,40.5,-108.75
119,5 ,46.5,-120.0
120,16 ,48.5,-111.25
121,7 ,42.0,-123.125
122,10 ,45.5,-120.625
123,2 ,34.0,-109.375
124,5 ,47.5,-114.375
125,2 ,38.5,-111.25
126,3 ,37.5,-111.25
127,8 ,45.5,-119.375
128,3 ,41.0,-123.125
129,7 ,44.0,-118.125
130,14 ,32.0,-115.0
131,5 ,42.0,-105.0
132,0 ,39.0,-105.625
133,16 ,38.0,-121.25
134,17 ,47.5,-103.125
135,17 ,48.0,-104.375
136,3 ,42.5,-104.375
137,8 ,41.5,-105.625
138,3 ,48.5,-124.375
139,2 ,37.5,-110.0
140,52 ,33.5,-124.375
141,7 ,45.0,-106.875
142,5 ,40.0,-113.125
143,3 ,45.5,-113.75
144,5 ,32.5,-110.625
145,25 ,43.0,-113.75
146,16 ,35.5,-103.75
147,16 ,33.0,-101.875
148,16 ,46.5,-105.0
149,2 ,35.5,-109.375
150,5 ,33.5,-112.5
151,10 ,45.0,-105.0
152,16 ,34.0,-103.125
153,2 ,34.5,-119.375
154,11 ,33.0,-118.75
155,8 ,32.0,-108.125
156,3 ,40.0,-110.0
