,ELCC,latitude,longitude
0,13 ,47.0,-105.0
1,3 ,45.0,-117.5
2,8 ,47.0,-121.25
3,10 ,41.5,-117.5
4,5 ,33.5,-116.875
5,11 ,39.0,-111.875
6,8 ,46.5,-116.875
7,3 ,39.5,-105.0
8,11 ,43.5,-103.125
9,58 ,42.5,-125.0
10,13 ,35.0,-112.5
11,13 ,47.5,-117.5
12,11 ,48.0,-110.0
13,22 ,35.5,-121.875
14,11 ,33.5,-117.5
15,17 ,49.0,-103.125
16,21 ,32.0,-121.875
17,2 ,49.0,-121.25
18,7 ,44.5,-108.125
19,11 ,39.0,-113.75
20,2 ,40.0,-113.75
21,33 ,36.0,-123.75
22,11 ,36.0,-121.25
23,11 ,35.0,-115.0
24,5 ,33.5,-116.25
25,14 ,32.0,-120.0
26,3 ,46.0,-109.375
27,7 ,41.0,-102.5
28,2 ,41.5,-112.5
29,5 ,36.5,-120.625
30,11 ,47.0,-105.625
31,8 ,38.5,-111.875
32,10 ,40.0,-116.875
33,8 ,45.0,-118.75
34,22 ,49.0,-111.875
35,30 ,42.0,-110.0
36,14 ,37.0,-103.125
37,13 ,35.5,-120.0
38,19 ,48.0,-106.25
39,2 ,46.5,-116.25
40,22 ,43.0,-115.0
41,17 ,39.5,-110.625
42,2 ,46.5,-115.0
43,10 ,34.0,-115.0
44,11 ,37.5,-114.375
45,14 ,47.5,-124.375
46,19 ,35.0,-121.25
47,11 ,37.0,-103.75
48,13 ,38.5,-115.0
49,10 ,40.0,-116.25
50,19 ,34.0,-101.875
51,13 ,42.5,-116.25
52,11 ,48.0,-108.125
53,7 ,40.0,-119.375
54,10 ,41.0,-106.25
55,3 ,32.0,-105.625
56,8 ,36.0,-118.125
57,11 ,38.5,-122.5
58,13 ,37.0,-102.5
59,5 ,40.5,-105.0
60,5 ,32.0,-117.5
61,8 ,32.0,-110.625
62,21 ,48.0,-105.625
63,0 ,49.0,-122.5
64,14 ,38.0,-111.25
65,17 ,48.0,-101.875
66,11 ,39.0,-103.125
67,19 ,42.0,-119.375
68,3 ,34.5,-106.875
69,7 ,39.0,-116.25
70,3 ,39.0,-121.25
71,10 ,44.5,-119.375
72,3 ,33.0,-118.125
73,8 ,36.5,-109.375
74,13 ,43.5,-108.75
75,11 ,34.5,-105.0
76,0 ,46.5,-115.625
77,7 ,38.0,-116.875
78,10 ,47.5,-109.375
79,16 ,34.0,-120.625
80,7 ,40.0,-111.875
81,8 ,31.5,-110.625
82,13 ,35.0,-114.375
83,10 ,45.5,-123.125
84,14 ,33.0,-110.0
85,3 ,37.0,-119.375
86,11 ,40.5,-120.0
87,19 ,33.5,-104.375
88,22 ,33.0,-121.875
89,3 ,41.5,-123.125
90,7 ,33.5,-113.125
91,14 ,43.5,-120.625
92,7 ,39.0,-105.0
93,21 ,38.0,-101.875
94,5 ,33.5,-105.625
95,14 ,32.0,-103.75
96,17 ,37.5,-110.0
97,5 ,40.0,-112.5
98,16 ,34.5,-103.75
99,3 ,31.5,-105.625
100,11 ,32.0,-104.375
101,2 ,31.5,-106.25
102,8 ,39.0,-119.375
103,16 ,44.0,-105.625
104,7 ,42.0,-112.5
105,8 ,43.5,-117.5
106,16 ,47.0,-101.875
107,25 ,40.0,-109.375
108,22 ,46.0,-124.375
109,5 ,33.0,-107.5
110,11 ,37.5,-103.75
111,7 ,46.5,-111.875
112,8 ,40.5,-121.875
113,8 ,45.5,-122.5
114,13 ,39.0,-102.5
115,16 ,46.5,-104.375
116,5 ,45.5,-111.25
117,13 ,38.5,-111.25
118,8 ,39.5,-121.875
119,7 ,32.5,-113.75
120,8 ,40.5,-115.625
121,2 ,49.0,-118.75
122,3 ,39.5,-106.875
123,5 ,39.5,-107.5
124,8 ,44.5,-103.75
125,14 ,41.5,-116.875
126,3 ,37.0,-105.0
127,8 ,43.5,-121.25
128,10 ,37.5,-117.5
129,3 ,49.5,-120.0
130,24 ,49.5,-112.5
131,3 ,32.5,-106.25
132,19 ,37.5,-109.375
133,3 ,46.0,-116.875
134,13 ,46.5,-117.5
135,14 ,43.5,-104.375
136,14 ,41.0,-108.125
137,19 ,36.0,-102.5
138,17 ,33.0,-120.625
139,13 ,42.5,-110.625
140,13 ,41.0,-110.625
141,8 ,47.0,-110.0
142,13 ,43.0,-119.375
143,16 ,31.5,-120.0
144,16 ,44.5,-101.875
145,3 ,49.0,-116.25
146,13 ,35.5,-115.0
147,8 ,45.0,-111.875
148,11 ,43.0,-123.125
149,8 ,45.5,-121.875
150,13 ,39.0,-111.25
151,2 ,40.5,-113.75
152,8 ,37.0,-115.0
153,58 ,40.0,-124.375
154,11 ,36.0,-111.875
155,8 ,42.0,-118.125
156,5 ,48.0,-115.0
157,25 ,41.5,-110.0
158,8 ,34.0,-113.75
159,7 ,32.5,-107.5
160,11 ,37.0,-113.75
161,10 ,48.0,-108.75
162,0 ,48.5,-121.875
163,3 ,31.5,-108.75
164,7 ,35.0,-120.0
165,13 ,41.0,-107.5
166,10 ,34.0,-111.875
167,3 ,39.0,-118.125
168,21 ,47.5,-103.75
169,22 ,49.0,-105.0
170,21 ,34.5,-121.875
171,7 ,40.0,-121.25
172,8 ,34.0,-116.25
173,10 ,47.5,-108.125
174,10 ,47.5,-107.5
175,2 ,33.5,-106.875
176,7 ,31.5,-116.25
177,10 ,37.5,-113.125
178,8 ,40.0,-107.5
179,17 ,38.0,-110.0
180,8 ,32.5,-115.625
181,24 ,49.0,-113.125
182,8 ,38.5,-105.0
183,16 ,33.5,-103.125
184,35 ,36.5,-123.75
185,17 ,43.0,-115.625
186,11 ,46.0,-121.25
187,14 ,37.5,-110.625
188,5 ,47.0,-116.875
189,13 ,35.0,-113.75
190,13 ,40.5,-110.0
191,13 ,31.5,-114.375
192,8 ,46.0,-118.125
193,5 ,33.5,-118.75
194,5 ,48.0,-124.375
195,3 ,39.5,-121.25
196,17 ,33.5,-103.75
197,13 ,38.5,-114.375
198,16 ,47.0,-104.375
199,7 ,47.0,-106.875
200,3 ,38.5,-105.625
201,14 ,44.5,-105.625
202,14 ,38.0,-111.875
203,21 ,38.0,-121.25
204,21 ,49.5,-113.75
205,24 ,49.0,-106.25
206,19 ,48.0,-103.75
207,8 ,40.0,-103.125
208,13 ,45.5,-103.125
209,5 ,36.0,-109.375
