,ELCC,latitude,longitude
0,38 ,35.5,-118.125
1,30 ,33.5,-115.625
2,22 ,48.0,-103.75
3,38 ,46.0,-122.5
4,28 ,41.0,-111.25
5,22 ,42.0,-102.5
6,32 ,49.5,-116.25
7,33 ,44.5,-115.625
8,25 ,47.0,-109.375
9,22 ,32.5,-101.875
10,25 ,36.5,-108.75
11,38 ,48.0,-121.25
12,32 ,48.0,-113.75
13,30 ,35.0,-116.875
14,22 ,34.5,-111.875
15,27 ,33.0,-112.5
16,35 ,43.0,-119.375
17,22 ,43.0,-102.5
18,28 ,33.5,-113.75
19,21 ,49.0,-103.125
20,41 ,41.0,-123.75
21,33 ,41.5,-117.5
22,38 ,32.5,-117.5
23,19 ,33.0,-106.25
24,21 ,38.0,-101.875
25,22 ,49.0,-103.75
26,39 ,39.5,-123.125
27,27 ,38.0,-112.5
28,33 ,43.0,-118.125
29,36 ,45.5,-120.0
30,39 ,46.0,-121.875
31,21 ,36.5,-104.375
32,33 ,47.5,-115.0
33,36 ,45.0,-119.375
34,38 ,46.0,-121.25
35,22 ,32.5,-111.25
36,32 ,41.5,-116.25
37,28 ,45.0,-111.875
38,25 ,41.0,-107.5
39,22 ,42.5,-105.0
40,27 ,40.0,-112.5
41,30 ,31.5,-115.625
42,42 ,32.5,-119.375
43,39 ,38.0,-121.875
44,25 ,47.5,-105.625
45,35 ,43.5,-118.125
46,35 ,44.0,-118.125
47,24 ,43.5,-106.875
48,36 ,38.5,-120.625
49,35 ,42.5,-118.75
50,32 ,38.5,-117.5
51,41 ,44.0,-125.0
52,28 ,49.0,-109.375
53,39 ,34.0,-118.75
54,32 ,41.5,-114.375
55,25 ,34.5,-112.5
56,27 ,47.0,-110.0
57,30 ,34.5,-115.625
58,21 ,32.5,-106.875
59,32 ,48.0,-113.125
60,38 ,36.5,-121.25
61,22 ,44.0,-102.5
62,30 ,46.5,-115.0
63,27 ,48.0,-107.5
64,21 ,34.0,-105.0
65,32 ,36.5,-116.875
66,39 ,31.5,-121.25
67,21 ,38.0,-104.375
68,36 ,43.5,-120.625
69,39 ,46.0,-125.0
70,22 ,38.5,-103.75
71,21 ,33.0,-101.875
72,38 ,42.0,-123.125
73,25 ,48.5,-105.625
74,32 ,38.0,-116.875
75,25 ,48.5,-106.25
76,41 ,32.0,-125.0
77,33 ,42.0,-116.875
78,24 ,45.0,-110.0
79,27 ,37.0,-111.875
80,24 ,48.5,-105.0
81,27 ,40.0,-113.75
82,28 ,38.0,-115.0
83,25 ,37.0,-110.625
84,41 ,34.0,-122.5
85,33 ,44.5,-116.25
86,22 ,43.5,-106.25
87,25 ,36.0,-107.5
88,25 ,41.5,-108.75
89,24 ,46.0,-105.625
90,44 ,36.5,-124.375
91,44 ,36.5,-125.0
92,24 ,41.5,-105.0
93,32 ,42.0,-116.25
94,33 ,49.5,-121.875
95,32 ,48.5,-114.375
96,22 ,45.0,-108.125
97,35 ,47.5,-116.875
98,21 ,38.0,-105.0
99,38 ,48.5,-123.75
100,22 ,41.0,-105.0
101,44 ,40.0,-124.375
102,24 ,48.0,-104.375
103,32 ,41.5,-113.125
104,22 ,39.0,-103.75
105,25 ,41.5,-106.875
106,33 ,43.0,-115.625
107,33 ,43.0,-114.375
108,25 ,49.0,-106.25
109,32 ,47.5,-113.125
110,42 ,38.0,-122.5
111,22 ,33.5,-101.875
112,36 ,46.0,-120.0
113,22 ,48.5,-103.125
114,22 ,34.5,-103.125
115,30 ,48.5,-117.5
116,24 ,45.0,-109.375
117,25 ,41.5,-107.5
118,24 ,45.5,-105.0
119,25 ,38.0,-109.375
120,36 ,47.0,-123.75
121,30 ,49.5,-113.125
122,41 ,36.5,-122.5
123,38 ,48.0,-125.0
124,39 ,40.5,-123.125
125,22 ,44.5,-105.0
126,42 ,32.0,-120.0
127,35 ,37.5,-120.625
128,30 ,44.5,-113.75
129,22 ,32.5,-110.0
130,30 ,47.0,-114.375
131,32 ,41.5,-115.625
132,22 ,33.5,-110.625
133,21 ,34.5,-106.25
134,22 ,38.5,-103.125
135,36 ,38.0,-119.375
136,22 ,42.0,-101.875
137,42 ,38.5,-123.75
138,27 ,48.0,-106.875
139,30 ,48.5,-116.25
140,30 ,41.0,-115.625
141,41 ,36.5,-123.75
142,30 ,43.0,-111.25
143,30 ,49.5,-115.0
144,27 ,39.0,-113.75
145,25 ,33.5,-111.875
146,21 ,37.5,-101.875
147,24 ,46.5,-105.625
148,32 ,43.5,-111.875
149,19 ,32.0,-110.625
150,24 ,39.5,-106.25
151,28 ,41.5,-110.625
152,39 ,40.5,-121.875
153,32 ,46.0,-116.25
154,22 ,35.0,-110.625
155,19 ,32.0,-106.25
156,24 ,36.5,-106.875
157,30 ,34.5,-114.375
158,33 ,46.0,-117.5
159,36 ,32.0,-116.875
160,36 ,35.5,-119.375
161,19 ,31.5,-106.25
162,38 ,46.5,-123.75
163,33 ,38.5,-118.75
164,21 ,33.0,-105.0
165,22 ,34.0,-106.25
166,25 ,37.0,-112.5
167,36 ,41.5,-120.0
168,27 ,48.5,-108.75
169,25 ,47.5,-106.25
170,22 ,34.5,-102.5
171,36 ,41.5,-120.625
172,30 ,45.5,-115.625
173,36 ,34.0,-117.5
174,22 ,42.0,-105.0
175,22 ,36.0,-106.25
176,36 ,41.0,-120.0
177,32 ,44.0,-115.625
178,32 ,41.0,-116.25
179,41 ,36.0,-123.125
180,38 ,33.5,-117.5
181,19 ,31.5,-107.5
182,33 ,36.5,-117.5
183,24 ,40.5,-110.625
184,38 ,48.0,-124.375
185,35 ,46.5,-116.875
186,42 ,33.5,-120.0
187,27 ,46.0,-113.75
188,44 ,39.5,-124.375
189,35 ,40.5,-118.125
190,36 ,38.5,-121.25
191,24 ,40.5,-102.5
192,35 ,40.0,-120.0
193,33 ,47.0,-116.25
194,35 ,48.5,-122.5
195,35 ,44.0,-119.375
196,22 ,34.0,-101.875
197,41 ,34.0,-120.0
198,35 ,38.0,-118.75
199,22 ,45.5,-102.5
200,22 ,45.0,-102.5
201,28 ,35.5,-114.375
202,27 ,34.0,-112.5
203,21 ,36.0,-102.5
204,25 ,40.0,-104.375
205,39 ,38.5,-121.875
206,33 ,44.0,-114.375
207,32 ,43.0,-111.875
208,42 ,38.5,-123.125
209,25 ,48.5,-107.5
210,28 ,43.5,-110.0
211,22 ,32.5,-109.375
212,39 ,43.0,-123.75
213,25 ,37.0,-110.0
214,41 ,44.5,-125.0
215,21 ,44.5,-106.25
216,25 ,37.5,-110.0
217,41 ,33.5,-124.375
218,35 ,43.5,-115.0
219,28 ,38.5,-116.25
220,19 ,31.5,-108.75
221,24 ,38.5,-107.5
222,36 ,47.5,-123.75
223,41 ,34.5,-122.5
224,41 ,45.5,-124.375
225,24 ,48.5,-104.375
226,21 ,36.5,-102.5
227,19 ,32.5,-106.25
228,19 ,34.5,-111.25
229,36 ,42.0,-120.0
230,22 ,44.0,-104.375
231,22 ,38.0,-105.625
232,24 ,41.5,-105.625
233,22 ,35.5,-109.375
234,35 ,49.5,-119.375
235,33 ,44.0,-113.75
236,21 ,31.5,-101.875
237,32 ,45.0,-115.625
238,24 ,31.5,-112.5
239,30 ,42.5,-111.875
240,41 ,33.5,-121.875
241,30 ,39.5,-116.875
242,19 ,33.0,-108.75
243,27 ,47.0,-111.875
244,32 ,49.0,-117.5
245,39 ,46.0,-123.75
246,28 ,47.0,-113.125
247,27 ,46.0,-112.5
248,24 ,43.5,-108.125
249,19 ,34.0,-110.0
250,38 ,37.5,-118.75
251,39 ,34.0,-119.375
252,32 ,48.5,-112.5
253,24 ,42.0,-103.75
254,30 ,34.0,-114.375
255,27 ,40.5,-111.875
256,24 ,36.0,-108.125
257,30 ,33.0,-115.0
258,28 ,33.5,-113.125
259,35 ,46.5,-118.75
260,27 ,39.5,-114.375
261,32 ,49.0,-113.75
262,36 ,48.5,-120.625
263,35 ,44.5,-118.125
264,25 ,35.5,-113.125
265,39 ,39.0,-123.125
266,22 ,38.0,-102.5
267,38 ,45.5,-120.625
268,32 ,48.5,-118.125
269,25 ,40.5,-111.25
270,27 ,42.0,-108.125
271,38 ,34.5,-119.375
272,35 ,46.0,-119.375
273,33 ,37.5,-118.125
274,28 ,35.5,-113.75
275,35 ,42.0,-118.75
276,24 ,36.0,-111.875
277,27 ,48.0,-108.125
278,17 ,34.0,-109.375
279,30 ,46.0,-115.625
280,21 ,37.5,-102.5
281,25 ,37.5,-109.375
282,22 ,43.5,-105.0
283,33 ,44.0,-116.25
284,36 ,47.0,-120.0
285,41 ,43.5,-124.375
286,21 ,35.5,-101.875
287,19 ,34.5,-108.75
288,22 ,36.0,-106.875
289,21 ,49.5,-103.75
290,39 ,35.0,-121.25
291,24 ,42.0,-103.125
292,25 ,36.5,-111.875
293,19 ,34.0,-105.625
294,27 ,31.5,-113.125
295,19 ,47.5,-101.875
296,30 ,44.0,-111.25
297,35 ,46.0,-118.75
298,25 ,39.0,-108.125
299,30 ,42.0,-110.625
300,24 ,42.5,-105.625
301,41 ,31.5,-124.375
302,22 ,39.0,-103.125
303,35 ,41.5,-118.75
304,32 ,42.5,-112.5
305,24 ,39.5,-104.375
306,25 ,39.5,-107.5
307,41 ,33.0,-121.25
308,35 ,49.0,-119.375
309,42 ,33.5,-125.0
310,24 ,41.0,-105.625
311,30 ,32.0,-114.375
312,41 ,32.5,-123.125
313,32 ,43.0,-113.125
314,35 ,44.5,-120.0
315,19 ,36.5,-105.0
316,22 ,46.0,-103.75
317,24 ,49.0,-104.375
318,35 ,49.0,-121.875
319,21 ,34.0,-106.875
320,33 ,49.5,-116.875
321,41 ,33.5,-118.75
322,28 ,42.5,-110.625
323,35 ,45.5,-118.125
324,22 ,39.5,-101.875
325,32 ,41.5,-113.75
326,39 ,45.5,-123.125
327,28 ,38.0,-116.25
328,25 ,39.0,-110.0
329,28 ,45.5,-114.375
330,25 ,44.0,-109.375
331,36 ,47.0,-117.5
332,25 ,38.0,-110.0
333,24 ,49.0,-105.0
334,41 ,43.0,-124.375
335,38 ,48.5,-123.125
336,30 ,36.5,-115.625
337,22 ,45.0,-106.875
338,41 ,31.5,-118.75
339,38 ,34.0,-118.125
340,39 ,47.0,-125.0
341,38 ,46.5,-121.875
342,24 ,38.5,-108.125
343,24 ,36.5,-110.0
344,24 ,43.5,-107.5
345,21 ,35.5,-103.75
346,28 ,37.5,-115.625
347,33 ,42.5,-117.5
348,32 ,32.5,-116.25
349,30 ,37.0,-115.0
350,22 ,35.0,-107.5
351,25 ,40.5,-108.125
352,21 ,36.0,-104.375
353,28 ,39.0,-113.125
354,44 ,40.0,-125.0
355,33 ,45.0,-117.5
356,21 ,48.0,-103.125
357,28 ,39.0,-115.625
358,30 ,48.5,-116.875
359,33 ,45.5,-116.875
360,25 ,38.5,-110.0
361,25 ,47.0,-108.75
362,36 ,40.5,-120.0
363,24 ,42.0,-105.625
364,36 ,48.0,-120.0
365,24 ,36.0,-108.75
366,38 ,45.5,-121.25
367,22 ,44.5,-107.5
368,36 ,49.5,-123.75
369,27 ,47.5,-108.125
370,22 ,44.0,-105.625
371,25 ,46.5,-108.75
372,25 ,46.5,-111.25
373,21 ,32.0,-105.0
374,42 ,31.5,-120.0
