,ELCC,latitude,longitude
0,44 ,32.0,-106.875
1,52 ,44.0,-114.375
2,50 ,45.0,-115.625
3,53 ,45.0,-119.375
4,47 ,46.0,-106.875
5,46 ,34.0,-104.375
6,46 ,33.0,-111.875
7,46 ,44.0,-101.875
8,44 ,36.0,-101.875
9,58 ,38.0,-124.375
10,50 ,32.0,-114.375
11,57 ,46.0,-123.125
12,52 ,42.0,-111.875
13,46 ,45.0,-104.375
14,46 ,33.0,-110.625
15,44 ,32.0,-109.375
16,46 ,37.0,-106.875
17,53 ,43.0,-119.375
18,58 ,32.0,-119.375
19,49 ,36.0,-114.375
20,44 ,32.0,-103.125
21,47 ,40.0,-109.375
22,44 ,32.0,-110.625
23,53 ,46.0,-119.375
24,46 ,45.0,-109.375
25,44 ,35.0,-110.625
26,50 ,48.0,-111.875
27,49 ,46.0,-113.125
28,47 ,43.0,-106.875
29,49 ,43.0,-110.625
30,42 ,32.0,-105.625
31,58 ,37.0,-124.375
32,52 ,41.0,-116.875
33,52 ,48.0,-115.625
34,55 ,37.0,-121.875
35,53 ,40.0,-119.375
36,44 ,47.0,-101.875
37,47 ,37.0,-108.125
38,55 ,42.0,-120.625
39,44 ,34.0,-110.625
40,42 ,49.0,-101.875
41,55 ,47.0,-121.875
42,52 ,48.0,-116.875
43,52 ,42.0,-115.625
44,53 ,42.0,-118.125
45,49 ,34.0,-113.125
46,49 ,43.0,-109.375
47,53 ,43.0,-118.125
48,50 ,46.0,-115.625
49,50 ,49.0,-114.375
50,50 ,37.0,-115.625
51,42 ,35.0,-111.875
52,44 ,42.0,-101.875
53,58 ,34.0,-123.125
54,44 ,37.0,-101.875
55,49 ,40.0,-114.375
56,49 ,37.0,-114.375
57,47 ,47.0,-110.625
58,49 ,48.0,-108.125
59,49 ,33.0,-114.375
60,60 ,42.0,-124.375
61,50 ,44.0,-111.875
62,52 ,37.0,-118.125
63,46 ,44.0,-108.125
64,49 ,38.0,-115.625
65,58 ,32.0,-120.625
66,53 ,41.0,-118.125
67,57 ,39.0,-121.875
68,44 ,32.0,-104.375
69,50 ,48.0,-118.125
70,55 ,48.0,-121.875
71,47 ,42.0,-106.875
72,53 ,44.0,-118.125
73,53 ,49.0,-119.375
74,55 ,41.0,-119.375
75,53 ,49.0,-121.875
76,53 ,39.0,-119.375
77,46 ,46.0,-104.375
78,53 ,37.0,-120.625
79,55 ,49.0,-120.625
80,53 ,44.0,-120.625
81,53 ,44.0,-119.375
82,55 ,34.0,-118.125
83,57 ,43.0,-124.375
84,57 ,33.0,-118.125
85,58 ,38.0,-123.125
86,55 ,38.0,-119.375
87,49 ,42.0,-109.375
88,50 ,48.0,-110.625
89,47 ,46.0,-109.375
90,47 ,39.0,-108.125
91,55 ,49.0,-123.125
92,49 ,40.0,-115.625
93,44 ,46.0,-101.875
94,58 ,35.0,-121.875
95,44 ,38.0,-104.375
96,47 ,37.0,-110.625
97,55 ,47.0,-120.625
98,52 ,44.0,-113.125
99,60 ,36.0,-124.375
100,53 ,39.0,-120.625
101,55 ,42.0,-123.125
102,49 ,45.0,-111.875
103,55 ,36.0,-119.375
104,52 ,44.0,-115.625
105,44 ,34.0,-106.875
106,55 ,45.0,-120.625
107,52 ,36.0,-115.625
108,57 ,38.0,-121.875
109,58 ,35.0,-123.125
110,50 ,39.0,-116.875
111,44 ,36.0,-103.125
