,ELCC,latitude,longitude
0,42 ,38.0,-113.125
1,38 ,43.0,-104.375
2,32 ,43.0,-120.625
3,33 ,39.0,-104.375
4,35 ,48.0,-115.625
5,32 ,44.0,-118.125
6,32 ,45.0,-121.875
7,39 ,43.0,-111.875
8,32 ,33.0,-105.625
9,42 ,39.0,-115.625
10,35 ,43.0,-101.875
11,32 ,35.0,-106.875
12,35 ,40.0,-115.625
13,44 ,38.0,-101.875
14,35 ,34.0,-105.625
15,33 ,41.0,-118.125
16,32 ,41.0,-113.125
17,39 ,38.0,-103.125
18,41 ,37.0,-113.125
19,32 ,34.0,-108.125
20,33 ,40.0,-104.375
21,41 ,46.0,-105.625
22,35 ,46.0,-113.125
23,58 ,33.0,-121.875
24,35 ,47.0,-118.125
25,38 ,34.0,-111.875
26,35 ,42.0,-113.125
27,36 ,35.0,-110.625
28,38 ,47.0,-111.875
29,35 ,41.0,-114.375
30,57 ,34.0,-124.375
31,33 ,47.0,-124.375
32,38 ,33.0,-106.875
33,32 ,32.0,-116.875
34,49 ,37.0,-116.875
35,35 ,33.0,-116.875
36,39 ,39.0,-101.875
37,41 ,39.0,-113.125
38,38 ,35.0,-116.875
39,38 ,39.0,-116.875
40,33 ,34.0,-118.125
41,33 ,46.0,-114.375
42,38 ,44.0,-103.125
43,39 ,45.0,-105.625
44,35 ,42.0,-111.875
45,33 ,47.0,-114.375
46,32 ,47.0,-119.375
47,35 ,32.0,-111.875
48,39 ,46.0,-106.875
49,49 ,48.0,-109.375
50,38 ,45.0,-113.125
51,38 ,42.0,-104.375
52,39 ,35.0,-120.625
53,35 ,44.0,-106.875
54,36 ,36.0,-111.875
55,35 ,32.0,-115.625
56,32 ,40.0,-118.125
57,41 ,36.0,-101.875
58,33 ,48.0,-116.875
59,35 ,35.0,-115.625
60,57 ,36.0,-123.125
61,41 ,42.0,-105.625
62,32 ,39.0,-123.125
63,35 ,38.0,-104.375
64,38 ,38.0,-119.375
65,36 ,35.0,-109.375
66,35 ,37.0,-121.875
67,32 ,35.0,-119.375
68,35 ,38.0,-120.625
69,39 ,36.0,-118.125
70,57 ,32.0,-123.125
71,32 ,44.0,-116.875
72,39 ,39.0,-114.375
73,36 ,34.0,-115.625
74,33 ,45.0,-119.375
75,33 ,40.0,-111.875
76,32 ,45.0,-118.125
77,44 ,49.0,-111.875
78,32 ,49.0,-120.625
79,33 ,38.0,-105.625
80,41 ,45.0,-103.125
81,53 ,38.0,-123.125
82,42 ,47.0,-106.875
83,41 ,42.0,-110.625
84,35 ,41.0,-103.125
85,32 ,36.0,-105.625
86,38 ,44.0,-109.375
87,33 ,37.0,-105.625
88,32 ,41.0,-111.875
89,30 ,45.0,-116.875
90,35 ,39.0,-109.375
91,33 ,40.0,-116.875
92,36 ,44.0,-114.375
93,35 ,41.0,-120.625
94,32 ,39.0,-105.625
95,38 ,33.0,-104.375
96,39 ,33.0,-101.875
97,35 ,49.0,-115.625
98,33 ,41.0,-105.625
99,38 ,36.0,-104.375
100,33 ,43.0,-119.375
101,35 ,41.0,-106.875
102,32 ,48.0,-120.625
103,41 ,43.0,-115.625
104,35 ,39.0,-103.125
105,33 ,44.0,-119.375
106,47 ,35.0,-101.875
107,32 ,37.0,-119.375
108,32 ,38.0,-108.125
109,33 ,39.0,-118.125
110,33 ,43.0,-118.125
111,38 ,37.0,-110.625
112,38 ,48.0,-113.125
113,33 ,43.0,-123.125
114,33 ,44.0,-115.625
115,33 ,41.0,-119.375
116,35 ,46.0,-111.875
117,33 ,32.0,-109.375
118,49 ,49.0,-110.625
119,35 ,46.0,-124.375
120,36 ,33.0,-110.625
121,32 ,47.0,-120.625
122,52 ,49.0,-101.875
123,49 ,48.0,-101.875
124,32 ,47.0,-123.125
125,39 ,43.0,-124.375
126,33 ,39.0,-119.375
127,38 ,35.0,-114.375
128,33 ,41.0,-115.625
129,53 ,49.0,-106.875
130,33 ,45.0,-109.375
131,35 ,41.0,-110.625
132,41 ,49.0,-113.125
133,33 ,46.0,-119.375
134,33 ,45.0,-120.625
135,46 ,46.0,-101.875
136,33 ,32.0,-113.125
137,33 ,45.0,-110.625
138,35 ,43.0,-116.875
139,53 ,32.0,-119.375
140,35 ,41.0,-121.875
141,35 ,45.0,-111.875
142,36 ,41.0,-101.875
143,38 ,38.0,-110.625
144,49 ,48.0,-108.125
145,57 ,37.0,-124.375
146,32 ,39.0,-108.125
147,52 ,41.0,-124.375
148,44 ,37.0,-101.875
149,35 ,42.0,-103.125
150,57 ,49.0,-104.375
151,38 ,45.0,-106.875
152,36 ,34.0,-113.125
153,36 ,40.0,-101.875
154,35 ,39.0,-120.625
155,30 ,48.0,-123.125
156,32 ,37.0,-118.125
157,41 ,43.0,-109.375
158,64 ,40.0,-124.375
159,32 ,39.0,-106.875
160,35 ,48.0,-114.375
161,30 ,40.0,-123.125
162,53 ,48.0,-104.375
163,47 ,47.0,-101.875
164,36 ,36.0,-110.625
165,58 ,33.0,-123.125
