,ELCC,latitude,longitude
0,13 ,40.5,-107.5
1,42 ,34.0,-121.25
2,39 ,36.5,-124.375
3,47 ,34.5,-103.75
4,17 ,44.5,-105.625
5,2 ,46.0,-115.625
6,17 ,43.0,-107.5
7,11 ,48.5,-122.5
8,49 ,47.0,-105.625
9,0 ,44.5,-115.0
10,19 ,32.5,-107.5
11,27 ,38.0,-108.75
12,33 ,44.5,-103.75
13,41 ,35.5,-123.75
14,35 ,38.0,-106.25
15,8 ,41.0,-121.875
16,39 ,34.0,-123.75
17,42 ,36.0,-123.125
18,8 ,39.5,-106.25
19,58 ,48.0,-101.875
20,13 ,39.5,-116.875
21,39 ,33.0,-105.0
22,21 ,41.0,-103.75
23,5 ,41.0,-123.75
24,14 ,43.5,-121.25
25,19 ,37.5,-120.625
26,2 ,46.5,-110.0
27,33 ,34.5,-120.625
28,28 ,48.5,-125.0
29,25 ,46.5,-125.0
30,55 ,48.0,-103.75
31,11 ,49.5,-123.125
32,14 ,45.5,-123.125
33,0 ,46.5,-111.25
34,36 ,37.0,-125.0
35,28 ,43.5,-120.0
36,41 ,47.5,-106.875
37,19 ,38.0,-110.625
38,39 ,37.0,-124.375
39,11 ,38.0,-118.75
40,16 ,32.0,-111.875
41,35 ,32.5,-103.125
42,24 ,37.5,-115.0
43,8 ,48.5,-116.25
44,7 ,46.5,-121.25
45,7 ,44.0,-108.125
46,47 ,35.0,-103.75
47,8 ,40.5,-123.75
48,13 ,44.5,-120.0
49,27 ,42.0,-119.375
50,47 ,39.0,-124.375
51,19 ,32.5,-124.375
52,30 ,31.5,-118.75
53,16 ,45.0,-106.25
54,36 ,36.5,-103.125
55,35 ,44.0,-125.0
56,3 ,39.0,-108.125
57,49 ,48.0,-105.625
58,5 ,42.0,-110.625
59,8 ,34.0,-116.875
60,19 ,35.0,-113.75
61,2 ,42.5,-110.0
62,16 ,42.0,-121.25
63,16 ,43.5,-105.0
64,8 ,43.5,-103.125
65,13 ,33.0,-106.875
66,30 ,33.5,-124.375
67,25 ,46.0,-125.0
68,3 ,39.0,-122.5
69,30 ,49.5,-110.0
70,42 ,32.0,-108.125
71,24 ,41.5,-119.375
72,33 ,34.0,-101.875
73,35 ,35.0,-111.25
74,47 ,35.0,-123.125
75,5 ,48.5,-121.875
76,36 ,36.5,-109.375
77,7 ,39.0,-118.75
78,13 ,42.0,-103.75
79,0 ,45.0,-107.5
80,57 ,49.0,-103.75
81,7 ,48.5,-114.375
82,5 ,33.5,-118.125
83,24 ,46.5,-124.375
84,25 ,47.5,-125.0
85,27 ,46.5,-107.5
86,21 ,45.0,-122.5
87,41 ,36.0,-103.125
88,42 ,33.5,-121.25
89,8 ,45.5,-117.5
90,21 ,35.0,-114.375
91,53 ,45.0,-103.125
92,2 ,44.5,-113.125
93,2 ,45.0,-113.125
94,10 ,37.0,-115.0
95,2 ,43.0,-110.0
96,2 ,45.0,-111.25
97,2 ,46.0,-116.25
98,7 ,40.5,-115.625
99,30 ,35.0,-110.625
100,35 ,35.5,-112.5
101,7 ,44.5,-111.875
102,3 ,43.0,-111.25
103,11 ,38.5,-121.875
104,10 ,36.5,-118.125
105,13 ,36.5,-121.25
106,53 ,46.5,-104.375
107,22 ,45.5,-106.25
108,16 ,41.5,-103.75
109,16 ,40.5,-103.125
110,36 ,36.0,-108.125
111,13 ,41.5,-103.125
112,8 ,43.0,-104.375
113,8 ,34.5,-112.5
114,8 ,32.0,-110.625
115,11 ,46.5,-118.125
116,7 ,47.5,-115.625
117,28 ,31.5,-106.25
118,33 ,33.5,-105.625
119,16 ,40.0,-103.125
120,35 ,34.5,-101.875
121,7 ,45.5,-119.375
122,61 ,46.0,-101.875
123,36 ,35.5,-121.875
124,14 ,31.5,-123.75
125,17 ,41.5,-114.375
126,17 ,42.0,-113.75
127,25 ,48.5,-109.375
128,14 ,41.0,-109.375
129,21 ,32.0,-105.625
130,2 ,49.5,-120.0
131,0 ,44.0,-113.125
132,2 ,49.0,-113.75
133,2 ,44.0,-113.75
134,3 ,49.0,-118.75
135,11 ,40.5,-113.125
136,17 ,38.5,-108.125
137,44 ,41.5,-125.0
138,0 ,47.5,-112.5
139,19 ,31.5,-115.625
140,5 ,39.5,-122.5
141,10 ,41.0,-116.25
142,14 ,37.5,-121.875
143,3 ,46.0,-110.0
144,3 ,32.0,-116.875
145,16 ,39.5,-104.375
146,16 ,48.0,-118.125
147,7 ,36.0,-119.375
148,11 ,37.0,-121.875
149,7 ,46.0,-108.75
150,58 ,47.5,-101.875
151,0 ,49.5,-116.25
152,7 ,48.0,-111.25
153,36 ,31.5,-103.125
154,30 ,37.5,-116.25
155,41 ,36.5,-110.625
156,8 ,49.5,-124.375
157,36 ,36.0,-109.375
158,7 ,48.0,-122.5
159,14 ,35.5,-120.625
160,42 ,37.5,-123.75
161,30 ,34.5,-110.625
162,21 ,41.5,-120.625
163,13 ,31.5,-112.5
164,8 ,44.5,-108.125
165,52 ,49.0,-105.625
166,21 ,47.0,-124.375
167,21 ,38.0,-107.5
168,8 ,45.0,-108.125
169,27 ,32.5,-108.125
170,8 ,43.5,-115.0
171,17 ,43.5,-106.25
172,3 ,47.0,-115.0
173,13 ,46.5,-108.75
174,0 ,45.0,-115.625
175,5 ,40.0,-117.5
176,8 ,34.5,-118.75
177,53 ,48.0,-104.375
178,5 ,45.0,-121.25
179,3 ,48.5,-118.125
180,11 ,38.5,-120.625
181,7 ,45.0,-120.0
182,24 ,33.5,-107.5
183,8 ,44.0,-111.25
184,16 ,45.5,-121.875
185,14 ,32.5,-111.875
186,30 ,35.0,-106.875
187,13 ,42.0,-102.5
188,11 ,43.0,-118.125
189,7 ,43.5,-121.875
190,16 ,39.5,-101.875
191,19 ,44.0,-119.375
192,10 ,40.0,-108.125
193,2 ,34.0,-117.5
194,50 ,40.0,-125.0
195,5 ,44.5,-116.25
196,0 ,47.0,-111.25
197,61 ,48.5,-101.875
198,32 ,35.5,-118.125
199,35 ,37.5,-110.0
200,28 ,36.0,-103.75
201,16 ,40.0,-113.125
202,32 ,32.0,-121.875
203,2 ,36.5,-117.5
204,14 ,42.0,-118.75
205,55 ,47.0,-103.75
206,39 ,49.5,-108.75
207,11 ,42.0,-113.125
208,28 ,32.5,-118.75
209,39 ,31.5,-102.5
210,28 ,33.5,-108.125
211,13 ,34.5,-111.25
212,14 ,38.5,-115.625
213,16 ,41.0,-101.875
214,49 ,34.5,-105.0
215,27 ,47.0,-108.125
216,36 ,33.0,-121.875
217,46 ,34.0,-105.625
218,10 ,36.0,-117.5
219,7 ,39.0,-108.75
220,17 ,37.5,-121.25
221,38 ,32.5,-105.0
222,38 ,47.5,-118.75
223,3 ,47.5,-115.0
224,52 ,49.5,-105.625
225,17 ,48.0,-118.75
226,2 ,45.5,-109.375
227,19 ,46.0,-123.75
228,44 ,34.5,-123.125
229,21 ,33.0,-115.625
230,0 ,36.5,-118.75
231,36 ,38.5,-125.0
232,13 ,37.5,-118.75
233,32 ,38.5,-106.25
234,47 ,48.0,-106.25
235,41 ,36.0,-122.5
236,38 ,35.5,-103.75
237,41 ,34.0,-105.0
238,3 ,47.5,-110.625
239,7 ,45.5,-107.5
240,13 ,32.0,-112.5
241,3 ,48.5,-113.75
242,35 ,33.5,-102.5
243,27 ,38.0,-109.375
244,21 ,40.5,-103.75
245,21 ,43.5,-102.5
246,16 ,47.0,-116.875
247,8 ,33.5,-110.0
248,30 ,35.5,-111.25
249,19 ,43.0,-116.875
250,8 ,38.0,-105.0
251,39 ,34.0,-122.5
252,57 ,49.0,-104.375
253,7 ,34.5,-111.875
254,36 ,33.0,-103.125
255,21 ,44.0,-104.375
256,3 ,42.0,-110.0
257,39 ,36.0,-110.0
258,16 ,39.5,-112.5
259,21 ,39.0,-102.5
260,8 ,33.0,-113.125
261,39 ,36.5,-101.875
262,39 ,46.5,-106.25
263,2 ,46.5,-111.875
264,44 ,46.5,-105.625
265,32 ,36.0,-125.0
266,3 ,49.0,-113.125
267,44 ,49.5,-107.5
268,36 ,36.5,-111.25
269,25 ,39.0,-110.625
270,19 ,40.0,-121.875
271,27 ,44.0,-103.125
272,35 ,36.0,-110.625
273,30 ,47.0,-118.125
274,13 ,46.5,-120.0
275,7 ,44.0,-112.5
276,3 ,49.5,-115.0
277,49 ,46.5,-105.0
278,16 ,41.0,-102.5
279,52 ,48.0,-105.0
280,19 ,38.5,-115.0
281,55 ,48.5,-103.75
282,0 ,43.0,-110.625
283,7 ,46.0,-118.125
284,14 ,39.5,-121.875
285,21 ,37.5,-112.5
286,5 ,35.5,-120.0
287,25 ,44.0,-120.625
288,39 ,38.5,-123.75
289,24 ,43.0,-120.0
290,41 ,37.0,-103.75
291,25 ,45.0,-105.625
292,57 ,46.0,-103.75
293,32 ,48.0,-108.75
294,10 ,43.5,-103.75
295,21 ,36.0,-105.625
296,7 ,40.5,-105.625
297,44 ,34.0,-120.625
298,41 ,37.5,-123.125
299,2 ,44.5,-113.75
300,33 ,35.0,-109.375
301,10 ,32.0,-113.75
302,41 ,35.5,-107.5
303,16 ,37.5,-107.5
304,30 ,36.5,-113.75
305,30 ,41.0,-105.0
306,58 ,49.5,-104.375
307,7 ,49.0,-121.875
308,5 ,40.0,-120.625
309,14 ,41.5,-107.5
310,21 ,43.0,-118.75
311,38 ,36.0,-124.375
312,25 ,32.0,-122.5
313,10 ,43.0,-121.875
314,21 ,35.0,-120.625
315,3 ,43.5,-114.375
316,14 ,46.0,-121.875
317,33 ,36.5,-104.375
318,3 ,42.5,-111.875
319,8 ,46.0,-118.75
320,2 ,44.0,-110.0
321,21 ,43.0,-120.625
322,5 ,49.0,-120.625
323,38 ,35.5,-109.375
324,61 ,49.5,-102.5
325,17 ,41.5,-105.625
326,28 ,32.5,-101.875
327,27 ,32.5,-108.75
328,49 ,34.5,-105.625
329,3 ,47.5,-113.75
330,2 ,41.0,-123.125
331,25 ,36.0,-111.25
332,19 ,34.0,-110.0
333,0 ,43.5,-110.625
334,10 ,46.0,-108.125
335,17 ,39.0,-113.125
336,5 ,38.5,-120.0
337,25 ,49.5,-110.625
338,8 ,40.0,-120.0
339,5 ,35.0,-120.0
340,22 ,36.5,-121.875
341,24 ,43.5,-119.375
342,3 ,46.0,-110.625
343,8 ,33.5,-109.375
344,19 ,42.5,-120.0
345,35 ,32.5,-121.875
346,39 ,40.5,-124.375
347,14 ,41.5,-116.25
348,22 ,38.0,-117.5
349,17 ,38.5,-113.125
350,17 ,42.0,-117.5
351,49 ,33.5,-103.75
352,2 ,49.0,-120.0
353,32 ,46.5,-106.875
354,21 ,32.0,-123.125
355,41 ,36.0,-107.5
356,16 ,32.0,-110.0
357,7 ,48.0,-121.875
358,11 ,32.5,-112.5
359,10 ,33.5,-108.75
360,16 ,39.5,-110.0
361,8 ,48.0,-115.625
362,10 ,47.0,-121.25
363,10 ,40.0,-119.375
364,13 ,48.0,-116.25
365,32 ,32.0,-104.375
366,0 ,45.0,-110.0
367,3 ,40.0,-121.25
368,14 ,38.0,-120.625
369,5 ,49.0,-116.25
370,3 ,42.0,-122.5
371,7 ,40.5,-117.5
372,7 ,40.0,-115.625
373,4 ,49.0,-116.875
374,16 ,37.0,-113.75
375,57 ,48.0,-102.5
376,28 ,33.0,-101.875
377,24 ,41.5,-124.375
378,39 ,34.0,-123.125
