,ELCC,latitude,longitude
0,11 ,49.0,-110.0
1,13 ,40.0,-104.375
2,16 ,36.5,-113.75
3,16 ,37.5,-106.25
4,13 ,32.5,-104.375
5,17 ,44.5,-111.875
6,8 ,45.5,-125.0
7,16 ,31.5,-122.5
8,14 ,46.0,-113.75
9,10 ,48.0,-117.5
10,17 ,41.5,-106.875
11,16 ,35.0,-108.75
12,13 ,35.5,-110.0
13,17 ,38.5,-115.0
14,11 ,47.5,-116.875
15,16 ,48.0,-104.375
16,10 ,34.5,-124.375
17,14 ,36.0,-121.875
18,10 ,49.5,-117.5
19,16 ,46.5,-108.75
20,17 ,33.0,-110.0
21,11 ,41.5,-125.0
22,17 ,42.5,-108.75
23,13 ,38.5,-123.75
24,13 ,32.5,-116.875
25,13 ,39.5,-123.75
26,17 ,42.5,-110.625
27,17 ,43.0,-102.5
28,16 ,33.0,-110.625
29,13 ,45.0,-117.5
30,14 ,35.5,-122.5
31,11 ,37.5,-110.625
32,14 ,39.5,-118.125
33,14 ,34.5,-120.0
34,14 ,47.0,-103.125
35,11 ,35.5,-116.25
36,14 ,39.0,-122.5
37,10 ,48.0,-120.0
38,16 ,47.5,-103.125
39,13 ,38.5,-124.375
40,17 ,33.0,-108.75
41,16 ,43.5,-110.625
42,10 ,47.5,-118.125
43,16 ,36.0,-113.75
44,14 ,46.0,-115.0
45,13 ,46.0,-116.875
46,13 ,36.5,-123.125
47,14 ,49.5,-106.875
48,17 ,31.5,-118.125
49,13 ,40.0,-121.875
50,13 ,37.0,-119.375
51,13 ,36.5,-102.5
52,14 ,41.5,-118.125
53,16 ,32.0,-103.75
54,17 ,33.5,-109.375
55,14 ,35.5,-120.625
56,14 ,32.0,-104.375
57,14 ,45.5,-115.0
58,16 ,49.5,-101.875
59,11 ,43.0,-123.125
60,16 ,40.0,-111.875
61,16 ,40.5,-110.625
62,13 ,46.5,-114.375
63,5 ,48.5,-123.125
64,17 ,33.5,-108.75
65,14 ,40.0,-117.5
66,16 ,37.5,-104.375
67,13 ,41.5,-102.5
