,ELCC,latitude,longitude
0,0 ,49.0,-116.875
1,39 ,34.0,-124.375
2,7 ,46.0,-106.875
3,7 ,43.0,-124.375
4,36 ,40.0,-124.375
5,11 ,42.0,-106.875
6,19 ,39.0,-121.875
7,8 ,37.0,-121.875
8,8 ,37.0,-106.875
9,17 ,39.0,-103.125
10,14 ,35.0,-118.125
11,7 ,39.0,-123.125
12,13 ,40.0,-103.125
13,2 ,44.0,-109.375
14,10 ,38.0,-113.125
15,21 ,39.0,-101.875
16,17 ,36.0,-103.125
17,8 ,42.0,-116.875
18,33 ,35.0,-121.875
19,8 ,38.0,-120.625
20,2 ,41.0,-111.875
21,24 ,35.0,-109.375
22,42 ,39.0,-124.375
23,14 ,49.0,-103.125
24,6 ,39.0,-104.375
25,21 ,32.0,-111.875
26,13 ,33.0,-115.625
27,0 ,46.0,-114.375
28,17 ,35.0,-110.625
29,8 ,44.0,-103.125
30,13 ,33.0,-111.875
31,8 ,40.0,-113.125
32,5 ,38.0,-119.375
33,10 ,37.0,-108.125
34,7 ,38.0,-111.875
35,19 ,32.0,-104.375
36,14 ,44.0,-120.625
37,2 ,49.0,-121.875
38,5 ,36.0,-119.375
39,10 ,43.0,-119.375
40,8 ,45.0,-124.375
41,14 ,46.0,-103.125
42,10 ,47.0,-105.625
43,3 ,49.0,-114.375
44,16 ,48.0,-109.375
45,11 ,35.0,-106.875
46,19 ,40.0,-121.875
47,13 ,37.0,-105.625
48,19 ,33.0,-105.625
49,3 ,39.0,-106.875
50,17 ,49.0,-104.375
51,3 ,45.0,-123.125
52,16 ,48.0,-110.625
53,11 ,37.0,-110.625
54,24 ,41.0,-101.875
55,17 ,32.0,-109.375
56,3 ,36.0,-113.125
57,2 ,47.0,-123.125
58,2 ,49.0,-120.625
59,11 ,43.0,-103.125
60,8 ,33.0,-109.375
61,5 ,48.0,-124.375
62,8 ,46.0,-108.125
63,13 ,48.0,-108.125
64,5 ,40.0,-120.625
65,8 ,46.0,-119.375
66,5 ,47.0,-116.875
67,2 ,48.0,-121.875
68,13 ,46.0,-120.625
69,17 ,37.0,-116.875
70,5 ,48.0,-113.125
71,0 ,45.0,-114.375
72,14 ,38.0,-103.125
73,17 ,42.0,-109.375
74,7 ,34.0,-118.125
75,22 ,38.0,-121.875
76,10 ,44.0,-104.375
77,11 ,36.0,-106.875
78,11 ,32.0,-115.625
79,3 ,44.0,-116.875
80,14 ,42.0,-103.125
81,11 ,42.0,-119.375
82,11 ,37.0,-115.625
83,3 ,40.0,-119.375
84,14 ,47.0,-109.375
85,8 ,42.0,-118.125
86,3 ,43.0,-116.875
87,13 ,36.0,-109.375
88,19 ,49.0,-110.625
89,13 ,33.0,-118.125
90,38 ,32.0,-121.875
91,3 ,46.0,-123.125
92,17 ,34.0,-109.375
93,8 ,38.0,-104.375
94,13 ,46.0,-101.875
95,7 ,40.0,-114.375
96,17 ,40.0,-101.875
97,8 ,36.0,-116.875
98,16 ,35.0,-120.625
99,38 ,32.0,-124.375
100,0 ,48.0,-120.625
101,2 ,49.0,-124.375
102,14 ,47.0,-118.125
103,13 ,49.0,-113.125
104,5 ,39.0,-118.125
105,8 ,47.0,-110.625
106,2 ,47.0,-121.875
107,3 ,49.0,-123.125
108,8 ,38.0,-118.125
109,14 ,34.0,-115.625
110,8 ,41.0,-113.125
111,21 ,35.0,-108.125
112,5 ,47.0,-120.625
113,3 ,40.0,-105.625
114,8 ,36.0,-114.375
115,11 ,38.0,-110.625
116,32 ,34.0,-120.625
117,21 ,33.0,-103.125
118,2 ,41.0,-123.125
119,13 ,33.0,-116.875
120,36 ,34.0,-123.125
121,19 ,42.0,-101.875
122,39 ,35.0,-124.375
123,24 ,36.0,-121.875
124,3 ,43.0,-110.625
125,16 ,49.0,-109.375
126,11 ,36.0,-110.625
127,2 ,45.0,-110.625
128,3 ,43.0,-123.125
129,3 ,46.0,-121.875
130,19 ,37.0,-103.125
131,13 ,38.0,-109.375
132,11 ,41.0,-104.375
133,8 ,37.0,-113.125
134,17 ,35.0,-104.375
135,8 ,46.0,-124.375
136,11 ,42.0,-114.375
137,32 ,34.0,-101.875
138,16 ,49.0,-111.875
139,5 ,44.0,-113.125
140,13 ,47.0,-119.375
141,5 ,45.0,-108.125
142,2 ,40.0,-106.875
143,5 ,40.0,-116.875
144,11 ,39.0,-109.375
145,11 ,45.0,-101.875
146,27 ,38.0,-123.125
147,8 ,43.0,-120.625
148,5 ,43.0,-121.875
149,3 ,39.0,-108.125
150,11 ,47.0,-101.875
151,3 ,37.0,-111.875
152,14 ,42.0,-108.125
153,10 ,34.0,-119.375
154,16 ,48.0,-111.875
155,10 ,39.0,-115.625
156,16 ,34.0,-111.875
157,8 ,42.0,-115.625
158,11 ,49.0,-101.875
159,5 ,38.0,-108.125
160,13 ,42.0,-110.625
161,16 ,43.0,-113.125
162,3 ,44.0,-121.875
163,0 ,45.0,-115.625
164,13 ,32.0,-116.875
165,8 ,44.0,-119.375
166,36 ,35.0,-123.125
167,10 ,45.0,-105.625
168,8 ,42.0,-121.875
169,35 ,33.0,-120.625
170,7 ,39.0,-120.625
171,10 ,37.0,-114.375
172,39 ,33.0,-124.375
173,36 ,33.0,-123.125
174,2 ,46.0,-115.625
175,10 ,43.0,-101.875
176,8 ,45.0,-119.375
177,41 ,38.0,-124.375
178,8 ,45.0,-120.625
179,2 ,45.0,-111.875
180,13 ,44.0,-105.625
181,14 ,49.0,-108.125
182,11 ,41.0,-103.125
183,24 ,38.0,-101.875
184,5 ,36.0,-111.875
185,13 ,33.0,-108.125
186,14 ,43.0,-114.375
187,7 ,40.0,-104.375
188,10 ,42.0,-113.125
189,16 ,35.0,-113.125
190,11 ,39.0,-110.625
191,2 ,45.0,-113.125
192,8 ,44.0,-118.125
193,10 ,43.0,-109.375
194,5 ,43.0,-118.125
195,14 ,33.0,-114.375
196,11 ,38.0,-106.875
197,13 ,37.0,-120.625
198,5 ,46.0,-118.125
199,7 ,36.0,-118.125
200,10 ,35.0,-115.625
201,7 ,40.0,-108.125
202,7 ,45.0,-106.875
203,33 ,32.0,-119.375
204,14 ,36.0,-104.375
205,21 ,34.0,-106.875
206,22 ,35.0,-103.125
207,16 ,33.0,-104.375
208,3 ,42.0,-123.125
209,5 ,41.0,-118.125
210,8 ,41.0,-105.625
211,8 ,35.0,-111.875
212,11 ,42.0,-120.625
213,36 ,33.0,-121.875
214,11 ,42.0,-104.375
