,ELCC,latitude,longitude
0,16 ,39.0,-109.375
1,17 ,33.0,-118.75
2,21 ,44.0,-105.625
3,17 ,37.0,-116.875
4,19 ,35.0,-118.125
5,22 ,34.5,-105.0
6,21 ,49.0,-105.0
7,14 ,44.5,-123.75
8,17 ,44.0,-102.5
9,25 ,33.0,-105.625
10,16 ,39.0,-125.0
11,14 ,34.5,-122.5
12,11 ,47.5,-123.75
13,21 ,41.5,-109.375
14,19 ,38.5,-108.75
15,24 ,33.5,-105.625
16,16 ,48.0,-118.125
17,16 ,31.5,-123.125
18,16 ,44.0,-122.5
19,13 ,47.0,-123.125
20,17 ,42.0,-120.0
21,17 ,48.5,-114.375
22,17 ,44.5,-102.5
23,19 ,45.5,-110.0
24,16 ,46.5,-119.375
25,21 ,42.5,-114.375
26,25 ,32.5,-104.375
27,17 ,32.5,-113.125
28,16 ,38.0,-123.75
29,13 ,42.5,-102.5
30,21 ,43.5,-107.5
31,19 ,41.0,-108.75
32,14 ,44.0,-124.375
33,14 ,44.0,-123.75
34,17 ,44.0,-103.125
35,21 ,45.0,-106.875
36,21 ,49.5,-108.125
37,16 ,40.0,-124.375
38,17 ,34.5,-119.375
39,17 ,36.0,-121.25
40,14 ,35.5,-115.0
41,17 ,38.5,-111.875
42,11 ,47.5,-123.125
43,17 ,39.0,-105.0
44,17 ,47.5,-115.0
45,19 ,48.5,-113.125
46,14 ,36.5,-110.625
47,17 ,33.0,-117.5
48,13 ,45.5,-124.375
49,13 ,48.0,-122.5
50,16 ,46.5,-120.625
51,10 ,33.5,-111.875
52,19 ,47.0,-103.125
53,24 ,32.5,-106.25
54,21 ,48.5,-109.375
55,10 ,34.5,-112.5
56,19 ,36.5,-113.75
57,8 ,33.5,-111.25
58,19 ,36.5,-119.375
59,8 ,34.0,-111.25
60,17 ,47.0,-112.5
61,13 ,48.5,-123.125
62,13 ,44.0,-125.0
63,19 ,39.5,-102.5
64,16 ,45.5,-121.25
65,19 ,36.0,-105.0
66,13 ,36.5,-111.25
67,19 ,40.0,-105.0
68,21 ,49.5,-105.0
69,16 ,46.5,-121.25
70,17 ,42.0,-120.625
71,16 ,40.5,-125.0
72,14 ,41.0,-103.125
73,13 ,46.0,-123.125
74,16 ,45.0,-118.125
75,17 ,32.0,-123.125
76,21 ,43.5,-115.0
77,21 ,46.0,-110.625
78,13 ,49.5,-120.0
79,19 ,37.0,-105.0
80,21 ,44.5,-108.125
81,16 ,43.5,-121.25
82,24 ,35.0,-103.75
83,21 ,33.0,-113.75
84,17 ,42.0,-107.5
85,17 ,36.5,-105.0
86,21 ,46.0,-103.75
87,17 ,37.0,-121.25
88,13 ,45.5,-123.75
89,16 ,41.0,-125.0
90,21 ,36.5,-104.375
91,16 ,43.0,-121.875
92,21 ,46.0,-105.0
93,24 ,37.0,-103.125
94,19 ,33.0,-108.75
95,21 ,36.0,-115.0
96,19 ,37.0,-105.625
97,19 ,33.5,-101.875
98,22 ,41.5,-105.0
99,24 ,35.5,-103.125
100,22 ,43.0,-111.875
101,21 ,40.5,-109.375
102,24 ,31.5,-103.125
103,19 ,40.0,-114.375
104,22 ,48.5,-103.125
105,13 ,49.0,-120.0
106,22 ,44.5,-112.5
107,13 ,35.0,-115.0
108,13 ,43.0,-103.125
109,25 ,32.0,-105.0
110,17 ,46.0,-110.0
111,11 ,31.5,-111.875
112,14 ,42.5,-116.25
113,21 ,49.0,-102.5
114,13 ,32.5,-116.25
115,22 ,42.5,-111.875
116,22 ,43.5,-110.625
117,22 ,35.5,-101.875
118,17 ,46.0,-115.625
119,17 ,32.0,-110.625
120,16 ,43.0,-115.625
121,21 ,35.0,-105.0
122,17 ,35.0,-106.25
123,16 ,46.5,-121.875
124,21 ,39.0,-114.375
125,16 ,32.5,-118.125
126,21 ,44.5,-109.375
127,14 ,43.0,-124.375
128,17 ,36.0,-107.5
129,11 ,33.0,-111.875
130,17 ,33.5,-121.875
131,19 ,41.0,-106.875
132,16 ,39.0,-112.5
133,13 ,41.5,-103.75
134,10 ,49.5,-123.75
135,16 ,48.0,-117.5
136,17 ,46.0,-108.125
137,19 ,39.0,-105.625
138,14 ,32.0,-116.25
139,22 ,45.0,-110.0
140,16 ,44.0,-121.875
141,19 ,46.5,-111.875
142,21 ,48.0,-105.625
143,16 ,42.0,-124.375
144,16 ,36.0,-116.25
145,13 ,33.0,-112.5
146,21 ,48.5,-108.75
147,8 ,47.5,-125.0
148,17 ,42.5,-120.0
149,21 ,48.5,-107.5
150,22 ,44.0,-110.0
151,21 ,48.0,-110.0
152,19 ,39.5,-121.25
153,17 ,49.0,-115.0
154,17 ,40.0,-121.25
155,19 ,41.0,-117.5
156,21 ,48.0,-108.75
157,17 ,34.5,-123.75
158,20 ,46.5,-110.625
159,17 ,49.0,-111.25
160,11 ,35.5,-109.375
161,21 ,32.5,-114.375
162,19 ,31.5,-116.875
163,16 ,45.0,-119.375
164,22 ,33.5,-106.875
165,16 ,33.0,-124.375
166,16 ,35.5,-118.125
167,14 ,31.5,-124.375
168,13 ,48.5,-120.0
169,21 ,45.0,-112.5
170,25 ,34.0,-104.375
171,10 ,34.0,-110.625
172,25 ,33.5,-105.0
173,16 ,45.5,-118.125
174,17 ,34.5,-124.375
175,16 ,48.0,-114.375
176,10 ,48.0,-124.375
177,21 ,39.0,-115.0
178,19 ,36.0,-108.75
179,21 ,35.0,-101.875
180,19 ,44.5,-106.875
181,21 ,47.0,-107.5
182,17 ,39.0,-103.125
183,19 ,49.0,-110.625
184,21 ,42.5,-108.75
185,19 ,49.5,-108.75
186,17 ,40.5,-120.625
187,17 ,41.5,-120.625
188,21 ,44.0,-114.375
189,21 ,32.0,-113.75
190,13 ,33.0,-110.0
191,19 ,40.5,-115.0
192,22 ,42.0,-113.125
193,13 ,36.0,-113.125
194,21 ,38.5,-119.375
195,16 ,48.5,-113.75
196,13 ,35.0,-114.375
197,17 ,37.5,-112.5
198,17 ,36.5,-108.75
199,13 ,35.5,-110.0
200,21 ,41.0,-114.375
201,16 ,35.0,-123.125
202,17 ,43.0,-118.75
203,13 ,49.0,-118.75
204,21 ,48.0,-101.875
205,17 ,49.0,-115.625
206,16 ,33.0,-125.0
207,10 ,48.5,-124.375
208,21 ,42.0,-113.75
209,16 ,38.5,-124.375
210,19 ,47.0,-114.375
211,17 ,41.5,-121.875
212,19 ,35.0,-105.625
