,ELCC,latitude,longitude
0,46 ,45.0,-111.875
1,41 ,43.0,-105.625
2,42 ,49.0,-114.375
3,39 ,39.0,-110.625
4,44 ,48.0,-105.625
5,42 ,32.0,-121.875
6,42 ,39.0,-121.875
7,44 ,37.0,-104.375
8,42 ,34.0,-123.125
9,41 ,32.0,-116.875
10,42 ,42.0,-108.125
11,44 ,47.0,-104.375
12,46 ,48.0,-103.125
13,44 ,36.0,-119.375
14,41 ,38.0,-124.375
15,42 ,38.0,-123.125
16,41 ,36.0,-116.875
17,46 ,48.0,-101.875
18,39 ,35.0,-115.625
19,46 ,49.0,-104.375
20,41 ,46.0,-121.875
21,39 ,49.0,-121.875
22,42 ,38.0,-104.375
23,44 ,41.0,-115.625
24,44 ,43.0,-109.375
25,44 ,42.0,-115.625
26,46 ,43.0,-110.625
27,41 ,36.0,-110.625
28,44 ,39.0,-113.125
29,42 ,39.0,-116.875
30,47 ,32.0,-105.625
31,42 ,37.0,-116.875
32,44 ,32.0,-115.625
33,42 ,38.0,-111.875
34,44 ,46.0,-114.375
35,41 ,37.0,-111.875
36,41 ,34.0,-121.875
37,44 ,47.0,-113.125
38,42 ,43.0,-118.125
39,41 ,42.0,-106.875
40,42 ,32.0,-119.375
41,41 ,33.0,-120.625
42,44 ,33.0,-101.875
43,44 ,33.0,-115.625
44,46 ,44.0,-109.375
45,41 ,43.0,-121.875
46,42 ,39.0,-104.375
47,41 ,35.0,-106.875
48,41 ,43.0,-104.375
49,41 ,37.0,-120.625
50,39 ,37.0,-108.125
51,41 ,42.0,-124.375
52,42 ,34.0,-124.375
53,38 ,34.0,-110.625
54,41 ,32.0,-111.875
55,46 ,45.0,-104.375
56,42 ,47.0,-110.625
57,46 ,34.0,-108.125
58,42 ,41.0,-120.625
59,38 ,48.0,-124.375
60,41 ,37.0,-114.375
61,47 ,32.0,-104.375
62,47 ,40.0,-106.875
63,41 ,34.0,-119.375
64,46 ,49.0,-103.125
65,41 ,48.0,-120.625
66,44 ,40.0,-121.875
67,39 ,35.0,-109.375
68,46 ,42.0,-114.375
69,41 ,37.0,-124.375
70,46 ,44.0,-110.625
71,42 ,33.0,-118.125
72,42 ,42.0,-120.625
73,41 ,38.0,-120.625
74,39 ,45.0,-124.375
75,44 ,36.0,-104.375
76,44 ,33.0,-114.375
77,42 ,33.0,-121.875
78,41 ,46.0,-118.125
79,41 ,45.0,-123.125
80,44 ,39.0,-119.375
81,44 ,44.0,-106.875
82,47 ,33.0,-104.375
83,44 ,37.0,-113.125
84,42 ,33.0,-124.375
85,42 ,32.0,-118.125
86,39 ,34.0,-120.625
87,44 ,46.0,-110.625
88,41 ,39.0,-111.875
89,42 ,34.0,-101.875
90,42 ,42.0,-121.875
91,44 ,38.0,-108.125
