,ELCC,latitude,longitude
0,33 ,40.0,-118.125
1,42 ,35.0,-118.125
2,33 ,47.0,-115.625
3,36 ,39.0,-116.875
4,64 ,34.0,-123.125
5,33 ,46.0,-123.125
6,42 ,37.0,-109.375
7,41 ,43.0,-106.875
8,46 ,43.0,-114.375
9,44 ,36.0,-109.375
10,33 ,45.0,-123.125
11,42 ,34.0,-110.625
12,32 ,49.0,-118.125
13,49 ,49.0,-105.625
14,44 ,47.0,-109.375
15,38 ,45.0,-106.875
16,44 ,37.0,-115.625
17,46 ,42.0,-103.125
18,39 ,44.0,-111.875
19,35 ,38.0,-119.375
20,46 ,48.0,-103.125
21,33 ,46.0,-116.875
22,35 ,40.0,-119.375
23,39 ,42.0,-120.625
24,42 ,48.0,-108.125
25,66 ,32.0,-121.875
26,49 ,36.0,-108.125
27,38 ,45.0,-120.625
28,53 ,35.0,-103.125
29,33 ,48.0,-121.875
30,44 ,49.0,-109.375
31,47 ,32.0,-110.625
32,42 ,47.0,-119.375
33,44 ,36.0,-110.625
34,41 ,38.0,-106.875
35,36 ,36.0,-118.125
36,41 ,47.0,-106.875
37,42 ,42.0,-104.375
38,44 ,41.0,-104.375
39,66 ,36.0,-124.375
40,49 ,39.0,-103.125
41,42 ,44.0,-120.625
42,42 ,45.0,-103.125
43,32 ,44.0,-115.625
44,38 ,35.0,-111.875
45,38 ,43.0,-111.875
46,36 ,40.0,-105.625
47,41 ,33.0,-110.625
48,38 ,33.0,-109.375
49,41 ,47.0,-105.625
50,35 ,36.0,-111.875
51,42 ,48.0,-105.625
52,32 ,49.0,-124.375
53,41 ,43.0,-103.125
54,47 ,32.0,-113.125
55,47 ,37.0,-104.375
56,49 ,36.0,-103.125
57,35 ,43.0,-116.875
58,41 ,43.0,-101.875
59,33 ,37.0,-118.125
60,42 ,37.0,-110.625
61,33 ,42.0,-123.125
62,38 ,41.0,-115.625
63,44 ,35.0,-120.625
64,67 ,37.0,-124.375
65,33 ,47.0,-114.375
66,64 ,36.0,-123.125
67,36 ,41.0,-116.875
68,39 ,37.0,-113.125
69,36 ,39.0,-123.125
70,55 ,36.0,-101.875
71,50 ,33.0,-105.625
72,36 ,39.0,-120.625
73,52 ,35.0,-105.625
74,41 ,38.0,-105.625
75,36 ,40.0,-115.625
76,42 ,47.0,-104.375
77,47 ,38.0,-116.875
78,50 ,32.0,-111.875
79,32 ,44.0,-123.125
80,42 ,47.0,-101.875
81,33 ,37.0,-119.375
82,41 ,39.0,-105.625
83,36 ,48.0,-118.125
84,35 ,39.0,-104.375
85,44 ,47.0,-103.125
86,57 ,35.0,-101.875
87,44 ,35.0,-116.875
88,36 ,42.0,-111.875
89,44 ,32.0,-115.625
90,39 ,34.0,-119.375
91,64 ,35.0,-121.875
92,36 ,41.0,-119.375
93,41 ,46.0,-124.375
94,33 ,45.0,-113.125
95,39 ,44.0,-103.125
96,44 ,49.0,-108.125
97,44 ,48.0,-109.375
98,33 ,44.0,-121.875
99,36 ,44.0,-118.125
100,49 ,40.0,-101.875
101,47 ,34.0,-114.375
102,36 ,39.0,-119.375
103,39 ,39.0,-115.625
104,52 ,34.0,-108.125
105,44 ,42.0,-124.375
106,39 ,42.0,-113.125
107,50 ,41.0,-101.875
108,47 ,39.0,-121.875
109,47 ,48.0,-110.625
110,55 ,38.0,-101.875
111,46 ,33.0,-106.875
112,49 ,42.0,-101.875
113,36 ,45.0,-108.125
114,47 ,40.0,-121.875
115,55 ,34.0,-105.625
116,44 ,45.0,-101.875
117,44 ,42.0,-106.875
118,49 ,37.0,-116.875
119,53 ,35.0,-109.375
120,33 ,46.0,-113.125
121,33 ,41.0,-123.125
122,44 ,37.0,-114.375
123,66 ,34.0,-124.375
124,44 ,43.0,-105.625
125,35 ,40.0,-111.875
126,38 ,42.0,-115.625
127,44 ,33.0,-108.125
128,35 ,44.0,-109.375
129,46 ,33.0,-104.375
130,36 ,38.0,-111.875
131,38 ,36.0,-120.625
132,44 ,32.0,-116.875
133,71 ,39.0,-124.375
134,44 ,48.0,-104.375
135,44 ,38.0,-109.375
136,58 ,38.0,-123.125
137,49 ,32.0,-109.375
138,49 ,35.0,-110.625
139,47 ,48.0,-111.875
140,42 ,40.0,-109.375
141,33 ,40.0,-123.125
142,38 ,40.0,-104.375
143,39 ,43.0,-115.625
144,35 ,40.0,-120.625
145,33 ,47.0,-123.125
146,42 ,37.0,-120.625
147,47 ,32.0,-105.625
148,42 ,40.0,-110.625
149,32 ,45.0,-110.625
150,55 ,41.0,-124.375
151,33 ,45.0,-121.875
152,32 ,49.0,-119.375
153,36 ,41.0,-121.875
154,42 ,44.0,-105.625
155,32 ,49.0,-121.875
156,36 ,42.0,-118.125
157,39 ,45.0,-124.375
158,46 ,46.0,-103.125
159,38 ,37.0,-108.125
160,44 ,49.0,-101.875
161,35 ,46.0,-111.875
162,38 ,42.0,-116.875
163,38 ,37.0,-121.875
164,33 ,48.0,-114.375
165,42 ,33.0,-115.625
166,38 ,41.0,-114.375
167,38 ,41.0,-110.625
168,32 ,45.0,-115.625
169,36 ,34.0,-118.125
170,38 ,46.0,-119.375
171,35 ,44.0,-113.125
172,33 ,39.0,-108.125
173,38 ,48.0,-119.375
174,32 ,45.0,-114.375
175,44 ,48.0,-101.875
