,ELCC,latitude,longitude
0,21 ,39.5,-116.875
1,19 ,46.0,-114.375
2,22 ,40.5,-118.125
3,22 ,44.5,-121.875
4,14 ,33.0,-111.25
5,14 ,45.0,-108.125
6,10 ,33.0,-101.875
7,19 ,46.0,-115.0
8,11 ,48.0,-105.0
9,19 ,46.5,-115.625
10,21 ,36.0,-119.375
11,11 ,41.0,-102.5
12,21 ,49.0,-121.25
13,16 ,44.5,-110.625
14,10 ,37.0,-101.875
15,21 ,38.0,-116.875
16,10 ,39.5,-105.0
17,24 ,33.5,-119.375
18,21 ,37.5,-116.875
19,10 ,36.5,-103.125
20,17 ,45.5,-111.875
21,8 ,39.0,-105.0
22,21 ,38.5,-117.5
23,11 ,41.5,-103.125
24,22 ,32.0,-118.75
25,13 ,38.0,-111.25
26,16 ,42.5,-110.0
27,22 ,40.0,-121.25
28,11 ,32.0,-108.75
29,17 ,41.0,-112.5
30,22 ,45.0,-121.25
31,14 ,49.5,-109.375
32,11 ,34.5,-105.0
33,14 ,43.5,-110.0
34,17 ,36.0,-114.375
35,10 ,31.5,-103.75
36,22 ,49.5,-124.375
37,22 ,43.5,-118.75
38,16 ,39.5,-112.5
39,16 ,46.5,-111.25
40,22 ,45.5,-118.75
41,13 ,45.5,-105.625
42,21 ,41.0,-116.25
43,19 ,35.5,-116.875
44,13 ,47.5,-106.25
45,22 ,43.0,-118.125
46,13 ,43.5,-105.0
47,21 ,49.5,-123.125
48,27 ,35.0,-123.75
49,19 ,40.5,-115.0
50,13 ,37.0,-110.0
51,17 ,49.0,-116.875
52,11 ,45.5,-103.75
53,24 ,43.5,-121.875
54,11 ,34.5,-106.25
55,19 ,47.5,-115.625
56,22 ,35.0,-118.75
57,19 ,39.5,-116.25
58,16 ,43.0,-110.625
59,21 ,46.0,-118.125
60,11 ,34.0,-107.5
61,17 ,46.0,-113.125
62,13 ,41.5,-105.625
63,24 ,39.0,-120.0
64,22 ,47.0,-123.125
65,11 ,36.0,-106.25
66,11 ,46.0,-103.75
67,16 ,45.5,-111.25
68,21 ,49.0,-124.375
69,11 ,32.0,-109.375
70,19 ,43.5,-113.75
71,14 ,45.5,-108.125
72,21 ,39.5,-118.125
73,16 ,35.0,-113.75
74,11 ,33.0,-106.875
75,22 ,33.5,-118.75
76,27 ,32.5,-125.0
77,11 ,44.5,-102.5
78,19 ,41.0,-115.625
79,19 ,44.0,-115.625
80,19 ,47.5,-116.25
81,17 ,47.5,-115.0
82,14 ,39.0,-111.875
83,13 ,40.5,-109.375
84,17 ,40.5,-114.375
85,21 ,39.5,-117.5
86,16 ,48.5,-111.25
87,17 ,48.5,-114.375
88,11 ,31.5,-110.0
89,27 ,32.0,-124.375
90,24 ,46.5,-125.0
91,10 ,36.0,-104.375
92,11 ,34.0,-110.0
93,14 ,47.5,-109.375
94,25 ,37.5,-121.875
95,27 ,32.5,-123.75
96,13 ,39.5,-108.75
97,27 ,33.5,-125.0
98,11 ,32.5,-105.625
99,10 ,45.5,-101.875
100,24 ,40.5,-120.625
101,28 ,40.0,-124.375
102,25 ,31.5,-122.5
103,27 ,36.5,-125.0
104,11 ,37.5,-108.125
105,14 ,41.5,-109.375
106,11 ,49.5,-102.5
107,11 ,35.0,-108.75
108,17 ,49.0,-113.125
109,19 ,48.0,-120.0
110,22 ,46.0,-121.875
111,11 ,33.5,-104.375
112,11 ,32.5,-108.125
113,19 ,49.0,-120.625
114,24 ,41.5,-120.625
115,13 ,40.5,-107.5
116,14 ,41.5,-108.75
117,16 ,42.0,-110.625
118,11 ,31.5,-105.0
119,11 ,32.0,-106.25
120,10 ,31.5,-101.875
121,11 ,34.5,-107.5
122,11 ,42.5,-105.0
123,11 ,37.0,-106.875
124,22 ,40.0,-120.0
125,24 ,39.0,-122.5
126,22 ,42.5,-119.375
127,17 ,34.0,-114.375
128,25 ,42.0,-123.125
129,10 ,33.0,-102.5
130,13 ,38.0,-110.0
131,27 ,37.0,-123.125
132,13 ,38.5,-109.375
133,11 ,41.5,-104.375
134,16 ,46.5,-110.625
135,11 ,33.0,-108.75
136,22 ,32.5,-119.375
137,16 ,32.5,-114.375
138,16 ,43.0,-110.0
139,13 ,36.5,-110.0
140,13 ,38.0,-108.75
141,16 ,32.0,-114.375
142,10 ,40.0,-104.375
143,25 ,40.5,-123.125
144,10 ,40.0,-103.75
145,19 ,43.5,-115.625
146,17 ,42.0,-112.5
147,19 ,47.5,-116.875
148,24 ,43.0,-123.125
149,19 ,48.5,-120.625
150,16 ,35.5,-113.75
151,11 ,43.5,-103.75
152,27 ,34.0,-123.125
153,21 ,41.5,-116.25
154,14 ,43.5,-108.75
155,11 ,32.0,-108.125
156,16 ,36.0,-113.125
157,11 ,47.0,-104.375
158,27 ,33.0,-122.5
159,21 ,49.5,-121.25
160,13 ,43.0,-106.875
161,27 ,36.0,-122.5
162,25 ,35.0,-121.25
163,11 ,43.5,-103.125
164,14 ,46.0,-108.125
165,22 ,48.0,-122.5
166,10 ,32.0,-103.75
167,13 ,40.0,-108.75
168,19 ,39.5,-115.0
169,16 ,37.5,-113.125
170,13 ,45.0,-106.875
171,16 ,48.5,-111.875
172,10 ,31.5,-102.5
173,21 ,34.0,-118.125
174,16 ,43.0,-111.25
175,11 ,37.0,-106.25
176,22 ,44.5,-119.375
177,21 ,49.5,-121.875
178,11 ,42.5,-103.75
179,22 ,46.0,-125.0
180,19 ,32.0,-116.875
181,21 ,36.5,-117.5
182,24 ,47.0,-124.375
183,17 ,49.0,-115.0
184,13 ,44.5,-105.625
185,24 ,41.5,-120.0
186,17 ,42.5,-113.125
187,24 ,44.5,-121.25
188,19 ,41.5,-115.625
189,24 ,47.5,-124.375
190,13 ,41.0,-106.875
191,21 ,49.5,-125.0
192,16 ,44.5,-110.0
193,13 ,40.0,-110.625
194,19 ,48.0,-120.625
195,16 ,46.0,-110.625
196,17 ,48.0,-114.375
197,22 ,45.0,-119.375
198,25 ,33.5,-121.875
199,17 ,36.5,-114.375
200,25 ,33.0,-121.875
201,16 ,31.5,-113.75
202,24 ,41.0,-121.875
203,10 ,47.0,-102.5
204,21 ,46.5,-118.125
205,17 ,47.5,-114.375
206,27 ,33.5,-123.125
207,13 ,38.5,-110.0
208,11 ,38.5,-107.5
209,11 ,31.5,-108.75
210,17 ,35.5,-115.0
211,21 ,35.5,-117.5
212,14 ,42.0,-108.75
