,ELCC,latitude,longitude
0,11 ,45.5,-101.875
1,11 ,40.0,-102.5
2,22 ,44.5,-116.25
3,22 ,48.0,-121.25
4,21 ,48.0,-115.625
5,16 ,43.5,-108.75
6,27 ,39.5,-120.0
7,14 ,43.5,-105.0
8,19 ,45.0,-111.875
9,16 ,45.0,-108.125
10,22 ,49.5,-121.25
11,21 ,38.5,-114.375
12,16 ,36.0,-110.625
13,22 ,45.0,-115.625
14,30 ,37.0,-123.75
15,11 ,32.5,-101.875
16,27 ,35.5,-121.25
17,11 ,47.0,-101.875
18,22 ,42.5,-115.625
19,21 ,39.0,-115.625
20,13 ,35.0,-104.375
21,14 ,35.5,-106.875
22,27 ,35.0,-120.625
23,21 ,41.0,-114.375
24,27 ,34.5,-120.625
25,25 ,38.5,-121.25
26,22 ,44.5,-115.0
27,22 ,36.0,-116.875
28,27 ,39.5,-123.125
29,21 ,44.5,-113.125
30,22 ,41.0,-116.25
31,22 ,36.5,-116.875
32,22 ,36.5,-115.625
33,14 ,43.0,-105.625
34,25 ,44.5,-121.875
35,24 ,43.0,-117.5
36,16 ,36.5,-110.625
37,21 ,39.5,-113.75
38,22 ,47.0,-122.5
39,21 ,45.0,-114.375
40,28 ,41.5,-123.75
41,21 ,39.5,-114.375
42,11 ,37.5,-101.875
43,24 ,45.5,-118.125
44,24 ,42.5,-116.875
45,11 ,39.0,-101.875
46,19 ,45.5,-111.875
47,13 ,42.5,-103.75
48,30 ,33.0,-124.375
49,13 ,34.0,-109.375
50,16 ,41.5,-107.5
51,21 ,49.0,-116.875
52,30 ,42.0,-125.0
53,11 ,36.5,-104.375
54,14 ,34.5,-108.75
55,30 ,35.0,-123.125
56,25 ,45.5,-125.0
57,14 ,36.0,-108.75
58,17 ,45.0,-109.375
59,17 ,44.0,-109.375
60,11 ,39.0,-103.125
61,24 ,41.0,-117.5
62,21 ,42.5,-113.75
63,16 ,39.5,-108.125
64,21 ,49.0,-120.625
65,25 ,39.0,-121.875
66,21 ,43.0,-113.125
67,16 ,45.0,-108.75
68,13 ,34.5,-104.375
69,16 ,33.5,-110.625
70,25 ,36.0,-121.25
71,24 ,37.5,-117.5
72,30 ,36.0,-123.125
73,25 ,48.0,-125.0
74,19 ,48.5,-117.5
75,25 ,36.0,-120.0
76,16 ,42.0,-108.125
77,27 ,47.0,-125.0
