,ELCC,latitude,longitude
0,7 ,37.5,-118.125
1,5 ,38.5,-106.875
2,2 ,48.0,-114.375
3,7 ,46.0,-123.125
4,10 ,37.0,-121.875
5,0 ,47.5,-121.875
6,22 ,49.0,-103.125
7,10 ,37.5,-111.25
8,14 ,48.0,-111.875
9,3 ,38.0,-105.625
10,5 ,34.0,-106.875
11,13 ,38.0,-113.125
12,8 ,34.0,-118.75
13,8 ,43.0,-106.875
14,11 ,38.5,-110.0
15,5 ,45.0,-111.25
16,7 ,39.0,-105.0
17,10 ,46.5,-110.0
18,3 ,39.0,-106.25
19,11 ,44.0,-105.0
20,27 ,32.5,-102.5
21,24 ,46.5,-102.5
22,11 ,42.5,-116.875
23,3 ,44.5,-115.0
24,36 ,31.5,-103.125
25,0 ,48.5,-121.25
26,14 ,40.5,-103.75
27,2 ,44.0,-122.5
28,2 ,47.5,-120.625
29,0 ,45.5,-116.25
30,3 ,36.5,-118.75
31,17 ,38.0,-115.0
32,19 ,39.5,-103.125
33,10 ,41.5,-105.0
34,3 ,47.0,-120.625
35,0 ,49.5,-121.25
36,27 ,34.0,-101.875
37,0 ,46.0,-115.0
38,22 ,40.0,-101.875
39,10 ,36.5,-119.375
40,21 ,45.0,-106.875
41,7 ,44.0,-106.875
42,58 ,34.0,-123.125
43,17 ,32.0,-106.25
44,58 ,35.5,-125.0
45,17 ,31.5,-114.375
46,13 ,35.0,-113.75
47,10 ,43.0,-107.5
48,8 ,44.0,-123.75
49,3 ,40.0,-107.5
50,57 ,37.5,-123.75
51,16 ,39.0,-120.0
52,16 ,35.5,-115.625
53,8 ,40.5,-113.75
54,0 ,49.5,-120.0
55,19 ,41.5,-103.125
56,11 ,35.0,-114.375
57,2 ,45.0,-116.875
58,46 ,32.0,-121.25
59,3 ,47.5,-119.375
60,57 ,34.0,-123.75
61,27 ,38.5,-103.125
62,7 ,39.5,-113.75
63,3 ,46.5,-120.0
64,2 ,45.0,-115.625
65,58 ,38.0,-124.375
66,0 ,48.0,-115.625
67,49 ,33.0,-121.25
68,19 ,45.5,-120.625
69,3 ,46.0,-113.125
70,3 ,44.5,-122.5
71,17 ,37.5,-104.375
72,5 ,47.0,-113.125
73,55 ,32.5,-123.75
74,0 ,48.0,-123.75
75,55 ,41.0,-125.0
76,19 ,42.0,-101.875
77,8 ,40.5,-108.75
78,2 ,49.5,-115.0
79,10 ,37.0,-108.125
80,22 ,46.5,-104.375
81,5 ,39.5,-122.5
82,5 ,42.5,-122.5
83,10 ,33.0,-108.75
84,0 ,49.5,-125.0
85,21 ,36.5,-103.125
86,13 ,42.5,-104.375
87,8 ,31.5,-116.25
88,16 ,41.0,-101.875
89,3 ,43.5,-123.125
90,3 ,45.5,-113.125
91,3 ,41.0,-106.875
92,52 ,33.0,-125.0
93,11 ,38.5,-110.625
94,5 ,47.0,-117.5
95,0 ,47.5,-123.125
96,8 ,35.0,-107.5
97,3 ,37.5,-108.125
98,21 ,46.0,-105.0
99,8 ,43.0,-116.875
100,22 ,49.5,-105.0
101,10 ,33.5,-115.625
102,53 ,32.0,-123.125
103,0 ,49.0,-118.75
104,17 ,33.5,-118.75
105,8 ,33.0,-115.0
106,11 ,41.5,-115.625
107,11 ,34.0,-114.375
108,53 ,33.0,-124.375
109,7 ,39.5,-118.125
110,10 ,48.5,-113.125
111,53 ,33.5,-125.0
112,19 ,46.5,-106.875
113,7 ,34.0,-110.625
114,10 ,33.0,-114.375
115,60 ,38.0,-125.0
116,58 ,36.0,-125.0
117,17 ,34.0,-105.0
118,0 ,49.5,-122.5
119,24 ,33.0,-103.125
120,13 ,40.0,-116.875
121,2 ,47.0,-122.5
122,2 ,46.5,-121.25
123,28 ,38.5,-123.125
124,10 ,37.5,-113.75
125,21 ,36.0,-103.125
126,11 ,44.5,-120.0
127,0 ,48.0,-121.875
128,49 ,42.5,-125.0
129,8 ,45.5,-121.25
130,5 ,44.0,-103.75
131,5 ,46.0,-110.625
132,13 ,42.0,-115.0
133,10 ,41.0,-105.0
134,16 ,40.5,-119.375
135,16 ,43.0,-119.375
136,13 ,47.5,-111.875
137,3 ,44.0,-117.5
138,13 ,32.0,-113.125
139,8 ,36.0,-109.375
140,2 ,40.5,-106.875
141,11 ,44.0,-113.125
142,53 ,34.0,-125.0
143,14 ,39.5,-103.75
144,10 ,33.5,-111.875
145,3 ,43.0,-121.875
146,5 ,31.5,-115.0
147,13 ,48.5,-112.5
148,0 ,49.0,-116.25
149,14 ,35.5,-115.0
150,5 ,45.5,-110.625
151,5 ,47.5,-112.5
152,10 ,46.0,-110.0
153,13 ,40.5,-118.75
154,16 ,44.5,-105.625
155,11 ,39.0,-121.875
156,22 ,49.0,-103.75
157,0 ,47.5,-116.25
158,36 ,33.0,-120.0
159,8 ,36.0,-105.0
160,5 ,44.0,-110.625
161,13 ,37.5,-114.375
162,7 ,45.5,-111.875
163,14 ,40.0,-103.75
164,5 ,46.0,-118.125
165,8 ,35.5,-109.375
166,22 ,48.0,-125.0
167,7 ,41.0,-110.0
168,57 ,34.5,-124.375
169,19 ,36.5,-102.5
170,22 ,48.0,-104.375
171,7 ,34.0,-107.5
172,0 ,40.0,-105.625
173,17 ,43.5,-113.75
174,10 ,31.5,-109.375
175,22 ,49.5,-105.625
176,5 ,45.0,-110.625
177,5 ,43.5,-116.875
178,11 ,36.5,-113.75
179,13 ,40.5,-116.25
180,14 ,36.0,-119.375
181,0 ,46.0,-115.625
182,11 ,43.0,-112.5
183,8 ,35.5,-107.5
184,10 ,45.0,-108.125
185,10 ,39.5,-109.375
186,17 ,45.5,-103.75
187,17 ,42.0,-120.0
188,19 ,47.5,-105.625
189,30 ,31.5,-103.75
190,19 ,41.5,-120.0
191,8 ,43.0,-106.25
192,3 ,47.5,-113.125
193,16 ,38.5,-116.25
194,10 ,42.0,-121.875
195,19 ,42.5,-101.875
196,13 ,32.5,-113.125
197,2 ,46.5,-114.375
198,24 ,35.0,-116.875
199,7 ,36.5,-110.0
200,16 ,48.0,-107.5
201,11 ,33.5,-114.375
202,7 ,34.0,-108.75
203,10 ,41.0,-118.75
204,17 ,46.0,-108.75
205,8 ,42.5,-110.625
206,14 ,40.0,-116.25
207,3 ,40.5,-110.625
208,2 ,49.0,-115.0
209,7 ,40.0,-112.5
210,8 ,36.5,-113.125
211,11 ,37.0,-112.5
212,2 ,46.0,-114.375
213,13 ,37.0,-115.625
214,8 ,35.0,-110.0
215,16 ,47.5,-108.75
216,0 ,49.0,-116.875
217,13 ,39.0,-118.75
218,21 ,45.5,-120.0
219,14 ,42.0,-115.625
220,19 ,41.5,-120.625
221,3 ,46.5,-120.625
222,2 ,45.5,-114.375
223,57 ,35.0,-123.75
224,10 ,39.5,-113.125
225,18 ,47.0,-124.375
226,24 ,39.5,-102.5
227,11 ,32.5,-111.875
228,25 ,37.0,-103.125
229,0 ,49.0,-122.5
230,0 ,49.0,-121.25
231,3 ,44.0,-116.875
232,5 ,42.5,-121.875
233,13 ,42.0,-116.25
234,11 ,41.0,-109.375
235,22 ,33.5,-103.125
236,10 ,41.0,-115.0
237,11 ,36.5,-114.375
238,28 ,32.5,-101.875
239,52 ,32.0,-123.75
240,30 ,32.0,-102.5
241,7 ,43.5,-110.0
242,16 ,39.0,-116.25
243,8 ,40.5,-118.125
244,7 ,42.5,-112.5
245,11 ,43.5,-105.0
246,3 ,44.0,-115.0
247,7 ,46.5,-118.125
248,16 ,47.5,-106.875
249,13 ,32.0,-111.875
250,0 ,48.0,-120.0
251,39 ,34.0,-120.0
252,8 ,41.0,-118.125
253,13 ,42.0,-114.375
254,5 ,49.5,-114.375
255,13 ,41.0,-104.375
256,16 ,38.5,-119.375
257,0 ,48.5,-116.25
258,8 ,38.5,-105.0
259,10 ,44.5,-123.75
260,22 ,48.0,-103.125
261,10 ,42.5,-106.25
262,14 ,48.5,-108.75
263,2 ,39.0,-106.875
264,57 ,35.0,-123.125
265,17 ,34.5,-116.875
266,11 ,42.5,-120.625
267,8 ,34.5,-110.625
268,10 ,34.0,-111.875
269,42 ,31.5,-121.25
270,17 ,36.0,-116.25
271,10 ,35.0,-108.125
272,14 ,41.0,-119.375
273,2 ,47.0,-114.375
274,21 ,43.0,-124.375
275,2 ,49.5,-120.625
276,14 ,37.5,-115.625
277,16 ,36.5,-115.625
278,7 ,34.5,-118.75
279,13 ,39.5,-116.875
280,22 ,47.0,-103.75
281,16 ,48.0,-110.0
282,8 ,43.0,-105.625
283,0 ,48.5,-122.5
284,17 ,45.5,-105.0
285,2 ,42.5,-111.25
286,53 ,42.0,-125.0
287,49 ,31.5,-123.125
288,0 ,48.5,-120.0
289,24 ,44.0,-102.5
290,11 ,35.0,-115.0
291,25 ,44.0,-124.375
292,7 ,33.5,-106.875
293,16 ,39.5,-104.375
294,47 ,32.5,-121.25
295,5 ,46.5,-116.875
296,7 ,42.5,-123.75
297,10 ,33.0,-116.875
298,8 ,44.0,-104.375
299,11 ,33.5,-113.75
300,29 ,32.0,-119.375
301,11 ,36.5,-108.75
302,10 ,33.5,-118.125
303,11 ,41.0,-116.25
304,11 ,34.0,-105.625
305,19 ,40.5,-120.0
306,10 ,40.5,-115.625
307,14 ,31.5,-111.25
308,16 ,42.5,-115.625
309,11 ,44.0,-120.0
310,14 ,35.5,-114.375
311,5 ,40.5,-107.5
312,16 ,42.0,-103.75
313,30 ,37.0,-101.875
314,7 ,39.0,-121.25
315,14 ,41.5,-121.25
316,17 ,41.0,-103.75
317,11 ,32.5,-106.875
318,52 ,32.5,-121.875
319,7 ,37.0,-117.5
320,16 ,48.0,-108.125
321,3 ,44.0,-123.125
322,14 ,32.5,-118.125
323,14 ,42.0,-110.625
324,52 ,40.5,-124.375
325,13 ,42.0,-106.875
326,7 ,40.0,-114.375
327,10 ,35.5,-108.125
328,19 ,45.0,-106.25
329,28 ,32.5,-103.75
330,55 ,35.0,-121.875
331,53 ,33.5,-124.375
332,5 ,43.5,-110.625
333,55 ,36.0,-123.75
334,19 ,45.0,-102.5
335,11 ,43.0,-108.125
336,7 ,41.5,-118.125
337,14 ,47.5,-107.5
338,8 ,39.0,-118.125
339,2 ,47.0,-123.125
340,14 ,39.5,-123.75
341,13 ,46.0,-120.0
342,24 ,32.0,-104.375
343,8 ,47.0,-110.625
344,39 ,41.0,-124.375
345,17 ,48.5,-111.875
346,22 ,48.5,-104.375
347,38 ,31.5,-120.625
348,7 ,36.0,-106.875
349,33 ,47.0,-125.0
350,19 ,41.0,-120.0
351,10 ,44.5,-112.5
352,2 ,41.0,-122.5
353,11 ,40.5,-116.875
354,2 ,47.5,-120.0
355,7 ,31.5,-110.0
356,11 ,43.5,-108.75
357,2 ,45.5,-115.0
358,19 ,41.5,-110.0
359,39 ,32.0,-120.625
360,2 ,49.5,-115.625
361,53 ,33.0,-121.875
362,0 ,49.0,-117.5
363,0 ,48.0,-116.25
364,19 ,42.5,-102.5
365,2 ,44.5,-115.625
366,5 ,33.5,-109.375
367,5 ,47.0,-118.125
368,8 ,43.0,-117.5
369,10 ,33.0,-105.625
370,2 ,39.0,-107.5
371,47 ,34.0,-121.25
372,50 ,32.0,-124.375
