,ELCC,latitude,longitude
0,47 ,34.0,-120.0
1,10 ,46.0,-108.75
2,8 ,47.5,-107.5
3,10 ,43.5,-116.25
4,7 ,40.5,-107.5
5,8 ,48.5,-108.75
6,3 ,44.5,-111.875
7,13 ,35.0,-118.75
8,8 ,34.5,-116.875
9,10 ,32.0,-110.0
10,8 ,48.0,-109.375
11,7 ,38.5,-115.0
12,50 ,33.5,-124.375
13,58 ,32.5,-121.875
14,5 ,42.0,-122.5
15,17 ,32.5,-102.5
16,41 ,32.5,-120.0
17,7 ,34.5,-106.875
18,21 ,49.0,-103.75
19,10 ,46.0,-106.875
20,52 ,33.0,-120.625
21,11 ,36.5,-110.625
22,36 ,43.5,-125.0
23,13 ,36.5,-110.0
24,14 ,45.5,-106.875
25,11 ,39.0,-108.75
26,3 ,45.0,-117.5
27,14 ,35.0,-110.0
28,7 ,42.0,-106.25
29,3 ,44.5,-111.25
30,5 ,39.0,-110.0
31,19 ,33.5,-102.5
32,8 ,38.0,-112.5
33,3 ,47.0,-110.625
34,11 ,36.0,-107.5
35,2 ,41.5,-112.5
36,8 ,38.5,-110.0
37,7 ,36.5,-115.625
38,8 ,37.0,-110.625
39,10 ,43.0,-104.375
40,7 ,37.0,-115.625
41,7 ,37.5,-115.625
42,53 ,31.5,-121.25
43,10 ,34.5,-110.0
44,7 ,36.0,-111.875
45,7 ,41.0,-119.375
46,3 ,40.5,-110.0
47,11 ,48.5,-108.125
48,3 ,46.0,-121.875
49,50 ,36.0,-125.0
50,64 ,35.5,-121.875
51,8 ,41.0,-110.625
52,10 ,49.5,-110.0
53,58 ,38.0,-123.75
54,21 ,31.5,-118.75
55,5 ,42.5,-112.5
56,10 ,43.0,-103.125
57,2 ,46.5,-123.125
58,7 ,38.5,-112.5
59,3 ,46.5,-116.875
60,7 ,45.0,-118.125
61,52 ,37.0,-124.375
62,16 ,45.0,-124.375
63,19 ,49.5,-105.0
64,16 ,42.5,-115.0
65,5 ,35.0,-111.875
66,13 ,43.5,-106.25
67,2 ,45.5,-116.875
68,10 ,32.5,-106.875
69,14 ,32.0,-113.75
70,10 ,41.5,-119.375
71,5 ,46.5,-119.375
72,3 ,39.5,-107.5
73,11 ,31.5,-106.25
74,10 ,47.5,-111.875
75,3 ,38.0,-117.5
76,58 ,33.0,-123.125
77,64 ,35.0,-121.875
78,7 ,40.5,-115.625
79,5 ,40.5,-119.375
80,10 ,46.0,-124.375
81,11 ,44.0,-105.0
82,3 ,46.5,-112.5
83,5 ,37.0,-105.0
84,3 ,45.0,-112.5
85,0 ,48.5,-121.25
86,16 ,33.0,-104.375
87,7 ,39.5,-119.375
88,8 ,35.5,-116.875
89,3 ,44.0,-123.75
90,8 ,43.5,-103.125
91,10 ,48.0,-111.25
92,11 ,36.0,-108.75
93,5 ,36.0,-114.375
94,3 ,38.5,-116.875
95,30 ,44.5,-125.0
96,16 ,47.0,-102.5
97,3 ,39.0,-118.125
98,55 ,32.0,-122.5
99,13 ,42.0,-114.375
100,8 ,40.5,-116.25
101,0 ,48.0,-122.5
102,11 ,44.5,-120.625
103,10 ,32.5,-118.125
104,50 ,36.0,-122.5
105,13 ,43.5,-105.625
106,27 ,43.0,-113.75
107,13 ,35.0,-112.5
108,13 ,42.0,-101.875
109,7 ,44.0,-118.125
110,7 ,39.0,-113.75
111,49 ,32.0,-120.625
112,5 ,33.0,-108.125
113,53 ,35.0,-124.375
114,0 ,45.5,-116.25
115,3 ,42.5,-123.75
116,14 ,41.5,-101.875
117,7 ,35.5,-106.25
118,3 ,42.0,-112.5
119,5 ,46.0,-111.875
120,3 ,40.0,-118.125
121,5 ,33.5,-116.875
122,17 ,34.0,-103.75
123,8 ,40.0,-116.875
