,ELCC,latitude,longitude
0,47 ,42.0,-121.875
1,50 ,38.0,-124.375
2,42 ,48.0,-110.625
3,49 ,39.0,-123.125
4,39 ,34.0,-106.875
5,38 ,42.0,-104.375
6,47 ,42.0,-120.625
7,41 ,41.0,-106.875
8,44 ,48.0,-118.125
9,44 ,33.0,-114.375
10,38 ,40.0,-101.875
11,50 ,35.0,-124.375
12,50 ,35.0,-121.875
13,42 ,34.0,-111.875
14,38 ,37.0,-101.875
15,41 ,41.0,-108.125
16,47 ,38.0,-120.625
17,41 ,42.0,-108.125
18,38 ,36.0,-101.875
19,50 ,36.0,-124.375
20,44 ,40.0,-114.375
21,42 ,32.0,-115.625
22,41 ,40.0,-108.125
23,38 ,34.0,-101.875
24,39 ,47.0,-104.375
25,44 ,39.0,-114.375
26,47 ,46.0,-121.875
27,42 ,46.0,-113.125
28,46 ,43.0,-116.875
29,39 ,41.0,-105.625
30,46 ,46.0,-119.375
31,44 ,36.0,-115.625
32,39 ,36.0,-106.875
33,47 ,41.0,-123.125
34,39 ,49.0,-105.625
35,39 ,39.0,-103.125
36,44 ,49.0,-118.125
37,41 ,49.0,-108.125
38,41 ,40.0,-106.875
39,44 ,34.0,-115.625
40,42 ,35.0,-110.625
41,39 ,44.0,-105.625
42,42 ,38.0,-113.125
43,41 ,39.0,-108.125
44,44 ,45.0,-115.625
45,42 ,37.0,-113.125
46,42 ,45.0,-113.125
47,50 ,38.0,-123.125
48,39 ,38.0,-103.125
49,44 ,46.0,-116.875
50,42 ,40.0,-111.875
51,39 ,43.0,-106.875
52,46 ,43.0,-119.375
53,38 ,34.0,-103.125
54,44 ,44.0,-116.875
55,39 ,49.0,-106.875
56,49 ,32.0,-120.625
57,39 ,32.0,-105.625
58,39 ,39.0,-106.875
59,38 ,35.0,-101.875
60,46 ,45.0,-119.375
61,38 ,44.0,-103.125
62,46 ,44.0,-119.375
63,38 ,48.0,-101.875
64,41 ,32.0,-111.875
65,47 ,40.0,-123.125
66,47 ,44.0,-123.125
67,42 ,37.0,-111.875
68,47 ,45.0,-121.875
69,39 ,48.0,-105.625
70,42 ,42.0,-111.875
71,42 ,44.0,-111.875
72,46 ,47.0,-119.375
73,41 ,38.0,-108.125
74,46 ,37.0,-116.875
75,38 ,33.0,-105.625
76,41 ,46.0,-110.625
77,47 ,46.0,-120.625
78,47 ,34.0,-119.375
79,42 ,43.0,-113.125
80,42 ,48.0,-114.375
81,46 ,47.0,-123.125
82,39 ,45.0,-108.125
83,46 ,49.0,-119.375
84,44 ,49.0,-116.875
85,44 ,35.0,-116.875
86,41 ,49.0,-109.375
87,44 ,40.0,-115.625
88,47 ,44.0,-121.875
89,42 ,41.0,-113.125
90,46 ,43.0,-118.125
91,46 ,40.0,-118.125
92,42 ,47.0,-111.875
93,39 ,41.0,-104.375
94,42 ,49.0,-114.375
95,39 ,34.0,-104.375
96,41 ,44.0,-109.375
97,42 ,46.0,-114.375
98,44 ,35.0,-115.625
99,42 ,36.0,-110.625
100,38 ,33.0,-103.125
101,41 ,39.0,-109.375
102,41 ,46.0,-109.375
103,38 ,48.0,-103.125
104,46 ,47.0,-118.125
105,46 ,41.0,-119.375
106,38 ,43.0,-103.125
107,38 ,38.0,-101.875
108,49 ,38.0,-121.875
109,46 ,48.0,-120.625
110,42 ,36.0,-111.875
111,49 ,42.0,-124.375
112,42 ,37.0,-109.375
113,38 ,49.0,-103.125
114,38 ,42.0,-103.125
115,47 ,42.0,-123.125
116,41 ,35.0,-111.875
117,44 ,47.0,-116.875
118,39 ,32.0,-108.125
119,44 ,34.0,-116.875
120,46 ,49.0,-120.625
121,39 ,38.0,-106.875
122,47 ,43.0,-121.875
123,44 ,41.0,-115.625
124,39 ,33.0,-106.875
125,39 ,46.0,-105.625
126,49 ,36.0,-121.875
127,46 ,42.0,-116.875
128,46 ,49.0,-121.875
129,39 ,45.0,-106.875
130,46 ,39.0,-119.375
131,44 ,43.0,-114.375
132,41 ,46.0,-111.875
133,39 ,37.0,-105.625
134,42 ,43.0,-110.625
135,38 ,47.0,-103.125
136,41 ,49.0,-110.625
137,47 ,35.0,-119.375
138,44 ,38.0,-115.625
139,38 ,37.0,-104.375
140,38 ,33.0,-101.875
141,41 ,44.0,-108.125
142,46 ,32.0,-116.875
143,41 ,43.0,-109.375
144,44 ,42.0,-114.375
145,44 ,39.0,-115.625
146,46 ,40.0,-119.375
147,50 ,40.0,-124.375
148,50 ,34.0,-124.375
149,38 ,39.0,-101.875
150,39 ,48.0,-104.375
151,38 ,47.0,-101.875
152,38 ,45.0,-101.875
153,41 ,40.0,-109.375
154,44 ,34.0,-114.375
155,46 ,37.0,-118.125
156,42 ,32.0,-113.125
157,39 ,35.0,-106.875
158,47 ,41.0,-120.625
159,44 ,41.0,-116.875
160,44 ,37.0,-114.375
161,38 ,33.0,-104.375
162,39 ,48.0,-106.875
163,39 ,43.0,-104.375
164,47 ,43.0,-120.625
165,42 ,39.0,-110.625
166,39 ,34.0,-108.125
167,41 ,48.0,-108.125
168,39 ,39.0,-104.375
169,47 ,37.0,-119.375
170,42 ,39.0,-113.125
171,42 ,48.0,-113.125
172,39 ,34.0,-109.375
173,41 ,45.0,-110.625
174,39 ,33.0,-109.375
175,39 ,35.0,-108.125
176,39 ,32.0,-109.375
177,47 ,45.0,-123.125
178,44 ,41.0,-114.375
179,49 ,46.0,-124.375
180,46 ,45.0,-120.625
181,49 ,35.0,-120.625
182,42 ,49.0,-111.875
183,42 ,47.0,-113.125
184,38 ,49.0,-101.875
185,41 ,34.0,-110.625
186,44 ,48.0,-115.625
187,44 ,45.0,-116.875
188,42 ,38.0,-111.875
189,47 ,39.0,-121.875
190,46 ,40.0,-116.875
191,42 ,44.0,-110.625
192,47 ,37.0,-120.625
193,44 ,43.0,-115.625
194,47 ,36.0,-120.625
195,38 ,46.0,-103.125
196,44 ,44.0,-114.375
197,39 ,39.0,-105.625
198,39 ,47.0,-106.875
199,39 ,47.0,-108.125
200,47 ,38.0,-119.375
201,41 ,41.0,-109.375
202,46 ,47.0,-121.875
203,38 ,32.0,-101.875
204,46 ,48.0,-124.375
205,46 ,48.0,-119.375
206,39 ,32.0,-106.875
207,38 ,42.0,-101.875
208,47 ,43.0,-123.125
209,49 ,37.0,-121.875
210,39 ,45.0,-105.625
211,46 ,39.0,-116.875
212,39 ,49.0,-104.375
213,47 ,40.0,-120.625
214,42 ,42.0,-110.625
215,44 ,42.0,-113.125
216,49 ,33.0,-121.875
217,42 ,35.0,-113.125
218,42 ,44.0,-113.125
219,50 ,33.0,-123.125
220,41 ,37.0,-108.125
221,46 ,42.0,-119.375
222,46 ,48.0,-121.875
223,39 ,34.0,-105.625
224,38 ,33.0,-108.125
225,42 ,32.0,-114.375
226,39 ,32.0,-104.375
227,46 ,46.0,-118.125
228,47 ,32.0,-118.125
229,41 ,43.0,-108.125
230,41 ,47.0,-109.375
231,49 ,34.0,-120.625
232,41 ,47.0,-110.625
233,41 ,36.0,-108.125
234,42 ,49.0,-113.125
235,50 ,39.0,-124.375
236,39 ,41.0,-103.125
237,50 ,37.0,-123.125
238,46 ,49.0,-124.375
239,42 ,34.0,-113.125
240,46 ,36.0,-116.875
241,39 ,44.0,-104.375
242,42 ,41.0,-111.875
243,46 ,35.0,-118.125
244,38 ,37.0,-103.125
245,42 ,37.0,-110.625
246,41 ,48.0,-109.375
247,42 ,36.0,-113.125
248,39 ,44.0,-106.875
249,39 ,46.0,-106.875
250,42 ,40.0,-110.625
251,41 ,32.0,-110.625
252,42 ,33.0,-113.125
253,47 ,39.0,-120.625
254,44 ,45.0,-118.125
255,42 ,48.0,-111.875
256,44 ,48.0,-116.875
257,50 ,35.0,-123.125
258,50 ,32.0,-124.375
259,49 ,44.0,-124.375
260,42 ,47.0,-114.375
261,47 ,46.0,-123.125
262,44 ,35.0,-114.375
263,39 ,35.0,-105.625
264,47 ,33.0,-118.125
265,47 ,34.0,-118.125
266,46 ,48.0,-123.125
267,44 ,47.0,-115.625
268,50 ,37.0,-124.375
269,46 ,42.0,-118.125
270,39 ,40.0,-105.625
271,50 ,41.0,-124.375
272,46 ,39.0,-118.125
273,42 ,41.0,-110.625
274,39 ,36.0,-105.625
275,39 ,46.0,-108.125
276,49 ,34.0,-121.875
277,44 ,38.0,-114.375
278,49 ,33.0,-120.625
279,39 ,38.0,-104.375
280,41 ,33.0,-110.625
281,39 ,42.0,-106.875
282,49 ,45.0,-124.375
283,39 ,40.0,-104.375
284,38 ,43.0,-101.875
285,44 ,36.0,-114.375
286,39 ,40.0,-103.125
287,49 ,43.0,-124.375
288,49 ,32.0,-121.875
289,50 ,33.0,-124.375
290,46 ,38.0,-116.875
291,50 ,36.0,-123.125
292,44 ,37.0,-115.625
293,39 ,45.0,-104.375
294,47 ,32.0,-119.375
295,44 ,33.0,-115.625
296,38 ,36.0,-103.125
297,50 ,32.0,-123.125
298,46 ,47.0,-120.625
299,38 ,44.0,-101.875
300,47 ,33.0,-119.375
301,41 ,37.0,-106.875
302,42 ,45.0,-114.375
303,44 ,42.0,-115.625
304,47 ,44.0,-120.625
305,39 ,46.0,-104.375
306,50 ,34.0,-123.125
307,44 ,40.0,-113.125
308,44 ,49.0,-115.625
309,42 ,45.0,-111.875
310,38 ,36.0,-104.375
311,41 ,42.0,-109.375
312,47 ,41.0,-121.875
313,39 ,43.0,-105.625
314,38 ,32.0,-103.125
315,46 ,33.0,-116.875
316,42 ,33.0,-111.875
317,42 ,39.0,-111.875
318,39 ,35.0,-104.375
319,44 ,44.0,-115.625
320,46 ,44.0,-118.125
321,47 ,47.0,-124.375
322,47 ,36.0,-119.375
323,44 ,46.0,-115.625
324,39 ,47.0,-105.625
325,42 ,38.0,-110.625
326,47 ,40.0,-121.875
327,41 ,45.0,-109.375
328,39 ,42.0,-105.625
329,39 ,38.0,-105.625
330,46 ,41.0,-118.125
331,38 ,41.0,-101.875
332,41 ,36.0,-109.375
333,46 ,38.0,-118.125
334,39 ,35.0,-103.125
335,42 ,38.0,-109.375
336,38 ,45.0,-103.125
337,46 ,36.0,-118.125
338,38 ,46.0,-101.875
339,41 ,35.0,-109.375
340,47 ,49.0,-123.125
341,42 ,43.0,-111.875
