,ELCC,latitude,longitude
0,38 ,34.0,-106.875
1,39 ,37.0,-108.125
2,52 ,37.0,-101.875
3,41 ,35.0,-114.375
4,44 ,44.0,-124.375
5,36 ,35.0,-106.875
6,47 ,43.0,-113.125
7,35 ,45.0,-114.375
8,60 ,37.0,-124.375
9,61 ,32.0,-120.625
10,41 ,32.0,-108.125
11,36 ,35.0,-111.875
12,42 ,35.0,-118.125
13,47 ,45.0,-103.125
14,63 ,38.0,-124.375
15,61 ,32.0,-123.125
16,35 ,34.0,-118.125
17,35 ,38.0,-106.875
18,33 ,40.0,-118.125
19,41 ,38.0,-116.875
20,35 ,46.0,-121.875
21,38 ,47.0,-110.625
22,39 ,44.0,-113.125
23,46 ,32.0,-103.125
24,47 ,45.0,-101.875
25,47 ,39.0,-103.125
26,39 ,34.0,-114.375
27,33 ,49.0,-124.375
28,41 ,34.0,-113.125
29,38 ,35.0,-110.625
30,39 ,37.0,-113.125
31,39 ,35.0,-105.625
32,36 ,44.0,-114.375
33,39 ,36.0,-113.125
34,38 ,34.0,-119.375
35,35 ,44.0,-116.875
36,41 ,43.0,-106.875
37,35 ,37.0,-119.375
38,49 ,46.0,-103.125
39,36 ,41.0,-105.625
40,33 ,41.0,-123.125
41,49 ,42.0,-124.375
42,38 ,44.0,-110.625
43,41 ,46.0,-108.125
44,38 ,37.0,-110.625
45,35 ,39.0,-118.125
46,38 ,46.0,-118.125
47,39 ,33.0,-106.875
48,63 ,39.0,-124.375
49,38 ,41.0,-110.625
50,35 ,48.0,-115.625
51,39 ,42.0,-116.875
52,64 ,33.0,-123.125
53,35 ,48.0,-116.875
54,36 ,41.0,-106.875
55,38 ,43.0,-116.875
56,46 ,46.0,-124.375
57,35 ,47.0,-123.125
58,38 ,43.0,-110.625
59,38 ,39.0,-116.875
60,36 ,44.0,-109.375
61,46 ,35.0,-120.625
62,44 ,49.0,-111.875
63,36 ,48.0,-114.375
64,46 ,48.0,-110.625
65,35 ,40.0,-105.625
66,38 ,37.0,-106.875
67,38 ,42.0,-118.125
68,42 ,32.0,-113.125
69,41 ,45.0,-120.625
70,38 ,47.0,-119.375
71,52 ,33.0,-119.375
72,46 ,34.0,-103.125
73,55 ,36.0,-121.875
74,36 ,49.0,-114.375
75,41 ,39.0,-110.625
76,35 ,45.0,-121.875
77,46 ,32.0,-114.375
78,39 ,38.0,-120.625
79,50 ,48.0,-104.375
80,41 ,44.0,-120.625
81,32 ,49.0,-123.125
82,36 ,34.0,-108.125
83,36 ,45.0,-123.125
84,38 ,45.0,-119.375
85,44 ,44.0,-104.375
86,36 ,46.0,-110.625
87,38 ,32.0,-106.875
88,42 ,46.0,-106.875
89,33 ,49.0,-120.625
90,46 ,43.0,-114.375
91,35 ,39.0,-120.625
92,50 ,48.0,-106.875
93,46 ,42.0,-108.125
94,66 ,34.0,-123.125
95,42 ,40.0,-104.375
96,44 ,43.0,-105.625
97,35 ,43.0,-121.875
98,50 ,46.0,-101.875
99,47 ,42.0,-101.875
100,50 ,42.0,-109.375
101,44 ,34.0,-104.375
102,50 ,49.0,-103.125
103,61 ,33.0,-120.625
104,36 ,48.0,-119.375
105,41 ,32.0,-104.375
106,38 ,39.0,-119.375
107,64 ,35.0,-121.875
108,35 ,47.0,-114.375
109,35 ,46.0,-113.125
110,35 ,39.0,-106.875
111,38 ,39.0,-114.375
112,34 ,47.0,-115.625
113,38 ,36.0,-108.125
114,38 ,32.0,-109.375
115,42 ,34.0,-111.875
116,38 ,43.0,-120.625
117,33 ,46.0,-115.625
118,61 ,35.0,-124.375
119,33 ,48.0,-123.125
120,55 ,38.0,-101.875
121,38 ,32.0,-110.625
122,41 ,40.0,-109.375
123,38 ,40.0,-121.875
124,41 ,38.0,-113.125
125,33 ,40.0,-123.125
126,47 ,46.0,-104.375
127,39 ,46.0,-109.375
128,38 ,36.0,-119.375
129,44 ,44.0,-103.125
130,42 ,47.0,-109.375
131,36 ,32.0,-115.625
132,36 ,33.0,-105.625
133,35 ,45.0,-115.625
134,46 ,46.0,-105.625
135,38 ,41.0,-114.375
136,41 ,43.0,-111.875
137,60 ,37.0,-123.125
138,41 ,42.0,-119.375
139,36 ,44.0,-106.875
140,57 ,32.0,-124.375
141,47 ,35.0,-103.125
142,39 ,43.0,-119.375
143,35 ,41.0,-113.125
144,38 ,38.0,-109.375
145,47 ,47.0,-104.375
146,44 ,42.0,-110.625
147,35 ,48.0,-124.375
148,47 ,41.0,-103.125
149,44 ,43.0,-103.125
150,36 ,38.0,-119.375
151,46 ,42.0,-103.125
152,38 ,42.0,-120.625
153,35 ,38.0,-105.625
154,36 ,46.0,-111.875
155,36 ,39.0,-123.125
156,39 ,37.0,-115.625
157,46 ,43.0,-101.875
158,33 ,46.0,-114.375
159,35 ,39.0,-108.125
160,50 ,49.0,-104.375
161,44 ,43.0,-115.625
162,36 ,36.0,-105.625
163,41 ,33.0,-114.375
164,41 ,36.0,-116.875
165,35 ,46.0,-116.875
166,64 ,32.0,-121.875
167,36 ,40.0,-113.125
168,50 ,36.0,-101.875
169,41 ,42.0,-115.625
170,38 ,35.0,-115.625
171,42 ,41.0,-109.375
172,35 ,49.0,-115.625
173,47 ,33.0,-101.875
174,38 ,48.0,-113.125
175,47 ,47.0,-108.125
176,36 ,42.0,-111.875
177,39 ,38.0,-115.625
178,50 ,34.0,-101.875
179,38 ,37.0,-121.875
180,49 ,47.0,-103.125
181,50 ,47.0,-101.875
182,38 ,33.0,-115.625
183,39 ,38.0,-110.625
184,49 ,48.0,-108.125
185,50 ,35.0,-101.875
186,50 ,49.0,-101.875
187,36 ,40.0,-111.875
188,42 ,32.0,-105.625
189,44 ,38.0,-104.375
190,39 ,36.0,-111.875
191,38 ,36.0,-109.375
192,55 ,32.0,-119.375
193,41 ,32.0,-111.875
194,42 ,42.0,-105.625
195,44 ,37.0,-120.625
196,38 ,40.0,-108.125
197,32 ,48.0,-121.875
198,35 ,39.0,-105.625
199,44 ,33.0,-104.375
200,36 ,46.0,-123.125
201,44 ,33.0,-110.625
202,41 ,47.0,-124.375
203,35 ,48.0,-118.125
204,49 ,44.0,-101.875
205,44 ,33.0,-103.125
206,42 ,44.0,-111.875
207,39 ,33.0,-109.375
208,38 ,41.0,-116.875
209,35 ,38.0,-118.125
210,60 ,34.0,-120.625
211,35 ,45.0,-111.875
212,60 ,36.0,-124.375
213,35 ,44.0,-121.875
214,41 ,39.0,-113.125
215,61 ,33.0,-124.375
216,36 ,35.0,-108.125
217,44 ,42.0,-106.875
218,38 ,40.0,-120.625
219,63 ,34.0,-124.375
220,50 ,49.0,-106.875
221,64 ,35.0,-123.125
222,41 ,46.0,-119.375
223,47 ,49.0,-110.625
224,38 ,36.0,-110.625
225,61 ,40.0,-124.375
226,38 ,43.0,-118.125
227,33 ,48.0,-120.625
228,36 ,35.0,-119.375
229,35 ,33.0,-108.125
230,41 ,38.0,-114.375
231,36 ,45.0,-108.125
232,46 ,45.0,-104.375
233,47 ,47.0,-105.625
234,33 ,45.0,-109.375
235,46 ,44.0,-105.625
236,41 ,44.0,-108.125
237,36 ,33.0,-116.875
238,36 ,42.0,-121.875
239,36 ,40.0,-114.375
240,38 ,47.0,-111.875
241,47 ,41.0,-101.875
242,38 ,35.0,-109.375
243,41 ,42.0,-114.375
244,36 ,45.0,-113.125
245,44 ,35.0,-113.125
246,33 ,40.0,-106.875
247,39 ,42.0,-113.125
248,46 ,43.0,-104.375
249,39 ,39.0,-104.375
250,38 ,43.0,-123.125
251,38 ,44.0,-119.375
252,38 ,34.0,-116.875
253,44 ,41.0,-104.375
254,46 ,35.0,-104.375
255,46 ,32.0,-101.875
256,55 ,38.0,-103.125
257,38 ,40.0,-116.875
258,66 ,33.0,-121.875
259,42 ,37.0,-104.375
260,35 ,41.0,-121.875
261,50 ,48.0,-103.125
262,39 ,41.0,-120.625
263,36 ,37.0,-105.625
264,33 ,45.0,-110.625
265,36 ,47.0,-113.125
266,38 ,34.0,-105.625
267,35 ,44.0,-123.125
268,46 ,47.0,-106.875
269,41 ,33.0,-111.875
270,44 ,42.0,-104.375
271,50 ,49.0,-108.125
272,41 ,45.0,-106.875
273,33 ,47.0,-121.875
274,57 ,38.0,-121.875
275,49 ,36.0,-103.125
276,36 ,36.0,-106.875
277,41 ,36.0,-115.625
278,42 ,43.0,-108.125
279,38 ,39.0,-109.375
280,36 ,41.0,-118.125
281,36 ,45.0,-118.125
282,33 ,41.0,-111.875
283,50 ,48.0,-101.875
284,36 ,44.0,-118.125
285,32 ,49.0,-121.875
286,36 ,47.0,-120.625
287,35 ,44.0,-115.625
288,38 ,41.0,-115.625
289,42 ,46.0,-120.625
290,35 ,37.0,-118.125
291,35 ,34.0,-109.375
292,33 ,32.0,-116.875
293,42 ,41.0,-108.125
294,36 ,40.0,-119.375
295,52 ,48.0,-105.625
296,38 ,37.0,-109.375
297,49 ,49.0,-109.375
298,39 ,37.0,-114.375
299,60 ,36.0,-123.125
300,44 ,33.0,-113.125
301,52 ,49.0,-105.625
302,42 ,35.0,-116.875
303,33 ,45.0,-116.875
304,33 ,49.0,-119.375
305,38 ,34.0,-115.625
306,47 ,40.0,-103.125
307,39 ,38.0,-111.875
308,50 ,37.0,-103.125
309,53 ,41.0,-124.375
310,35 ,42.0,-123.125
311,39 ,47.0,-118.125
312,33 ,49.0,-116.875
313,36 ,41.0,-119.375
314,38 ,34.0,-110.625
315,46 ,36.0,-104.375
316,36 ,47.0,-116.875
317,42 ,32.0,-118.125
318,38 ,40.0,-115.625
319,42 ,40.0,-110.625
320,42 ,48.0,-111.875
321,39 ,39.0,-115.625
322,44 ,45.0,-105.625
323,52 ,39.0,-101.875
324,41 ,37.0,-116.875
325,38 ,36.0,-120.625
326,38 ,39.0,-121.875
327,42 ,37.0,-111.875
328,39 ,39.0,-111.875
329,39 ,36.0,-118.125
330,36 ,33.0,-118.125
331,49 ,40.0,-101.875
332,61 ,38.0,-123.125
333,39 ,36.0,-114.375
334,42 ,49.0,-113.125
335,46 ,48.0,-109.375
336,41 ,43.0,-109.375
337,47 ,45.0,-124.375
